MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,N_pct,comp_NcMap,comp_WcMap,W_stack,PR_stack,stall_index,stall_row,SM_peak,case,igv_deg,bleed,A8_scale,ok
1e-06,0.0,685.5678165312655,685.5682940226085,0.0004774913428914076,1.403104739951319,0.024238560573590313,0.1272796300538499,0.01641120002610048,5.247867820331728,5.410951433048642,98.27078447136782,288.1500000000577,531.738442062162,539.7898201253593,505.15151995905387,1169.0302887912528,161.2067095684251,956.5816731096032,3.133563865371493,359.16691638338784,1.4467126576872313,1.5909918047026355,490.52874137781686,70.16132931708175,100000.0,0.6988685154302999,0.7526539850472209,1.7740626452888818e-12,1.4001452291610537,1004.4167849535459,1.3824348093476893,1037.6461019280625,1.3120994722837054,1206.6794646817318,1.3277049430659327,1162.8975373530764,True,100.0,1.035387503411308,3.1895074974127606,1.4086041902310573,5.616680967200904,0.8960907811314974,S6,0.10633111969941589,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,630.2233918030677,630.2238567964938,0.00046499342610409946,1.3663797049431403,0.022234059796003777,0.1270067349239638,0.015458628908047606,5.011119330535744,5.166845707829995,98.27078447136778,288.1500000000577,507.74998095097305,528.5035874039805,482.3624819034244,1126.2394770308483,155.66221637785523,921.5940102176942,3.0987769102075178,333.79864496426114,1.408846223708695,1.5362717297686481,463.4837054813637,70.16132931710263,97500.0,0.7073091787586876,0.7536772758076064,3.604426684286347e-11,1.4001452291610537,1004.4167849535459,1.3836319046678307,1035.3103509106081,1.3155571588526351,1196.60625848108,1.331325969808813,1153.3311791954595,True,97.5,1.0095028158260253,3.106024938223777,1.3717352119388906,5.312671758061298,0.8605984854806883,S6,0.1114420379622858,V0_B0_N1,22.37071526248297,0.0,1.0,True
1e-06,0.0,572.6875274705166,572.6879772639439,0.00044979342739140507,1.3217146224059566,0.02028723922018008,0.12752863942267065,0.014581723567594407,4.7558784422213325,4.9036729112426425,98.27078447136772,288.1500000000577,481.88778377881,517.9254409410548,457.79339458986954,1086.1715909269124,150.1980869843071,888.976925658496,3.04793092762693,308.410814645274,1.3627929687924374,1.4823447864767922,435.7793078604533,70.16132931727292,95000.0,0.7101779195611502,0.7558336263300942,3.7263032651914956e-11,1.4001452291610537,1004.4167849535459,1.3847538936123807,1033.1211445493195,1.3189259034483034,1187.0143384328778,1.3348169789405326,1144.3044748631175,True,95.0,0.9836181282407427,3.0044932338765675,1.3268950652075246,5.042550670694048,0.8350963193229367,S6,0.10222937791954978,V0_B0_N1,22.37071526248297,0.0,1.0,True
1e-06,0.0,519.0941853172931,519.0946174378569,0.00043212056388754633,1.2697830451743748,0.018689488972675097,0.12961455204994168,0.013982715072087855,4.502825259864815,4.642755806127185,98.27078447136797,288.1500000000577,456.24725517711687,508.0878889635636,433.434892418261,1056.3486286576997,144.87120644216574,866.4948961171949,2.991863621921952,283.3940392274865,1.3092473795178956,1.4297723885756948,411.3956719114412,70.16132938686115,92500.0,0.7110622256618632,0.7561998041391768,1.6011928903761968e-09,1.4001452291610537,1004.4167849535459,1.3857685426738717,1031.1554626472853,1.3214816172665254,1179.8601797473184,1.3373103283145142,1137.985305975709,True,92.5,0.95773344065546,2.8864434901786242,1.2747599428528942,4.740476465990656,0.8659767752137705,R1,0.09243449529561332,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,467.23436001770983,467.2347703194632,0.00041030175338702254,1.2056686337004332,0.017460959470996903,0.13453517008724755,0.013758267432516267,4.24333765809916,4.375204324515465,98.2707844713679,288.1500000000577,429.95476119265606,499.9004939128825,408.45702313302326,1041.2341900218128,139.87808471589682,858.0605628627444,2.9200930507636773,258.93126541929286,1.2431403185277548,1.3804939449250067,390.07314432354707,70.161329317081,90000.0,0.7039048346846621,0.7541454338100968,3.173867506737916e-11,1.4001452291610537,1004.4167849535459,1.3865785241852975,1029.603637063426,1.3227651371461302,1176.3173819956032,1.3382452868363666,1135.6223353482183,True,90.0,0.9318487530701771,2.7406999898784092,1.2103942357998918,4.458584881887621,0.9202521061170416,R1,0.06871922162404065,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,412.60265523851893,412.6030400015553,0.0003847630363771902,1.130623304769893,0.016247248139802727,0.14175888729915623,0.013651660696976285,3.9573539092613217,4.080333297160796,98.27078447136785,288.1500000000577,400.9775540166343,491.70435262398297,380.9286763158026,1030.336230421484,134.92856390500677,854.0416227513107,2.823187806134113,233.28271165156994,1.1657626116661273,1.331645810325566,367.36605335209055,70.16132931708123,87500.0,0.6914327331315754,0.7524639662254727,9.656885557672638e-14,1.4001452291610537,1004.4167849535459,1.3873893710301561,1028.0501534791372,1.3236533566921318,1173.8688809381374,1.3386972277454183,1134.4885384932022,True,87.5,0.9059640654848946,2.5701085632696827,1.1350547677053764,4.1468455540827005,0.9853040182160921,R1,0.04084435530803088,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,356.8024354508198,356.802788038866,0.000352588046249093,1.0360773369137029,0.015352486467698092,0.1549007119693026,0.014077001421302197,3.644403603136503,3.7576576953023517,98.27078447136782,288.1500000000577,369.2679694922341,485.4337136188724,350.8045710176224,1040.2184499273728,130.05737352980398,870.0363710813815,2.6973062848853537,207.092315969484,1.0682781940483908,1.2835707395866245,346.52805445952896,70.16132931708133,85000.0,0.6631323608104608,0.7503849359449853,3.3055296690850693e-11,1.4001452291610537,1004.4167849535459,1.388009734088827,1026.8616178540701,1.3226263960705509,1176.7006665964202,1.336917932339753,1138.9784466348292,True,85.0,0.8800793778996118,2.3551887039454775,1.0401382281915121,3.808475970054436,1.0718561616493694,R1,0.005830429642655899,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,298.2440956312409,298.2444096477961,0.00031401655522644427,0.9227352990179996,0.014631769072956475,0.17661495880130243,0.015064104119677232,3.2940124654999017,3.396377744428424,98.27078447136775,288.1500000000577,333.7647053060758,473.71699028952827,317.076470040772,1065.5525601303784,124.93884787995168,902.855578762473,2.5378533212138867,173.33992336126556,0.9514135322716313,1.234143320663105,324.9189009540157,70.01549070561384,82500.0,0.6419008013468976,0.745619017824023,5.886593813771403,1.4001452291610537,1004.4167849535459,1.3891307174823553,1024.725446909335,1.3200759424183868,1183.7759274859275,1.3332564429179552,1148.330262534214,False,82.5,0.854194690314329,2.1944944317578194,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,249.62279495931668,249.62307273546568,0.00027777614901730433,0.8162431364127191,0.014187080077619693,0.20460266173910444,0.01651190126139564,2.9792918102821417,3.071876777814349,98.27078447136769,288.1500000000577,301.8757407551933,463.621719556566,286.7819537174336,1108.2668045895462,120.72646435955204,952.2718834060543,2.375468835592907,144.9098904250883,0.8416116370896003,1.1936151694816333,306.9912400532932,69.89185775631984,80000.0,0.6141622607995384,0.7402369905058805,10.3162080709302,1.4001452291610537,1004.4167849535459,1.3900346058561655,1023.0222992631993,1.3160869428488544,1195.0915745873358,1.3280051803242623,1162.1035689717892,False,80.0,0.8283100027290463,2.044217722579534,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,204.75932197251353,204.75956380834572,0.00024183583215341354,0.7106327841040994,0.013785874318633297,0.24237796388943886,0.01842946300206597,2.6715563762658863,2.754578106296962,98.27078447136792,288.1500000000577,270.6945513934576,451.78491976505705,257.1598238237847,1165.2519986914958,116.8184253522298,1017.6494116413812,2.2013635524395987,117.56032001770747,0.7327189585052549,1.1565309876248093,288.6963346487352,69.95037542396517,77500.0,0.5848181222231548,0.7348097341268116,13.551855263613199,1.4001452291610537,1004.4167849535459,1.3910944127758926,1021.0253559868314,1.3110003189080048,1209.919518687835,1.3214409117255321,1179.9593595821775,False,77.5,0.8024253151437636,1.8942088584077503,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,171.84076893547885,171.8409814120059,0.00021247652704724807,0.6243606856264811,0.013558459653575945,0.28404467144348206,0.020629961122508648,2.418239519467636,2.4933891327489914,98.27078447136786,288.1500000000577,245.02730606762694,442.7243643840729,232.77594076424558,1232.924170868514,113.9439136603308,1093.2525324092364,2.0428992939294286,97.50674676676125,0.6437655587204751,1.1313897195287494,275.1668744305914,70.06687039927499,75000.0,0.5498875299044106,0.7297352257197485,14.100528616463675,1.4001452291610537,1004.4167849535459,1.391897477656245,1019.5136996176142,1.3053347309716832,1227.0465119613136,1.3144098534608633,1199.910809982525,False,75.0,0.7765406275584809,1.756116664122042,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,139.37647070140395,139.3766544122113,0.00018371080733712444,0.5398328333957346,0.013083343989229912,0.33793392904985675,0.023024121581461818,2.170548652868313,2.2380009836065553,98.27078447136782,288.1500000000577,219.93011230670896,431.9827533390217,208.9336066913735,1304.2580027405634,110.90549582622515,1173.84881221486,1.8838886669669281,78.40854969034625,0.5566106156379088,1.106460225909739,257.52425211055146,70.39458417947264,72500.0,0.5143793897038955,0.7281715208741589,13.921027493084374,1.4001452291610537,1004.4167849535459,1.39273563832759,1017.9574195856554,1.2996079305802515,1245.0344504392351,1.3074720095459889,1220.509330330977,False,72.5,0.7506559399731983,1.619256458458792,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,117.77023030630018,117.77038917422762,0.0001588679274281192,0.46683221658184204,0.013177461289644844,0.4028085919450195,0.02681603321386865,1.984270859982308,2.0459343910646055,98.27078447136793,288.1500000000577,201.05557758686925,423.8935888678034,191.00279870752576,1420.9247889350943,109.26491352832512,1297.8011086533843,1.7480707442102301,63.96490381157579,0.48134116970381646,1.0905367799909085,250.70091425143184,69.69893741322376,70000.0,0.4773219177866036,0.7260322707990936,14.186878699248675,1.4001452291610537,1004.4167849535459,1.3933668285813685,1016.7854369716217,1.2908115657519172,1274.1337996003297,1.2975937527731882,1251.513786554625,False,70.0,0.7247712523879155,1.4985289637229668,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,94.05066470436589,94.05079927996474,0.0001345755988417099,0.3954493907118504,0.012975109429665118,0.4966513962832854,0.031170496775815307,1.8027896977086026,1.8588134900251874,98.27078447136779,288.15000000005796,182.66705985073614,413.647969764608,173.53370685819934,1549.0996671152348,107.40388704085507,1435.953787321671,1.6157116063424155,50.063466962588585,0.40773979499020657,1.0714916144014097,235.35009049151597,70.15909776410967,67500.0,0.4404899523381802,0.7252883876698547,13.087871255492818,1.4001452291610537,1004.4167849535459,1.394166279876496,1015.3010272635047,1.2814872835612379,1307.2636419906187,1.287370920719608,1286.005555143342,False,67.5,0.6988865648026326,1.3796173337984556,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,81.02709455842812,81.02721282494727,0.0001182665191620148,0.34752528204789895,0.012993707040429944,0.5773049817529488,0.03551978036149636,1.6924988034843254,1.745095177638778,98.27078447136792,288.1500000000579,171.49187208376387,407.7965637543305,162.91727847957566,1675.1689219109737,106.34140773854551,1568.5231937703493,1.5320210813846797,41.930221713898625,0.3583262247567233,1.0616635503070668,229.75203410360027,69.49347158853936,65000.0,0.40957114409651413,0.7231306847295902,12.257641537824627,1.4001452291610537,1004.4167849535459,1.3946057285903362,1014.4869901159965,1.272418401625538,1342.465730674306,1.2779325343497197,1320.5717155188977,False,65.0,0.6730018772173498,1.2917726667841387,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,69.29048879670235,69.29059107481517,0.00010227811282079703,0.30054346959076245,0.013280160490730268,0.6899731636602953,0.04197779603520464,1.5822079092600503,1.6313768652523706,98.27078447136776,288.1500000000575,160.31668431679128,401.77431747938704,152.30085010095172,1854.5350352005835,105.37712788331598,1756.1283786214647,1.445293235450432,34.429130576821834,0.30988423690827177,1.0527094482710933,225.77807932061506,69.09841408666551,62500.0,0.3786523358548485,0.7239668669126076,11.170324895542732,1.4001452291610537,1004.4167849535459,1.3949959400577396,1013.7714060852365,1.2583907419746128,1405.7041636761705,1.264158218120224,1377.9215408221426,False,62.5,0.6471171896320675,1.2039279997698233,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,55.15424914157026,55.15433420436914,8.506279887859971e-05,0.24995639832413122,0.013275919016441935,0.8665390101951133,0.050457292352504825,1.471917015035771,1.5176585528659592,98.27078447136792,288.15000000005796,149.1414965498188,392.2303584508921,141.68442172232787,2067.784981444736,104.13505601211457,1982.4814608365089,1.3605833342601263,26.218686959831935,0.2577249402906145,1.0412647513279316,214.3434695339835,69.18131205307833,60000.0,0.3477335276131819,0.7218906118960914,9.944243509320636,1.4001452291610537,1004.4167849535459,1.3956143350512158,1012.6373676928096,1.2345449674248667,1552.2489952964763,1.2421277910709863,1498.9517285805423,False,60.0,0.6212325020467844,1.1160833327555049,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
1e-06,0.0,41.72455968210625,41.724627737992556,6.805588630121228e-05,0.19998171290936995,0.013255840411137797,1.1437154961892007,0.06297099973480061,1.3719278440186304,1.4145621017494858,98.27078447136786,288.1500000000576,139.01012742238888,381.99769305120753,132.05962105126943,2320.068943241494,102.96002464701043,2256.9983827266296,1.2826300450492747,18.90477738709899,0.20619706222501763,1.0305651090060384,200.28758913923065,68.78871616544357,57499.99999999999,0.3186953280253744,0.7248901615672924,8.28276586403434,1.4001452291610537,1004.4167849535459,1.3962773492434692,1011.4215020756376,1.184439043019265,2103.7524398949718,1.191407207706562,1991.0324235459602,False,57.49999999999999,0.5953478144615021,1.0334861975644807,,,,,,V0_B0_N1,22.37071526248297,0.0,1.0,False
