MN,alt_m,Fn_N,Wf_kgps,W_kgps,T4_K,N_pct,SMN,binding,conv,Fn_at_100pct,T4_at_100pct
0.0,0.0,659.1701078560486,0.023320719285533288,1.3848717393274181,1150.2774380651078,98.74993722781497,0.10467760596058029,T4,True,685.5678165312846,1169.0302887912776
0.3,0.0,578.6107488233577,0.024400538198686983,1.4658498057136622,1150.3139300954674,99.65609423283045,0.11133483421880652,T4,True,587.0996895886544,1157.2974238757993
0.5,0.0,568.8067103383748,0.02603627643959689,1.5889200308914317,1149.9988217880482,99.78555063730698,0.12520300390411565,T4,True,575.5943841969546,1155.527579392801
0.7,0.0,588.0889688687216,0.02833122375154058,1.7674093469176244,1150.0453395449981,99.8870061915897,0.12309837346329466,T4,True,591.9624026151283,1152.263161967617
0.8,0.0,598.1198882543763,0.029564248119885575,1.867420190738329,1150.2640562330125,99.42535621144758,0.11717368565040376,T4,True,618.6547085620936,1161.1476000491268
0.9,0.0,629.0515214532569,0.03132436479450966,2.010515541817965,1150.0006269570533,99.56850968273517,0.12454280943560869,T4,True,648.1644596185001,1161.1742140076021
0.95,0.0,635.1574860181513,0.03203748045684172,2.0724717344835364,1150.1491240073437,99.27168541360281,0.12449618729448964,T4,True,669.5611403557216,1167.9513837123109
1.0,0.0,642.7931920181928,0.032791346573418534,2.1412283554632827,1149.8827730463834,99.21725880483262,0.12339288268132331,T4,True,679.1913910805022,1165.7038569337742
1.02,0.0,645.112606601518,0.03310204578429336,2.1674248097962336,1150.4402774253483,99.14288286894127,0.12204099178269345,T4,True,684.1838017373149,1166.499007725131
1.05,0.0,650.2274899721148,0.033579912683657065,2.2130771338750375,1150.0416760352978,99.17289569622618,0.12214066448823147,T4,True,688.4746781740109,1165.6209413145782
0.0,300.0,646.6969430367542,0.02275724288028844,1.349105053316156,1150.2188934251103,98.99035437205589,0.10468579888993079,T4,True,669.7041761765075,1169.1920575573947
0.3,300.0,562.1278263427885,0.023685174517370556,1.4184877226716166,1150.32499804246,99.6181666765968,0.10982866469025154,T4,True,570.111175578401,1156.352111840603
0.5,300.0,556.1778310758783,0.025323370715097725,1.5421631771416164,1149.8299807768205,99.95242012113117,0.12071263018599154,T4,True,557.5348942625765,1150.9150548848063
0.7,300.0,574.4214900084542,0.027548564658464652,1.7128410561466865,1150.0059223841358,99.78020556370352,0.12338838572686162,T4,True,581.4564445121134,1153.9764885581476
0.8,300.0,589.5155781923911,0.028852202783362438,1.8176997267751007,1149.8365876575654,99.52263225385059,0.11760629967297409,T4,True,607.5777975009405,1160.6665777452156
0.9,300.0,618.8199302318204,0.030557704774845266,1.9547536288198877,1150.1613669060123,99.73477143211312,0.1233556064191883,T4,True,629.7272219218682,1156.4828149930604
0.95,300.0,629.4426651340717,0.03135635723812885,2.022318589121013,1149.8890589559214,99.44393866256351,0.12647550504216976,T4,True,654.7881442410037,1164.9347117388277
