MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,N_pct,comp_NcMap,comp_WcMap,W_stack,PR_stack,stall_index,stall_row,SM_peak,case,igv_deg,bleed,A8_scale,ok,max_igv
1e-06,0.0,685.5678165312655,685.5682940226085,0.0004774913428914076,1.403104739951319,0.024238560573590313,0.1272796300538499,0.01641120002610048,5.247867820331728,5.410951433048642,98.27078447136782,288.1500000000577,531.738442062162,539.7898201253593,505.15151995905387,1169.0302887912528,161.2067095684251,956.5816731096032,3.133563865371493,359.16691638338784,1.4467126576872313,1.5909918047026355,490.52874137781686,70.16132931708175,100000.0,0.6988685154302999,0.7526539850472209,1.7740626452888818e-12,1.4001452291610537,1004.4167849535459,1.3824348093476893,1037.6461019280625,1.3120994722837054,1206.6794646817318,1.3277049430659327,1162.8975373530764,True,100.0,1.035387503411308,3.1895074974127606,1.4086041902310573,5.616680967200904,0.8960907811314974,S6,0.10633111969941589,V30_B0_N1,22.37071526248297,0.0,1.0,False,52.370715262482975
1e-06,0.0,630.2233918030677,630.2238567964938,0.00046499342610409946,1.3663797049431403,0.022234059796003777,0.1270067349239638,0.015458628908047606,5.011119330535744,5.166845707829995,98.27078447136778,288.1500000000577,507.74998095097305,528.5035874039805,482.3624819034244,1126.2394770308483,155.66221637785523,921.5940102176942,3.0987769102075178,333.79864496426114,1.408846223708695,1.5362717297686481,463.4837054813637,70.16132931710263,97500.0,0.7073091787586876,0.7536772758076064,3.604426684286347e-11,1.4001452291610537,1004.4167849535459,1.3836319046678307,1035.3103509106081,1.3155571588526351,1196.60625848108,1.331325969808813,1153.3311791954595,True,97.5,1.0095028158260253,3.106024938223777,1.3717352119388906,5.312671758061298,0.8605984854806883,S6,0.1114420379622858,V30_B0_N1,22.37071526248297,0.0,1.0,True,52.370715262482975
1e-06,0.0,572.6875274705166,572.6879772639439,0.00044979342739140507,1.3217146224059566,0.02028723922018008,0.12752863942267065,0.014581723567594407,4.7558784422213325,4.9036729112426425,98.27078447136772,288.1500000000577,481.88778377881,517.9254409410548,457.79339458986954,1086.1715909269124,150.1980869843071,888.976925658496,3.04793092762693,308.410814645274,1.3627929687924374,1.4823447864767922,435.7793078604533,70.16132931727292,95000.0,0.7101779195611502,0.7558336263300942,3.7263032651914956e-11,1.4001452291610537,1004.4167849535459,1.3847538936123807,1033.1211445493195,1.3189259034483034,1187.0143384328778,1.3348169789405326,1144.3044748631175,True,95.0,0.9836181282407427,3.0044932338765675,1.3268950652075246,5.042550670694048,0.8350963193229367,S6,0.10222937791954978,V30_B0_N1,22.37071526248297,0.0,1.0,True,52.370715262482975
1e-06,0.0,519.0941853172931,519.0946174378569,0.00043212056388754633,1.2697830451743748,0.018689488972675097,0.12961455204994168,0.013982715072087855,4.502825259864815,4.642755806127185,98.27078447136797,288.1500000000577,456.24725517711687,508.0878889635636,433.434892418261,1056.3486286576997,144.87120644216574,866.4948961171949,2.991863621921952,283.3940392274865,1.3092473795178956,1.4297723885756948,411.3956719114412,70.16132938686115,92500.0,0.7110622256618632,0.7561998041391768,1.6011928903761968e-09,1.4001452291610537,1004.4167849535459,1.3857685426738717,1031.1554626472853,1.3214816172665254,1179.8601797473184,1.3373103283145142,1137.985305975709,True,92.5,0.95773344065546,2.8864434901786242,1.2747599428528942,4.740476465990656,0.8659767752137705,R1,0.09243449529561332,V30_B0_N1,22.37071526248297,0.0,1.0,False,52.370715262482975
1e-06,0.0,461.4214757192346,461.42188459248547,0.0004088732509060879,1.201470989843909,0.01721985347937597,0.1343489104600628,0.013615693548732672,4.21481002430921,4.345790161235822,98.27078447136792,288.1500000000577,427.06420829259673,498.25676996315536,405.71099787796686,1034.6934572828764,139.26568213702214,852.6792837630131,2.9132158881668477,255.99842066622102,1.238812213628111,1.3744499813247173,386.62046788756453,70.1613293180698,90000.0,0.7055073395914403,0.7546137354449329,1.023544479889198e-10,1.4001452291610537,1004.4167849535459,1.3867411360012007,1029.2920911633016,1.3233511933605655,1174.7017570330495,1.3388539623191917,1134.0993204952113,True,90.0,0.9318487530701771,2.7311579962049217,1.2061801393343603,4.405020284769066,0.9033054847510483,S1,0.08099822563283565,V30_B0_N1,23.92653642789636,0.0,1.0,False,52.370715262482975
1e-06,0.0,402.2613599115359,402.2617422121319,0.000382300595976254,1.1233874420682168,0.01578004828577255,0.14122204986647055,0.01334450191457063,3.9039107995285818,4.025229380466365,98.27078447136788,288.1500000000577,395.56244889562777,488.10717815311745,375.7843264508464,1016.1141088031824,133.92242291173855,842.4027352788863,2.8059851239288482,227.63316782353715,1.1583018613302931,1.3217159378099814,360.57475607542,70.16132931710514,87500.0,0.6962121361383194,0.7534604319706902,2.3821199603678163e-12,1.4001452291610537,1004.4167849535459,1.3877452337041665,1027.3683594366219,1.3249673792530507,1170.2917410795553,1.3400366049743648,1131.166229614961,True,87.5,0.9059640654848946,2.5536601559055625,1.127790544136527,4.0839225667376455,0.9498826063186045,S1,0.05755183912780781,V30_B0_N1,26.14522393520629,0.0,1.0,False,52.370715262482975
1e-06,0.0,349.351523134972,349.3518775386762,0.0003544037041839879,1.041412634176172,0.014664305046329264,0.1511128324074584,0.013377108493631093,3.606770570272407,3.718855172053382,98.27078447136782,288.1500000000577,365.4548150930894,479.1738502173744,347.18207433843486,1009.539134376757,129.42774082607284,843.6387790290529,2.6824394223567882,201.45324831489629,1.0737793101535265,1.2773567273144764,337.78660091601944,70.16132931708736,85000.0,0.6784953803739162,0.752376443093149,3.1087784068598556e-12,1.4001452291610537,1004.4167849535459,1.3886290063503208,1025.6751558061603,1.325462435459356,1168.9511455540255,1.3398944576015535,1131.5185891121596,True,85.0,0.8800793778996118,2.367316786856922,1.0454944370803103,3.7626701724730696,1.0033346866668935,S1,0.03385917933404814,V30_B0_N1,28.363911442516244,0.0,1.0,False,52.370715262482975
1e-06,0.0,296.81520553129235,296.8155258673055,0.0003203360131087687,0.9413049787422844,0.013900457393336129,0.1685952932446189,0.01402885868224519,3.29027839091973,3.3925276291258983,98.27078447136778,288.1500000000577,333.3863514549915,470.28212435336934,316.7170338822419,1025.4642446318878,124.8299628561291,867.1389412402827,2.5371876001218494,173.5225484962531,0.9705603499976213,1.2323978149097374,317.306677807755,70.12702821842655,82500.0,0.65348735606571,0.7483452036658319,1.588982151636723,1.4001452291610537,1004.4167849535459,1.38943825309862,1024.1459694503708,1.323770631120191,1173.5477940017547,1.3372197495511418,1138.2146771645685,False,82.5,0.854194690314329,2.162282192247671,,,,,,V30_B0_N1,30.582598949826192,0.0,1.0,False,52.370715262482975
1e-06,0.0,251.5573662574913,251.55765371989705,0.0002874624057454481,0.8447061293653152,0.01337211447830268,0.19136633857350246,0.015038968361615357,2.997113019202785,3.090251801585759,98.27078447136782,288.1500000000577,303.68146875589025,459.288432888305,288.4973953180957,1052.3522528478532,120.81823449397996,901.1502750790983,2.3878630285105737,146.22055611710985,0.8709592481464987,1.1942887766602215,299.3797647101584,70.02518726595642,80000.0,0.633666037518192,0.7434781120322793,6.406949891125228,1.4001452291610537,1004.4167849535459,1.3904225773025751,1022.2912578424222,1.3210683564221555,1181.0114240934063,1.333424867562057,1147.8945056562786,False,80.0,0.8283100027290463,2.020394886848484,,,,,,V30_B0_N1,32.80128645713614,0.0,1.0,False,52.370715262482975
1e-06,0.0,209.86552425343768,209.86577821060806,0.00025395717039207834,0.7462512458635027,0.012982576551097403,0.2227010641705486,0.016527205538224926,2.712330352656848,2.7966191815559456,98.27078447136782,288.1500000000577,274.8259608391774,447.21327253356685,261.0846627972185,1095.0004508662662,117.21180356722944,951.7517965450097,2.227460501855238,119.96458693227906,0.7694444273939611,1.1601486546581512,282.2999615854655,70.01495343954184,77500.0,0.6126322133408658,0.739480873198794,10.706194909272371,1.4001452291610537,1004.4167849535459,1.391503722576703,1020.2541057241194,1.3169892464810675,1192.4975666418668,1.3280392975851691,1162.0133033707975,False,77.5,0.8024253151437636,1.8797632650127518,,,,,,V30_B0_N1,35.01997396444609,0.0,1.0,False,52.370715262482975
