MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,N_pct,comp_NcMap,comp_WcMap,W_stack,PR_stack,stall_index,stall_row,SM_peak,case,igv_deg,bleed,A8_scale,ok,max_igv
1e-06,0.0,685.5678165313399,685.5682940226828,0.0004774913428914861,1.4031047399515497,0.024238560573599653,0.12727963005388515,0.01641120002610411,5.247867820330575,5.410951433048954,98.27078447134056,288.1500000000577,531.7384420620451,539.7898201253715,505.15151995894286,1169.030288791389,161.20670956840283,956.5816731097361,3.133563865371237,359.16691638346487,1.4467126576878706,1.5909918047024159,490.5287413777877,70.1613293171104,100000.0,0.6988685154303044,0.752653985047217,1.7717467016758606e-12,1.4001452291610537,1004.4167849535459,1.382434809347688,1037.646101928065,1.3120994722836943,1206.6794646817648,1.3277049430659187,1162.8975373531127,True,100.0,1.035387503411308,3.1895074974127486,1.408604190231052,5.616680967201161,0.8960907811315477,S6,0.10633111969936104,V15_B10_N1.6,22.37071526248297,0.0,1.0,False,37.370715262482975
1e-06,0.0,630.2233918031122,630.2238567965384,0.00046499342610417557,1.366379704943364,0.022234059796011476,0.1270067349239988,0.01545862890805043,5.0111193305345765,5.166845707830223,98.2707844713405,288.1500000000577,507.7499809508547,528.5035874039866,482.3624819033119,1126.2394770309531,155.66221637783735,921.5940102177995,3.098776910207151,333.79864496432435,1.4088462237093164,1.536271729768472,463.4837054813194,70.16132931713133,97500.0,0.7073091787586907,0.7536772758076131,3.604413237508936e-11,1.4001452291610537,1004.4167849535459,1.38363190466783,1035.3103509106095,1.3155571588526263,1196.6062584811061,1.3313259698088018,1153.3311791954884,True,97.5,1.0095028158260253,3.106024938223763,1.3717352119388841,5.312671758061501,0.8605984854807328,S6,0.11144203796223806,V15_B10_N1.6,22.37071526248297,0.0,1.0,True,37.370715262482975
1e-06,0.0,504.57987571571175,504.580331664716,0.0004559490042891719,1.3398027390827771,0.020172418626597577,0.14392311416055548,0.01589271907659676,4.42098227934467,4.558369459541225,98.2707844713406,288.1500000000577,447.9545426993171,509.10684482688237,425.55681556435115,1124.9853735539946,143.56693257600062,927.0787113618563,2.9641701464860115,285.3075086025572,1.3814432566900625,1.4169001644858186,420.31255979605015,70.16132948882888,95000.0,0.6977460680154888,0.755762619827239,6.46581757577888e-08,1.4001452291610537,1004.4167849535459,1.3856677470371987,1031.3485813755358,1.3153513373433228,1197.1986784843866,1.330558141670294,1155.3394133141783,True,95.0,0.9836181282407426,3.0456107514156168,1.3450540780157354,4.972290140134606,0.932965808756801,S6,0.11842023468063623,V15_B10_N1.6,22.37071526248297,0.1,1.0,True,37.370715262482975
1e-06,0.0,454.68875746937937,454.6892021093695,0.00044463999015002884,1.3065712856144849,0.018596089369159376,0.14723460967359012,0.015023447753171848,4.234119308995838,4.365699504464288,98.27078447134045,288.1500000000577,429.0207150698479,500.6547277721254,407.5696793163555,1087.0924625159014,137.4864318461458,895.2221487510676,2.9644356453475087,267.44352330694335,1.3471789833275472,1.3568900849797716,388.719399687125,72.0748212042317,92500.0,0.7000988948999066,0.7544830580196424,4.413070821610661e-08,1.4001452291610537,1004.4167849535459,1.3865039106560633,1029.7465894908448,1.3185619050926694,1188.0399321896882,1.3339614254408165,1146.5048215071029,True,92.5,0.9577334406554598,2.970069726594694,1.3116923743096256,4.534315024249421,0.8622902456986727,R4,0.13467884097292315,V15_B10_N1.6,22.37071526248297,0.1,1.0272727272727271,True,37.370715262482975
1e-06,0.0,400.65127950363404,400.65170786007747,0.00042835644340775454,1.2587222052961848,0.016944359235124325,0.1522513376770441,0.01420942003780409,4.005028298790608,4.1294892239449625,98.27078447134059,288.1500000000577,405.8081455030189,491.01837517585415,385.51773822786794,1049.7827396584069,132.10373970731527,865.1903172394907,2.918295417540854,245.80077695487432,1.2978427732897981,1.3037668695361386,355.82808523544696,73.9883115836839,90000.0,0.7007025902491328,0.7536436811153163,1.6871707700173223e-08,1.4001452291610537,1004.4167849535459,1.3874572288219746,1027.9201421782539,1.321820419331409,1178.9266483902404,1.337279444963925,1138.061718942486,True,90.0,0.9318487530701771,2.861300227017065,1.263655750160391,4.204604620362875,0.8512818978991233,R4,0.14100876389083616,V15_B10_N1.6,23.148625845189663,0.1,1.0545454545454545,True,37.370715262482975
1e-06,0.0,350.01845570683474,350.01886544415964,0.0004097373248739695,1.204010064736161,0.015448255520866734,0.1588879642440931,0.013543484740109682,3.7670639759874804,3.8841298822904706,98.27078447134072,288.1500000000577,381.69649052126084,480.2804736689933,362.6116659951978,1016.5268002445915,127.19867183300126,840.5704484154472,2.850750410910497,222.48769657932533,1.2414302019231587,1.255357453033899,325.1993793832809,75.90180227255736,87500.0,0.7029384490675885,0.7529129156146072,1.204676647462753e-08,1.4001452291610537,1004.4167849535459,1.388519517997381,1025.884915849611,1.3248005823168294,1170.7458868307292,1.3400815726489337,1131.0558632067948,True,87.5,0.9059640654848945,2.7369297666038768,1.208729166096522,3.947259249916799,0.8560373056898776,R4,0.1339627717736085,V15_B10_N1.6,24.25796959884463,0.1,1.0818181818181818,True,37.370715262482975
1e-06,0.0,304.7112055314957,304.71159616352827,0.00039063203256130133,1.1478693061629597,0.014112530240800777,0.16673200047981648,0.012977574727926577,3.5363268811456723,3.646222363134779,98.27078447134055,288.1500000000577,358.3171319821999,469.77176510641505,340.40127538308985,986.8499730270827,123.04658286122573,819.5701122662751,2.7664423299507703,200.38415409721844,1.1835446116835802,1.2143793856529674,297.11697648849423,77.81529251557728,85000.0,0.7007921594679326,0.7523734569288739,1.4789796990636093e-11,1.4001452291610537,1004.4167849535459,1.3894839286953893,1024.0598932469322,1.327536817928413,1163.3629358878957,1.3425146649603659,1125.0465125004985,True,85.0,0.8800793778996118,2.6093118024696804,1.1523683645702658,3.6969975393144363,0.8786604730345473,R1,0.12825562200919616,V15_B10_N1.6,25.367313352499608,0.1,1.1090909090909091,True,37.370715262482975
1e-06,0.0,264.73040371995694,264.73077447757925,0.0003707576222880246,1.0894685002147066,0.012984733217293763,0.17657601441089643,0.012580544808978017,3.3149902257681574,3.4180074130627736,98.2707844713407,288.1500000000577,335.89026981053667,459.77318482456974,319.0957563200098,963.558545047291,119.33881390231056,804.7908768429818,2.673863983441448,179.61210161887377,1.1233287327268666,1.1777864294551954,272.07643744218143,79.72878361455084,82500.0,0.698447770433626,0.7517923438362295,6.135462627589206e-09,1.4001452291610537,1004.4167849535459,1.3903791528150666,1022.3730669644821,1.3297131834399822,1157.5834621943964,1.3442892605657877,1120.7495019518913,True,82.5,0.854194690314329,2.4765563472829646,1.093738657443467,3.467611952147066,0.909958959009517,S1,0.11441082738119124,V15_B10_N1.6,26.476657106154583,0.1,1.1363636363636365,True,37.370715262482975
1e-06,0.0,231.04649573734466,231.0468460389353,0.0003503015906467602,1.0293586042265408,0.012161095494580014,0.18948542647561906,0.01247059271495677,3.1141675070732857,3.2109438941797177,98.27078447134053,288.1500000000577,315.5419753745019,451.2425424793097,299.7648766057768,952.043925319722,116.59953457259377,800.9816604061394,2.570892565777319,161.17601464560863,1.0613506459153426,1.1507517547934945,251.3516186944153,81.64227441412129,80000.0,0.6913806464011791,0.7490693926340993,6.344924969302451e-09,1.4001452291610537,1004.4167849535459,1.3911429436051974,1020.9338930293275,1.3307507611833302,1154.8570477714002,1.344751758479928,1119.6315804112269,True,80.0,0.8283100027290463,2.3399158254003507,1.0333931615211855,3.2480507794577833,0.944362457066995,S1,0.10029087445627405,V15_B10_N1.6,27.586000859809555,0.1,1.1636363636363636,True,37.370715262482975
1e-06,0.0,200.04264785661005,200.0429766862481,0.00032882963803222866,0.9662634320564538,0.011406488220748516,0.20527301570277526,0.012460558488864197,2.9119437488721807,3.0024357968538427,98.27078447134069,288.1500000000577,295.05172108166204,442.52641931598157,280.29913502757887,944.0389476514325,114.24898924501399,801.0286579485419,2.453405818991187,143.12348530401968,0.9962945017670344,1.1275535991097314,231.8357514190727,83.55576514689656,77500.0,0.6831998916283482,0.7462038292833628,3.869199053754842e-09,1.4001452291610537,1004.4167849535459,1.3919128926391309,1019.4850599808227,1.3314376250363715,1153.0654263467534,1.344753827067239,1119.6267379417632,True,77.5,0.8024253151437636,2.1964892379497267,0.9700506886668742,3.04308561982956,0.9835195538837448,S1,0.07708897966524741,V15_B10_N1.6,28.695344613464528,0.1,1.190909090909091,False,37.370715262482975
