MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,N_pct,comp_NcMap,comp_WcMap,W_stack,PR_stack,stall_index,stall_row,SM_peak,case,igv_deg,bleed,A8_scale,ok,max_igv
1e-06,0.0,685.5678165313325,685.5682940226753,0.0004774913428914863,1.4031047399515502,0.024238560573599213,0.1272796300538842,0.016411200026103804,5.247867820330549,5.410951433048926,98.27078447134056,288.1500000000577,531.7384420620424,539.7898201253707,505.1515199589402,1169.0302887913776,161.20670956840095,956.5816731097249,3.1335638653712574,359.1669163834638,1.446712657687871,1.5909918047023979,490.52874137778235,70.16132931711041,100000.0,0.6988685154303039,0.7526539850472167,1.9746841652160296e-12,1.4001452291610537,1004.4167849535459,1.3824348093476881,1037.6461019280648,1.3120994722836954,1206.6794646817618,1.32770494306592,1162.8975373531098,True,100.0,1.035387503411308,3.18950749741275,1.4086041902310524,5.61668096720117,0.8960907811315493,S6,0.10633111969935949,V0_B20_N1,22.37071526248297,0.0,1.0,False,22.37071526248297
1e-06,0.0,630.2233918031063,630.2238567965325,0.0004649934261041759,1.366379704943365,0.022234059796011035,0.12700673492399747,0.01545862890805011,5.011119330534551,5.166845707830197,98.2707844713405,288.1500000000577,507.7499809508521,528.503587403985,482.36248190330946,1126.2394770309404,155.66221637783556,921.5940102177871,3.0987769102071705,333.7986449643225,1.4088462237093176,1.5362717297684545,463.4837054813148,70.16132931713122,97500.0,0.7073091787586903,0.7536772758076129,3.6076768138119544e-11,1.4001452291610537,1004.4167849535459,1.3836319046678303,1035.310350910609,1.3155571588526274,1196.6062584811027,1.3313259698088031,1153.3311791954852,True,97.5,1.0095028158260253,3.1060249382237646,1.3717352119388848,5.312671758061501,0.8605984854807328,S6,0.11144203796223873,V0_B20_N1,22.37071526248297,0.0,1.0,True,22.37071526248297
1e-06,0.0,443.69958375900177,443.7000420787041,0.00045831970233800237,1.3467690175689273,0.02083082800096404,0.16901296180661368,0.018367372525243574,4.100515391925501,4.227943689858585,98.27078447134058,288.1500000000577,415.48334310305745,504.6184392518827,394.70917594790455,1206.9327492445564,137.60019018161475,1004.5380039650386,2.8685220233121664,266.002472028745,1.3886260442439273,1.3580127991604556,412.64364203404403,70.16132931713469,95000.0,0.6690040648368066,0.7522732539084881,1.4009304228782325e-12,1.4001452291610537,1004.4167849535459,1.386111803646064,1030.4978346126666,1.308408718782803,1217.6796700128496,1.3225122812901327,1176.9946406620547,True,95.0,0.9836181282407426,3.061446345742958,1.352047660737327,4.70262842690944,1.0323493593614723,R4,0.16210838445430653,V0_B20_N1,22.37071526248297,0.2,1.0,False,22.37071526248297
1e-06,0.0,424.22162072049235,424.22206982742273,0.0004491069303845372,1.3196973560855538,0.020178911165864184,0.17124087186724082,0.01815753960479274,3.998136390754133,4.122383141828731,98.27078447134052,288.1500000000577,405.1098252389388,499.9974291491308,384.8543339769919,1195.9010995656665,135.91007697863444,997.4824348242388,2.8316835847094133,255.01411571292437,1.3607130066655717,1.341332623365273,402.7051761129465,70.16132931723794,92500.0,0.6696287687350576,0.7502014374730561,4.7976746678819605e-12,1.4001452291610537,1004.4167849535459,1.3865689567796877,1029.6219818329705,1.3092327228729446,1215.1981914713103,1.323206458067157,1175.0795235996704,True,92.5,0.95773344065546,2.9999076274918752,1.3248698922385105,4.297269006411174,0.9325753744027736,R5,0.1354797606069511,V0_B20_N1,22.37071526248297,0.2,1.0,False,22.37071526248297
1e-06,0.0,398.51021115135495,398.51064692488194,0.0004357735270072948,1.280517249981418,0.019378794133506363,0.1750611576026255,0.01797111130980293,3.8592979483224314,3.9792301328814177,98.27078447134048,288.1500000000577,391.0420667502533,493.80428922049504,371.4899634127406,1184.3145628825948,133.72301430282295,991.4229774963375,2.7780555602155483,240.10687676742467,1.3203151989920237,1.3197479213209966,389.9440729200339,70.16132931711007,90000.0,0.6702782768846406,0.7476863046890045,1.82860208085381e-13,1.4001452291610537,1004.4167849535459,1.3871816386928508,1028.4481531844185,1.3100927989150972,1212.6335869648071,1.3238116198356147,1173.4180111811127,True,90.0,0.9318487530701771,2.9108442535253087,1.2855362202320368,4.0725809845871,0.9229693530268188,R4,0.11387506961248395,V0_B20_N1,22.37071526248297,0.2,1.0,False,22.37071526248297
1e-06,0.0,363.9606786946905,363.9611000254204,0.0004213307299065799,1.2380771987179608,0.01794595636632789,0.17750665580271346,0.01721283875277075,3.671874954053373,3.785982750487818,98.27078447134073,288.1500000000577,372.0514948854021,482.61276766807987,353.44892014113196,1148.7013344922098,130.78014327697645,965.1195003849497,2.702619153678171,219.3312929636137,1.2765561284055396,1.2907039460611984,368.61982787422426,70.16132931710962,87500.0,0.6777106327381872,0.7473495365912726,6.423330283998269e-11,1.4001452291610537,1004.4167849535459,1.3882887992690693,1026.3269551730384,1.3128973769531656,1204.3440108938369,1.3264676748544413,1166.2212914193262,True,87.5,0.9059640654848946,2.814370442382698,1.2429298257547472,3.8566978966936394,0.919320933973826,R4,0.1153298189786065,V0_B20_N1,22.37071526248297,0.2,1.0,True,22.37071526248297
1e-06,0.0,330.7514490738903,330.75185471130357,0.0004056374133041454,1.1919625052512768,0.016615027240977315,0.1808430416102449,0.016552823399844457,3.484461679412961,3.5927453897716606,98.27078447134069,288.1500000000577,353.0619078586537,472.3211665858571,335.408812465721,1117.017664622641,127.79926883798923,942.1236082280219,2.6244971157927184,199.84988256002407,1.2290082092488053,1.261284905030136,348.17134435514345,70.16132931710965,85000.0,0.6813986519220717,0.7461711382232827,2.912839542962485e-11,1.4001452291610537,1004.4167849535459,1.3892556755507592,1024.4899840839869,1.3154593882700814,1196.8966352697955,1.328840805966307,1159.8866793597567,True,85.0,0.8800793778996118,2.709543513668911,1.1966343863632207,3.657595613818362,0.9222817810932695,R4,0.11069928552315678,V0_B20_N1,22.37071526248297,0.2,1.0,True,22.37071526248297
1e-06,0.0,301.5779686849333,301.5783575002037,0.000388815270430585,1.1425307642293276,0.015614505252406721,0.18639365187644272,0.01622908158603527,3.3106311487261064,3.4135128726179707,98.27078447134063,288.1500000000577,335.44858779518745,462.847357489515,318.67615840542805,1097.684960410453,125.34720448710657,931.281919501999,2.5423475514223184,181.60886124190571,1.178040150064235,1.2370848309907165,331.30190345806426,70.16132943736697,82500.0,0.6852447192050539,0.7439628208344049,5.8478868864386965e-09,1.4001452291610537,1004.4167849535459,1.3901039118393843,1022.8916931886894,1.3170000315500545,1192.4655340115446,1.3299777504449466,1156.8736872251793,True,82.5,0.8541946903143292,2.597176343841579,1.1470088982928595,3.4665585878320897,0.928445508912261,R4,0.1004068816505983,V0_B20_N1,22.37071526248297,0.2,1.0,True,22.37071526248297
1e-06,0.0,273.39813041955387,273.3985014389678,0.0003710194139346067,1.0902377730102608,0.014677663219910642,0.19326974734827645,0.015987086033094036,3.135731019140711,3.2331775175325737,98.27078447134059,288.1500000000577,317.72689098302754,453.9879901365009,301.84054643387617,1081.6383050372388,122.95848516945257,923.3570261649902,2.454816729548198,164.41518233226506,1.1241219142042407,1.213509926149894,314.8255702298478,70.16132931714954,80000.0,0.6845341979867104,0.741631517379121,4.078452345520826e-11,1.4001452291610537,1004.4167849535459,1.3908971332589564,1021.3970635066794,1.3183036815207105,1188.7680436978578,1.3308156299351568,1154.6611344252574,True,80.0,0.8283100027290464,2.478305041645629,1.0945109453934656,3.2791375332316046,0.9376240365397427,R1,0.09031875109370491,V0_B20_N1,22.37071526248297,0.2,1.0,False,22.37071526248297
1e-06,0.0,245.79970448225896,245.80005704353127,0.00035256127230333265,1.0359986618743269,0.013739462526434845,0.20122914793307026,0.015748680331906222,2.957057317123809,3.048951321851521,98.27078447134053,288.1500000000577,299.6228382132797,444.8809360103889,284.6416963026157,1065.4755187120495,120.49564867294437,915.5306391607428,2.3622570560635356,147.55991825232363,1.0681970738214737,1.189203539144543,297.93381624496266,70.16132942191331,77500.0,0.6833076567304533,0.7393831727208474,2.2237715618964607e-08,1.4001452291610537,1004.4167849535459,1.391712528285763,1019.8606512112374,1.3196188576096395,1185.0505176527322,1.3316695273274013,1152.439580186674,True,77.5,0.8024253151428228,2.3550098615495036,1.0400592447909203,3.091897974393656,0.9732344118599048,R1,0.07802670022072067,V0_B20_N1,22.37071526248297,0.2,1.0,False,22.37071526248297
