ax80000_opr5_t1150_n6_cap_3r: design stacking PR 5.091; bleed port after stage 3: frac_P 0.379, frac_work 0.497; turbine map coverage [(0.3, 1.13, 2.52), (0.4, 1.13, 2.58), (0.5, 1.12, 2.64), (0.6, 1.11, 2.69), (0.7, 1.1, 2.74), (0.8, 1.08, 2.79), (0.9, 1.05, 2.84), (1.0, 1.03, 2.9), (1.1, 1.0, 2.96)]
+  |  LS: AG 2 ; 0.228636825 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.114318412 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.0571592062 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.0285152506 0.5
+  |  LS: AG 1 ; 51400.4145 1
+  |  LS: AG 2 ; 3.74788933 0.5
+  |  LS: AG 1 ; 10795.8351 1
+  |  LS: AG 2 ; 1.83813959 0.5
+  |  LS: AG 1 ; 1648.91026 1
+  |  LS: AG 2 ; 0.91521236 0.5
+  |  LS: AG 1 ; 287.750152 1
+  |  LS: AG 2 ; 0.457273649 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.228636825 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.114318412 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.0571592062 0.5
+  |  LS: AG 1 ; 19.9027211 1
+  |  LS: AG 2 ; 0.0285152506 0.5
+  |  LS: AG 1 ; 45284.2037 1
+  |  LS: AG 2 ; 3.65481616 0.5
+  |  LS: AG 1 ; 8440.16198 1
+  |  LS: AG 2 ; 1.80342224 0.5
+  |  LS: AG 1 ; 1704.06001 1
+  |  LS: AG 2 ; 0.897477665 0.5
+  |  LS: AG 1 ; 309.475902 1
+  |  LS: AG 2 ; 0.448375917 0.5
+  |  LS: AG 1 ; 35.1024648 1
+  |  LS: AG 2 ; 0.224221312 0.5
+  |  LS: AG 1 ; 26.2427839 1
+  |  LS: AG 2 ; 0.112139006 0.5
+  |  LS: AG 1 ; 22.1628779 1
+  |  LS: AG 2 ; 0.0560817681 0.5
+  |  LS: AG 1 ; 21.516893 1
+  |  LS: AG 2 ; 0.0279540228 0.5
+  |  LS: AG 1 ; 51400.4145 1
+  |  LS: AG 2 ; 3.74788933 0.5
+  |  LS: AG 1 ; 10795.8351 1
