t_drum_mm,shaft_od_mm,journal_mm,k,c,ok,DN_MCS,span_mm,overhang_turb_mm,crits,m_rotor_kg,Ip_kgm2,R_front_N,R_rear_N
0.31082122886739927,16.0,16.0,600000.0,876.0,False,1344000.0,411.06662852478684,18.3379501602387,2553@AF0.53;7388@AF0.7;11338@AF2.69;61503@AF4.07(X);117401@AF5.05,1.0969294868932722,0.0006274590154307939,4.001368332207579,6.759509934215422
0.31082122886739927,16.0,16.0,600000.0,2000.0,False,1344000.0,411.06662852478684,18.3379501602387,2824@AF0.57;10541@AF1.84;13033@AF6.44;57720@AF8.29(X);108459@AF8.23,1.0969294868932722,0.0006274590154307939,4.001368332207579,6.759509934215422
0.31082122886739927,16.0,16.0,1750000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,10966@AF8.71;16740@AF1.16;24620@AF0.56;59814@AF3.09;117772@AF4.37,1.0969294868932722,0.0006274590154307939,4.001368332207579,6.759509934215422
0.31082122886739927,16.0,16.0,1750000.0,2000.0,False,1344000.0,411.06662852478684,18.3379501602387,2542@AF0.64;3155@AF0.52;11591@AF8.43;57321@AF8.0(X);108103@AF8.0,1.0969294868932722,0.0006274590154307939,4.001368332207579,6.759509934215422
0.31082122886739927,16.0,16.0,5000000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,11572@AF59.36;29343@AF1.99;51510@AF4.53;90817@AF2.01;121990@AF2.73,1.0969294868932722,0.0006274590154307939,4.001368332207579,6.759509934215422
0.31082122886739927,16.0,16.0,5000000.0,2000.0,False,1344000.0,411.06662852478684,18.3379501602387,2825@AF0.58;11645@AF30.6;25136@AF0.84;56113@AF8.13(X);106946@AF7.63,1.0969294868932722,0.0006274590154307939,4.001368332207579,6.759509934215422
2.0,24.0,16.0,600000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,2286@AF0.57;6626@AF0.87;28489@AF1.34;118669@AF6.12,1.6162130283980614,0.0008084283995156095,6.252294765984255,9.602755042600728
2.0,24.0,16.0,600000.0,2000.0,True,1344000.0,411.06662852478684,18.3379501602387,2842@AF0.56;3206@AF0.51;21581@AF2.04;102712@AF3.04,1.6162130283980614,0.0008084283995156095,6.252294765984255,9.602755042600728
2.0,24.0,16.0,1750000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,12339@AF2.01;19466@AF1.23;37101@AF1.17;120004@AF6.0,1.6162130283980614,0.0008084283995156095,6.252294765984255,9.602755042600728
2.0,24.0,16.0,1750000.0,2000.0,True,1344000.0,411.06662852478684,18.3379501602387,2716@AF0.52;9395@AF0.6;19681@AF1.68;102223@AF2.79,1.6162130283980614,0.0008084283995156095,6.252294765984255,9.602755042600728
2.0,24.0,16.0,5000000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,16803@AF8.14;29556@AF2.22;55024@AF1.89;123956@AF5.89,1.6162130283980614,0.0008084283995156095,6.252294765984255,9.602755042600728
2.0,24.0,16.0,5000000.0,2000.0,True,1344000.0,411.06662852478684,18.3379501602387,2957@AF0.55;17683@AF4.21;26327@AF0.98;98384@AF2.11,1.6162130283980614,0.0008084283995156095,6.252294765984255,9.602755042600728
2.0,24.0,12.0,600000.0,876.0,True,1008000.0,411.06662852478684,18.3379501602387,2314@AF0.57;3035@AF0.53;6668@AF0.87;27657@AF1.2;120837@AF5.6,1.5974247383484812,0.0008071507957922381,6.153795046623655,9.516941636574945
2.0,24.0,12.0,600000.0,2000.0,True,1008000.0,411.06662852478684,18.3379501602387,2832@AF0.56;3143@AF0.52;21181@AF2.03;88907@AF2.19,1.5974247383484812,0.0008071507957922381,6.153795046623655,9.516941636574945
2.0,24.0,12.0,1750000.0,876.0,True,1008000.0,411.06662852478684,18.3379501602387,2809@AF0.56;12355@AF2.04;19631@AF1.28;39866@AF1.18;122303@AF5.88,1.5974247383484812,0.0008071507957922381,6.153795046623655,9.516941636574945
2.0,24.0,12.0,1750000.0,2000.0,True,1008000.0,411.06662852478684,18.3379501602387,2543@AF0.52;9452@AF0.6;19244@AF1.69;86857@AF2.08,1.5974247383484812,0.0008071507957922381,6.153795046623655,9.516941636574945
2.0,24.0,12.0,5000000.0,876.0,True,1008000.0,411.06662852478684,18.3379501602387,2920@AF0.56;16669@AF8.43;29387@AF2.33;55854@AF2.23;125771@AF6.86,1.5974247383484812,0.0008071507957922381,6.153795046623655,9.516941636574945
2.0,24.0,12.0,5000000.0,2000.0,True,1008000.0,411.06662852478684,18.3379501602387,2835@AF0.57;17506@AF4.37;26923@AF1.01;80151@AF2.01,1.5974247383484812,0.0008071507957922381,6.153795046623655,9.516941636574945
2.0,28.0,16.0,600000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,1230@AF0.5;6266@AF0.92;38705@AF1.52,1.826598171052432,0.0008531352423296634,6.801461974746276,11.117466083278083
2.0,28.0,16.0,600000.0,2000.0,True,1344000.0,411.06662852478684,18.3379501602387,2916@AF0.54;3212@AF0.51;26616@AF1.62;109410@AF2.41,1.826598171052432,0.0008531352423296634,6.801461974746276,11.117466083278083
2.0,28.0,16.0,1750000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,11677@AF1.87;19403@AF1.14;45247@AF1.48,1.826598171052432,0.0008531352423296634,6.801461974746276,11.117466083278083
2.0,28.0,16.0,1750000.0,2000.0,True,1344000.0,411.06662852478684,18.3379501602387,2742@AF0.52;9856@AF0.69;25323@AF1.32;108334@AF2.21,1.826598171052432,0.0008531352423296634,6.801461974746276,11.117466083278083
2.0,28.0,16.0,5000000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,17420@AF5.58;29847@AF2.35;59878@AF2.1,1.826598171052432,0.0008531352423296634,6.801461974746276,11.117466083278083
2.0,28.0,16.0,5000000.0,2000.0,True,1344000.0,411.06662852478684,18.3379501602387,2973@AF0.54;18480@AF2.59;28009@AF1.1;100750@AF1.72,1.826598171052432,0.0008531352423296634,6.801461974746276,11.117466083278083
3.0,24.0,16.0,600000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,4487@AF0.53;6556@AF0.9;30756@AF1.5;122610@AF8.22,1.7363869310568287,0.0008911675499615377,7.107592113975167,9.926363679692324
3.0,24.0,16.0,600000.0,2000.0,True,1344000.0,411.06662852478684,18.3379501602387,2841@AF0.56;3209@AF0.51;21537@AF1.83;113741@AF3.24,1.7363869310568287,0.0008911675499615377,7.107592113975167,9.926363679692324
3.0,24.0,16.0,1750000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,12000@AF2.07;18487@AF1.17;37205@AF1.39;123559@AF8.11,1.7363869310568287,0.0008911675499615377,7.107592113975167,9.926363679692324
3.0,24.0,16.0,1750000.0,2000.0,True,1344000.0,411.06662852478684,18.3379501602387,2752@AF0.52;10191@AF0.63;19143@AF1.43;114738@AF3.03;120204@AF0.79,1.7363869310568287,0.0008911675499615377,7.107592113975167,9.926363679692324
3.0,24.0,16.0,5000000.0,876.0,True,1344000.0,411.06662852478684,18.3379501602387,16419@AF8.02;29415@AF2.17;52291@AF1.98;126310@AF7.99,1.7363869310568287,0.0008911675499615377,7.107592113975167,9.926363679692324
3.0,24.0,16.0,5000000.0,2000.0,True,1344000.0,411.06662852478684,18.3379501602387,2950@AF0.55;17241@AF4.04;26384@AF0.96;71458@AF0.69;120144@AF2.59,1.7363869310568287,0.0008911675499615377,7.107592113975167,9.926363679692324
