A8_scale,A8_cm2,Fn_dry_N,SMN_dry,T4_dry,N_dry,conv_dry,Fn_wet_N,SMN_wet,T4_wet,N_wet,W_wet,conv_wet
1.0,70.76905595421277,500.00000049498135,0.2822305922385646,1149.9999999662002,100.0,True,547.9360327945685,0.12095954560412792,1150.0271521165052,80.32406972102726,0.830528710847918,True
1.15,81.38441434734469,375.00771549926264,0.3850909509259768,1004.6147840233575,100.0,True,653.148067932434,0.18816631818542406,1149.9992525877474,86.84997230419035,0.9757147731344659,True
1.3,91.99977274047662,256.5777398122575,0.46652029625148894,901.9702011913679,100.0,True,754.6994881930963,0.19861119455135445,1150.0278771964086,92.33774095580819,1.1176470236535379,True
1.45,102.61513113360851,152.29295469056188,0.5308025639878966,830.0281992522345,100.0,True,840.853040391016,0.23554549947760672,1150.0405638992934,97.15091506951742,1.245834587379684,True
1.54,108.98434616948768,,,,,False,896.0712087230274,0.2822270285583359,1150.005274912877,100.0,1.3257513048758545,True
