part,source,material,volume_cm3,mass_kg,valid
bearing_front,phase6,steel,4.021238596594971,0.031566722983270526,True
bearing_rear,phase6,steel,4.021238596594972,0.031566722983270526,True
compressor_casing,phase6,Al,202.36464536469802,0.5585264212065666,True
compressor_front_shroud,phase6,Al,148.96496552878685,0.4111433048594517,True
compressor_front_wall,phase6,Al,40.76027905789756,0.11249837019979729,True
deswirl_inner_wall,phase6,Al,25.61757281125785,0.07070450095907167,True
deswirl_vanes,phase6,Al,19.39438240822058,0.0535284954466888,True
diffuser_back_plate,phase6,Al,13.051763565798923,0.03602286744160503,True
diffuser_vanes,phase6,Al,14.20407787445204,0.03920325493348763,True
hot_casing,phase6,SS,70.04484961824213,0.5533543119841128,True
housing_front,phase6,SS,10.254158421317122,0.08100785152840527,True
housing_rear,phase6,SS,10.254158421317126,0.0810078515284053,True
impeller,phase6,Ti,244.23045332079423,1.0819409082111184,True
liner_dome,phase6,IN625,9.126394681487335,0.07702677111175313,True
liner_inner,phase6,IN625,14.003126433267928,0.11818638709678131,True
liner_outer,phase6,IN625,36.9773526178021,0.31208885609424974,True
ngv_hub_ring,phase6,IN713,6.555978357309528,0.05185778880631837,True
ngv_shroud_ring,phase6,IN713,11.12506681984962,0.08799927854501051,True
ngv_vanes,phase6,IN713,13.749339922691176,0.1087572787884872,True
shaft,phase6,steel,54.00927150438105,0.4239727813093912,True
shaft_tunnel,phase6,SS,20.483452779592586,0.16181927695878143,True
turbine_blades,phase6,IN713,14.043401971361366,0.1110833095934684,True
turbine_disc,phase6,IN713,35.52139031549295,0.28097419739554924,True
turbine_shroud,phase6,IN713,20.576457774898213,0.16275978099944485,True
vaporisers,phase6,IN625,5.232064050610244,0.04415862058715047,True
ab_diffuser_casing,phase7,IN625,125.15047716576362,1.0562700272790448,True
ab_tail_cone,phase7,IN625,24.50160588481737,0.20679355366785862,True
ab_diffuser_struts,phase7,IN625,12.976861250860798,0.10952470895726514,True
ab_casing,phase7,IN625,53.28746392860234,0.4497461955574038,True
ab_liner,phase7,HastX,29.57898262153434,0.2431392371490123,True
ab_flameholder_gutters,phase7,HastX,35.35341405390596,0.290605063523107,True
ab_gutter_struts,phase7,HastX,20.005291876291203,0.1644434992231137,True
ab_spray_bars,phase7,IN625,5.020161846343317,0.0423701659831376,True
ab_fuel_manifold,phase7,IN625,12.038965189056864,0.10160886619563994,True
ab_igniter,phase7,SS,4.0023890406734,0.03161887342131987,True
nozzle_cowl,phase7,IN625,50.14077410254482,0.42318813342547834,True
nozzle_plug,phase7,IN625,30.228299117356364,0.25512684455048773,True
nozzle_plug_struts,phase7,IN625,4.006116750516479,0.03381162537435908,True
nozzle_actuator,phase7,Al,46.94799999999999,0.12957648,True
nozzle_pushrod,phase7,steel,8.521914080466168,0.06689702553165942,True
nozzle_link_radial,phase7,steel,1.9892540818781388,0.01561564454274339,True
nozzle_actuator_rod,phase7,steel,15.31413127897949,0.12021593053998901,True
