MN,alt_m,Tt5_dry,Pt5_dry,Tt_stag_K,q_ratio,W5_kgps,turb_exit_capacity_kgps,turb_exit_margin,turb_exit_MN,Fn_dry_N,W_dry,T4_dry,N_dry,binding_dry,SMN_dry,Rline_dry,Nc_dry,A0_capture_cm2,ram_recovery,mil_e_5008b,D_A_N,D0_A_N,Di_A_N,CDS0_A_cm2,D_B_N,D0_B_N,Di_B_N,CDS0_B_cm2,q_Pa,CL,Fn_wet_N,Wf_wet,Wf_ab,TSFC_wet,A8_scale,A8_wet_cm2,Tt7_K,FAR_total,ab_M_in,ab_rayleigh,ab_dPqP,SMN_wet,Rline_wet,T4_wet,N_wet,W_wet,NPR_wet,ab_choked
1.0,5000.0,971.5729564222063,146.29680291404813,306.78,1.00036827735968,1.3192490408989714,1.3965826335733043,0.0586194041283028,0.7595130917422941,489.9599465763683,1.297977945824479,1149.7032654696966,99.74623279035268,T4,0.2781489591950519,2.134880426543573,1.000810947464243,55.01151023940919,1.0,1.0,273.68210943143225,272.5789087939147,1.1032006375175467,72.08427542562437,363.74137948382986,363.74052449061884,0.0008549932110480353,96.19222656242505,37813.920884195904,0.01736300322209219,873.4288359629685,0.06515577761514092,0.0427764613447902,0.26855170078727764,1.5394421278186727,108.94286296423124,1899.572575221442,0.046032455832058325,0.200059803670801,0.026486150928521024,0.04648615092852103,0.27841207246989375,2.135844195276957,1149.3153049130387,99.74623279035268,1.2981963396688116,2.5815757347869557,False
1.02,5000.0,971.5062084375843,149.32415229626199,308.845652,1.0407831557650111,1.3474142612865456,1.4255313694757674,0.05797556878656862,0.7607116000813947,500.00000049498135,1.325754314248772,1149.9999999662002,100.0,N,0.2822305922385646,2.1435738175475616,1.0,55.08700129127809,0.9999900318061804,0.9996185375818251,325.9562381737088,324.8958761614851,1.0603620122237087,82.58328309188836,377.55336532394426,377.388187018909,0.1651783050352848,95.92598050898762,39341.60328791742,0.01668877664560956,895.8563532236719,0.06645806673155688,0.04365094575472735,0.2670618334877964,1.5390224286443988,108.91516436752397,1899.6033672995618,0.04598055494659799,0.2000700640498389,0.026455157520701933,0.04645515752070194,0.2820682674596089,2.1429834701181014,1150.2403119191886,100.0,1.3256172348949093,2.636435167911236,False
1.05,5000.0,971.578411101104,152.5542706633386,312.02082499999995,1.1029060257890475,1.3776912474866467,1.4563137592264592,0.057068310394832844,0.7624143970002522,506.6986486518748,1.3556407849345824,1149.8417486797575,99.89386969386868,T4,0.28028097576888733,2.1327789292083805,0.9938488292222628,54.719432132180046,0.9998529900951728,0.9986857718380261,399.22697237098345,398.22633687210134,1.000635498882128,95.52117796711323,398.47461930985656,398.22633687210134,0.24828243775520237,95.52117796711323,41689.847774826,0.015748755756999713,915.9395685414613,0.06787104502868535,0.044649530024324084,0.2667596973590153,1.5398377319940473,109.00041573328285,1900.2099589052812,0.04592231240604305,0.20023305413848647,0.026489859670264293,0.0464898596702643,0.2800503810106745,2.1319419508385686,1150.1847483903423,99.89386969386868,1.3554416799761129,2.6937252095366357,False
1.1,5000.0,972.0482210545609,158.09649594573094,317.5173,1.210445615605213,1.4312306046876178,1.5088561946680559,0.05423695505545778,0.7678372765314894,518.2892446514008,1.4084831226798875,1149.9847732541607,99.80838455968328,T4,0.2778045506160698,2.117956005233211,0.9843757060419125,54.268174988921224,0.9989280153144707,0.9966498730588678,472.8144462997576,471.9027102356935,0.911736064064088,103.13721263091988,434.19796325498805,433.8741557253764,0.323807529611651,94.82584033424845,45754.84426987705,0.014349589439745609,950.0878599114413,0.0703083659388519,0.046357430122970715,0.266407064082957,1.5415716954711514,109.30970403986935,1900.152054992237,0.04578003486881785,0.200824943409254,0.026635295154168626,0.04663529515416863,0.2776746673507393,2.1174861411723516,1150.1793883524897,99.80838455968328,1.4083666891148803,2.790133253438726,False
1.2,5000.0,967.1022879975883,172.13849542398953,329.2772,1.4405303193979393,1.5791705702793464,1.6470671600168032,0.0429950956630647,0.7912474836970744,552.6118157661836,1.554699851125229,1145.3628031250314,100.0,N,0.2797546333530696,2.1147204250444354,0.9685128584907786,54.91001539132271,0.9927983976993617,0.9914601202086227,509.2924541822881,508.52634262845646,0.7661115538316295,93.38975838381725,508.9201886950325,508.52634262845646,0.3938460665760388,93.38975838381725,54452.046073242105,0.012057641126452908,1050.8221321241813,0.07712127930757334,0.051361001090102706,0.26420894366398273,1.5448648334025366,110.89874053768574,1900.0032250554723,0.04547411280268998,0.20312187335955012,0.027584229688785045,0.04758422968878505,0.2797226012406977,2.1146054343664016,1145.4092254288457,100.0,1.5546683801054282,3.0352091800626084,False
1.3,5000.0,971.6552803346991,185.96409305206154,342.05969999999996,1.6906223887378593,1.754108327529406,1.7751804223944925,0.012012995169326635,0.8857199329698136,593.8449173679627,1.7272200491242802,1150.314518781226,100.0,N,0.2723738069723034,2.0757945890439022,0.9502696662741613,56.31065418316913,0.9793736489432195,0.9852369885270136,542.1773337105705,541.5245522682524,0.6527814423180749,84.73829787027805,588.0280474770544,587.6078044587393,0.42024301831506267,91.94945078032046,63905.526294291085,0.010273966403604845,1160.1029561342,0.08506858214212108,0.05675278195705966,0.2639825147348469,1.5440030574088806,114.11762749624462,1900.1044177088866,0.04515246684017642,0.20961082676080678,0.029153542130676002,0.049153542130676006,0.2721561353319073,2.075018223957955,1150.631197542902,100.0,1.726982364289742,3.2744975979969935,False
1.4,5000.0,954.4657239124317,198.6628388943334,355.86479999999995,1.9607218236249728,1.9817358349440561,1.9134009250031667,-0.034482350642268345,,622.2337513301594,1.952878647898139,1132.6731301319135,100.0,N,0.3124944618851282,2.0940487767292018,0.9317222145885158,59.11987074134966,0.9581944149155459,0.9782308109117421,616.0885426823727,615.5256852142514,0.5628574681211972,83.04976305096659,671.355884515583,670.9284769440297,0.42740757155335,90.52498112235959,74115.28493302397,0.008858675113312342,1289.3371954889724,0.09549520505425466,0.06510842119587756,0.2666352443706082,1.5650869955724402,121.34160935242737,1899.8475578060904,0.044792393751704775,0.22030903234441124,0.033646031878968086,0.05364603187896809,0.3123220403210112,2.093513594247297,1132.913754696673,100.0,1.9526758097945853,3.4813242000041336,False
1.5,5000.0,960.5625641858815,213.37225671667187,370.6925,2.2508286240592805,2.2464804203467486,2.0485408697496856,-0.08811096184248535,,673.5656145486273,2.21415885032847,1138.9197500820396,100.0,N,0.34003618066812535,2.0634281554297784,0.9129625000958914,62.561012770342955,0.9297865122828302,0.9705780963288718,695.0941931807831,694.6038817863309,0.49031139445224287,81.63999636401233,758.6707780925431,758.2459285502755,0.42484954226760685,89.12013951127597,85081.3219894408,0.007716890320929861,1438.469873331398,0.1074262371291055,0.07342856027896015,0.26885127094746114,1.570467688842227,128.67790269304317,1900.0343737064538,0.04442443231569232,0.23426431699231398,0.03789615228193388,0.057896152281933885,0.3403903696851651,2.0644138705889863,1138.4291440222228,100.0,2.214625874328834,3.7209401788483953,False
1.6,5000.0,958.679754749008,228.64015764246355,386.54279999999994,2.560942790040781,2.566558521755253,2.197279195113443,-0.1438811246701135,,718.4700659352803,2.53068082418947,1136.6914678537976,100.0,N,0.37569283501564854,2.053391158313181,0.8941592386967299,67.03531371643645,0.8952002604653366,0.9623672936717379,777.344770681562,776.9138329325317,0.43093774903029153,80.25667767134632,849.7423560301197,849.3252129917104,0.41714303840931244,87.73691105477165,96803.63746354153,0.00678242313362976,1609.6685766362596,0.121708156184202,0.0839686487981645,0.2721984939152706,1.5789302207347273,138.10334725356236,1899.946502146523,0.044020704967130855,0.2506768244786929,0.04403864916890954,0.06403864916890954,0.3760349309294966,2.0542361070741624,1136.2397325201168,100.0,2.531179725955806,3.9597331449592827,False
1.7,5000.0,962.1170644770287,244.10328222063356,403.41569999999996,2.8910643215694756,2.98071185794423,2.3416887582306822,-0.21438606955932882,,779.7095922611022,2.9399122130142006,1139.7801854428064,100.0,N,0.4119065934603241,2.048138871152369,0.8753836102927165,73.29455215070934,0.8557210790237985,0.9536613243683214,862.5862140772939,862.2044837528933,0.38173032440053506,78.89704236999654,944.3568815186238,943.9501613343712,0.40672018425269624,86.377277406165,109282.23135532618,0.006007959592419442,,,,,,,,,,,,,,,,,,True
1.8,5000.0,950.1976421210336,256.45330319507684,421.3112,3.241193218645363,3.56059457953256,2.4755450490871893,-0.3047382975536119,,826.3891413440808,3.514427536035222,1127.8642233744683,100.0,N,0.45956857239653615,2.0600345529381276,0.8567615463928404,82.75006478183477,0.8126837995986881,0.9445076973988769,950.6199801347162,950.279486110791,0.34049402392516864,77.56300611796568,1042.3201092061095,1041.925159617991,0.39494958811845093,85.04324118440519,122517.10366479473,0.005358951611756848,,,,,,,,,,,,,,,,,,True
1.9,5000.0,951.1640033701589,272.41914752859583,440.22929999999997,3.6113294812684447,4.250509857247288,2.628327247266081,-0.3816442413879647,,894.5512631136726,4.197108944926865,1128.6597908221615,100.0,N,0.4820695457145321,2.0460825199825585,0.838339459039682,93.62307387121793,0.7673566092532351,0.9349438061359338,1041.2693620823134,1040.9637663378487,0.30559574446469434,76.25647042185432,1143.4577765743632,1143.0751494815258,0.3826270928372413,83.73670548884824,136508.2543919472,0.004809696183405039,,,,,,,,,,,,,,,,,,True
2.0,5000.0,948.9598106063535,285.53432083236254,460.16999999999996,4.00147310943872,5.226109512098139,2.758061323094092,-0.4722534388708578,,965.2453896657578,5.163117424700006,1126.3349755325464,100.0,N,0.4954190227012676,2.0316050475309546,0.8202272542414467,109.41283247140969,0.7208738614847455,0.925,1134.3780514759142,1134.1022513165349,0.2758001593793867,74.97914952999002,1247.6152810445026,1247.245058124087,0.37022292041541427,82.45938459699411,151255.68353678362,0.0043407508055230476,,,,,,,,,,,,,,,,,,True
