MN,alt_m,conv_dry,Fn_dry_N,Fn_wet_N,A8_scale,Tt7_K,TSFC_wet,W5_kgps,turb_exit_capacity_kgps,turb_exit_margin,turb_exit_MN
1.02,3000.0,True,563.3862998141485,1026.418310235328,1.5417619312449464,1899.8611583132333,0.281191312304932,1.6381820053879907,1.7308547434173067,0.05657047734898479,0.7633558038241395
1.2,3000.0,True,631.015112238297,1221.104730623481,1.543679252959999,1899.8895049024675,0.27545779252486335,1.9306860462406068,2.0107013129725693,0.041443955576188296,0.7947538325047319
1.4,3000.0,True,712.471969834846,1507.005623027002,1.5621178281932242,1900.0562576059679,0.27691547321260107,2.4291777177694547,2.341892069156343,-0.03593217901457624,
1.6,3000.0,True,812.4405997830544,1887.5523983182086,1.5804699710609302,1899.5404064346615,0.28249575348160333,3.1587291473293804,2.6994504617972637,-0.1453998314228443,
1.02,7000.0,False,,,,,,,,,
1.2,7000.0,True,471.4782177021267,874.4299538254743,1.5425385370781488,1899.8863027770988,0.25551778297490774,1.2601684330701528,1.3123274457439484,0.0413905088439015,0.7948760191343742
1.4,7000.0,True,542.5960683845138,1078.5796454139606,1.5553908867841837,1899.730109038883,0.2572233016695758,1.5853507730443914,1.5285457531116178,-0.03583119956707714,
1.6,7000.0,True,625.4698551562966,1343.6169006980185,1.5758070662731025,1900.4933800012143,0.26329348964748545,2.0510522129433326,1.752438709284909,-0.14559039588265899,
1.02,9000.0,True,364.4061025866396,634.1331837399508,1.5404535307947502,1899.9647275036284,0.2465941936987766,0.8659442660648645,0.9162271637994145,0.05806712938126135,0.7605406627534246
1.2,9000.0,True,405.06764545716294,738.8733032841775,1.5410446778338127,1900.1081716400035,0.24526050222491613,1.0130864404017434,1.0568036172041035,0.043152464645587196,0.7908959598754775
1.4,9000.0,True,460.00453413339164,899.6757801909486,1.558924641087899,1900.2173769760584,0.24856475285544735,1.264740430393344,1.22159657704129,-0.034112812649340185,
1.6,9000.0,True,537.5669920440625,1118.0762614552095,1.5720395629747157,1899.766207960725,0.25415408190972516,1.6308776003466883,1.3966311146828458,-0.14363216811246093,
1.02,11000.0,True,304.648206525433,524.5082619391275,1.5456691368678204,1900.3989123430515,0.23755112281164315,0.6840656899592945,0.7226804829719198,0.05644895450745824,0.7635863726603307
1.2,11000.0,True,337.53770160398426,604.9272588928209,1.5430258465979987,1899.8905758439105,0.23723896225679375,0.7953227789131799,0.8285238747697284,0.04174543561032951,0.7940663426182204
1.4,11000.0,True,391.2968462773948,741.6908969062582,1.5552033837418624,1899.9325318083459,0.2398863382458346,0.9972263522661545,0.9617276364492894,-0.03559745060506658,
1.6,11000.0,True,454.02083345473153,917.6150654482777,1.5734874694374226,1899.90322364281,0.24594069323459097,1.2819648370078014,1.0962626141618546,-0.14485750114596685,
