M_ab,tau_required,tau_choke,T7_choke_K,choke_margin,thermally_choked,dPqP_rayleigh,dPqP_total,M_out,A_in_cm2,D_in_mm,Fn_N,TSFC_kgpNh,A8_cm2,Pt7_kPa
0.1,1.955726049545039,21.99754289542427,21370.749502993516,10.247762896312377,False,0.006413078260193883,0.026413078260193883,0.14157368403990794,416.1415830789143,230.1842565825836,908.1186277842227,0.2635646192559817,106.71417710388886,145.38004185992654
0.15,1.955726049545039,10.079371041969017,9792.171548871165,4.153774499405877,False,0.014604372882837446,0.03460437288283745,0.2158723613146692,279.44967426986966,188.62830541669996,903.2150590421468,0.26499849795892333,107.62316041659086,144.15688373348144
0.2,1.955726049545039,5.911788206421308,5743.338948117749,2.022809972693552,False,0.026450204452490356,0.04645020445249036,0.29520893279504756,211.72359201754537,164.18734723178665,895.9740899312333,0.2671444767241896,108.96539465396246,142.38801497507157
0.25,1.955726049545039,3.9869014415450104,3873.2995046508277,1.0385786866583304,False,0.042480377366826305,0.06248037736682631,0.3831952627337265,171.5945498407559,147.81101667950168,885.8827034502452,0.2701935595412431,110.83593010055921,139.99432299208632
0.3,1.955726049545039,2.945595273093935,2861.6640966562886,0.5061389982401521,False,0.063742194813738,0.083742194813738,0.48715945121238413,145.27559789541257,136.00391028403695,872.2432460421204,0.2744269182756712,113.36417225548794,136.81942012370496
0.35,1.955726049545039,2.3221526644043005,2255.985731434398,0.1873609112812622,False,0.09273093716703784,0.11273093716703785,0.628009472143118,126.8603730056276,127.0919523693842,852.1889336100955,0.28089866818302056,117.08198297712875,132.49070074315077
0.375,1.955726049545039,2.1014254848884604,2041.5479060663426,0.07449889792965392,False,0.11235658624851685,0.13235658624851684,0.738654846971081,119.63287607527556,123.41851914094659,837.8479398843161,0.28571612301432664,119.74041631845796,129.56011732909343
0.4,1.955726049545039,1.9220108450218938,1867.2454694721287,-0.01723922659361643,True,,,,113.3977985416408,120.15929485026467,,,,
0.45,1.955726049545039,1.6521938944498218,1605.1166267304802,-0.15520177540501034,True,,,,103.25032888320926,114.65705461985895,,,,
