T7_K,ab,FAR_ab,FAR_total,over_table,phi_total,dPqP,dPqP_rayleigh,Pt7_kPa,NPR,Vj_mps,Fn_N,Fn_ratio,Fg_N,Wf_kgps,Wf_ab_kgps,TSFC_kgpNh,TSFC_ratio,A8_cm2,A8_ratio,D8_mm,res
971.5062084724734,False,0.0,0.016337828816622997,False,0.24026218847974995,0.0,0.0,149.3241522992679,2.7642409086306836,565.622222333472,499.9999876592212,1.0,933.555607366417,0.022799943687618708,0.0,0.1641595986025693,1.0,70.76905420449124,1.0,94.92415833530708,1.0337711170996755e-08
1100.0,True,0.003604753357933298,0.01994258217455631,False,0.2932732672728869,0.023536465972942438,0.0035364659729424375,145.80958946973814,2.699180448816795,600.5857185315164,554.7190108292232,1.1094380490411055,988.274630536419,0.028109962796343084,0.005310019108724353,0.1824272543238823,1.111279851296049,77.71248517113092,1.0981139432297093,99.4719102257159,3.739407939184378e-09
1200.0,True,0.00651281493107622,0.02285064374769922,False,0.33603887864263554,0.026314525820171002,0.006314525820171002,145.3947580380135,2.691501223418539,626.326291883352,601.4879187569451,1.2029758672052084,1035.043538464141,0.032393712886692974,0.009593769199074264,0.19388147750847604,1.1810547732750216,81.82850817265327,1.1562752829252898,102.07217666539036,8.935456422208187e-11
1300.0,True,0.009512000590469472,0.025849829407092486,False,0.38014455010430126,0.029115844463072787,0.009115844463072786,144.9764535875914,2.6837577038065334,650.9789331159539,646.9341934892183,1.2938684189131244,1080.489813196414,0.03681169425203136,0.014011750564412633,0.20484633621320789,1.2478486665232489,85.82840378599275,1.2127956880416495,104.53713108834732,5.3248891424959944e-09
1400.0,True,0.012603893426524132,0.02894172224314714,False,0.42561356239922266,0.03194105967496684,0.011941059674966836,144.55458072077656,2.6759481283317514,674.6636332100762,690.6530228416711,1.3813060797761278,1124.208642548867,0.041366238880014186,0.018566295192395464,0.21561979031863285,1.3134765932307668,89.7833052321212,1.2686803044263837,106.91849918445553,4.6216471717892285e-09
1500.0,True,0.015793973232737225,0.03213180204936023,False,0.47252650072588576,0.03479084020309407,0.014790840203094069,144.1290396589368,2.6680706484048042,697.485225613001,733.4551803341673,1.466910396873968,1167.010800041363,0.04606541883696386,0.023265475149345145,0.22610176089766534,1.3773289093198757,93.66497628467106,1.3235301409288407,109.20528914037287,4.4373291927922296e-09
1600.0,True,0.019084194281473253,0.035422023098096264,False,0.5209121043837686,0.03766588797946534,0.017665887979465333,143.6997255866698,2.6601233237165145,719.5235286781136,775.2511594048353,1.550502357078484,1208.806779112031,0.050912112883940784,0.028112169196322066,0.23641835830712551,1.4401738327802251,97.50521242912757,1.377794482703989,111.42149356500644,4.427052698708193e-09
1700.0,True,0.022481193735821196,0.0388190225524442,False,0.5708679787124147,0.04056694054333697,0.020566940543336965,143.26652837155112,2.6521041155306917,740.8464475905454,815.955285850117,1.6319106119783298,1249.5109055573128,0.0559160979624804,0.03311615427486168,0.24670218596010896,1.5028191349162312,101.33799018390741,1.4319534339272852,113.5902885312537,4.427206249037048e-09
1800.0,True,0.025997549164357692,0.0423353779809807,False,0.6225790879555985,0.04349477370100295,0.023494773701002947,142.82933216696412,2.6440108793318498,761.5286955833972,856.139445666685,1.7122789335950812,1289.6950653738807,0.06109590158968348,0.03829595790206476,0.25690352995193066,1.5649619768740701,105.14810057090453,1.4857920845893047,115.70597205877732,4.427954119084523e-09
1900.0,True,0.029657594612036774,0.045995423428659775,False,0.6764032857155848,0.04645020445249036,0.026450204452490356,142.38801497507157,2.635841356735076,781.6369706090336,895.9740899461235,1.7919482241203204,1329.5297096533193,0.06648736928141984,0.043687425593801114,0.26714447671975,1.6273460644022852,108.96539465396286,1.5397322442532735,117.78754156577808,4.425993987319081e-09
2000.0,True,0.033502601745226214,0.04984043056184922,False,0.7329475082624884,0.049434094219181754,0.02943409421918175,141.9424481648564,2.627593166564153,801.2112386806525,935.5142225958806,1.8710284913716588,1369.0698423030763,0.07215129669145573,0.049351353003837015,0.2776490851934851,1.6913362822339377,112.85828379272643,1.5947405975868483,119.87311202927987,4.427979246788914e-09
2100.0,True,0.037603415924715215,0.053941244741338226,True,0.7932535991373268,0.05244735241179431,0.032447352411794306,141.4924959393333,2.6192637949887603,820.2475756069707,975.6173632463947,1.9512347746523029,1409.1729829535905,0.07819204330911027,0.055392099621491546,0.28852639007584535,1.7575968297435247,116.87705853698765,1.651527773697027,121.98872603712982,5.444962739491824e-09
2200.0,True,0.04211456600133664,0.05845239481795964,True,0.8595940414405829,0.055490940384424356,0.03549094038442435,141.03801474511758,2.610850584594583,838.5636652490683,1017.2180833415422,2.034436216896139,1450.773703048738,0.08483723945171591,0.06203729576409719,0.30024442843455734,1.8289788168978756,121.13148572043627,1.7116448295383446,124.18912904589604,1.649364594486601e-08
