rpm,N,ht,Cx,eta,ok,D,L,DF,dH,M,h
50000,4,0.3,150,0.8513695356286706,False,104.19177460614942,145.06583202865477,0.6434902197701158,0.5896361906138637,0.991811763181843,12.89837837583964
50000,4,0.3,170,0.8476399469363632,False,99.773015060171,138.62181312942005,0.5719447706978037,0.6389794398919023,1.0158032156260992,12.246128778826886
50000,4,0.3,185,0.8436331203272603,False,97.13468908467418,134.76079286271565,0.5265568291049066,0.670265512705767,1.0391719605808436,11.844439832147023
50000,4,0.3,200,0.8388375001147549,False,94.96429888279121,131.552933964484,0.48708486113811955,0.697461535898517,1.066434460106531,11.50004394046792
50000,4,0.35,150,0.8500572977539114,False,105.68204548531382,136.334980307227,0.67293118252963,0.5763325004338615,0.9836561568251956,12.14672283874399
50000,4,0.35,170,0.8469723531266237,False,101.11589682248868,130.07033921367886,0.5989231047771775,0.6269105154492254,1.007180291918397,11.51627570624364
50000,4,0.35,185,0.8433646194064212,False,98.38107692760084,126.3025526182171,0.5516756967910839,0.6591997036334768,1.03025962707647,11.127732194742334
50000,4,0.35,200,0.8389176921341827,False,96.12369104261855,123.15931863495805,0.5104251483885711,0.6873829784955114,1.057270391382679,10.794334331416703
50000,4,0.4,150,0.8474067183056424,False,107.65300783185842,128.028588238982,0.7020767644389123,0.5643969143407739,0.9766548979382982,11.431258147156953
50000,4,0.4,170,0.8449757208920069,False,102.92829069801604,121.96120700963742,0.6260233577757962,0.6157781598881403,0.9995978465068946,10.823266069626372
50000,4,0.4,185,0.8417690672210141,False,100.09176858097274,118.30179710515334,0.5771039240822468,0.6488585265479789,1.0223177344357315,10.448460449079738
50000,4,0.4,200,0.8376669249360351,False,97.74444865158536,115.23964928689767,0.5341947647032552,0.6778777522149994,1.049018628274528,10.126728532628901
50000,4,0.45,150,0.8433157861982744,False,110.16854372125499,120.06780161224087,0.7307688877388624,0.5541672024801989,0.9709468771496876,10.745379274361131
50000,4,0.45,170,0.8415644858787616,False,105.2685157809637,114.2111088580808,0.6532157386591808,0.6058014852021778,0.9931674550735451,10.16026456310401
50000,4,0.45,185,0.8387723137473343,False,102.32137907009883,110.67160962925679,0.6028770476343224,0.6393988661772784,1.01544054309698,9.799608450095823
