MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,comp_RlineMap,comp_NcMap,comp_WcMap,SMN,N_pct,case
1e-06,0.0,677.7114403994054,677.7119046379066,0.00046423850123916113,1.3641613638735663,0.025411952745420956,0.13498817406653255,0.017696847123422406,4.215006300060057,4.347734180163786,98.23141852038317,288.1500000000577,427.0840958670439,500.4677989211954,405.7298910736917,1180.4114105120698,159.7147494724416,1003.1719951385021,2.5403407788815358,293.7654322136643,1.4071226118537759,1.5762672543774936,498.1202629513701,70.76775476225461,100000.0,0.6983191071024186,0.74937439743723,1.4988365662985895e-09,1.4001452291610537,1004.4167849535459,1.3865224047649412,1029.7111578151807,1.310522815786234,1211.3533988884712,1.3230654204748296,1175.4775323916017,True,1.976379843397773,1.0353875034113087,2.5182318318158448,0.13544466439783842,100.0,SLS
1e-06,0.0,548.2306235021164,548.231051000076,0.00042749795975018123,1.2561995574889644,0.0211595985837491,0.13894618730871153,0.016001931010661285,3.757740974982907,3.876069859469105,98.23141852038313,288.1500000000577,380.7518405797523,480.31644512453664,361.71424855076464,1104.4252486759913,147.25426317162,941.5965376803274,2.4563923703125563,244.47849011185312,1.2957607869234873,1.4532914078416768,438.31237124270194,70.76775477048211,95000.0,0.7014131640940613,0.7486427877851634,3.836148042441783e-09,1.4001452291610537,1004.4167849535459,1.3885159602343342,1025.8917326782307,1.3166886346168045,1193.3607411657204,1.3292512751193397,1158.7977074377386,True,1.7465617599169212,0.9836181282407434,2.3189351322956457,0.14957319519139212,95.0,SLS
1e-06,0.0,443.99303329856394,443.9934261816395,0.0003928830756009743,1.1544839792995947,0.017779422982865053,0.14415974562211945,0.014630304219525804,3.3548767779056536,3.4605197238567196,98.23141852038336,288.1500000000577,339.93176129221087,460.20861017866724,322.93517322760033,1038.470543842741,137.26265615834478,890.792280502265,2.352680490570324,200.9299657666093,1.1908419013441183,1.3546815856490846,386.77114699354433,70.76775490010047,90000.0,0.7044961885610326,0.7478794551207824,8.78612058725794e-09,1.4001452291610537,1004.4167849535459,1.3903401649837726,1022.446528600622,1.3223834512031611,1177.3686561965505,1.3346194280534562,1144.8103247623976,True,1.5860987204770067,0.9318487530701778,2.131168924005817,0.14082250490908765,90.0,SLS
1e-06,0.0,359.13270819705934,359.1330672091466,0.00035901208721231736,1.05495433323904,0.015131179533474887,0.15167720755364947,0.01362582256301707,3.0008568986677826,3.0953519827318687,98.23141852038331,288.1500000000577,304.0608160836325,441.9479398153444,288.85777527945083,986.4005412970846,130.11112441501405,853.0629812323684,2.22008515089059,163.91974941932938,1.088177788996051,1.28410122133919,342.70255072569165,70.76775475724938,85000.0,0.7071221953338298,0.747135507899405,2.6908924685000023e-09,1.4001452291610537,1004.4167849535459,1.391958025383143,1019.401255208463,1.3271340584616567,1164.4422496212542,1.338809940793942,1134.208786250731,True,1.5797851708817272,0.8800793778996125,1.9474379303282463,0.17293922458448785,85.0,SLS
1e-06,0.0,287.3147545396131,287.3150797567366,0.0003252171235216628,0.9556480851849806,0.012908721593181783,0.16174386104855343,0.012832428279442367,2.691676853840978,2.7764360540180926,98.23141852038326,288.1500000000577,272.7332520173327,424.48224963355176,259.09658941646603,942.1093688674773,123.91238232669915,822.9114562026491,2.090966088710563,131.5141225046662,0.9857441100810855,1.2229241903693708,302.8977847730909,70.76775477997079,80000.0,0.7095805951946426,0.7461297451946335,4.42450945204776e-09,1.4001452291610537,1004.4167849535459,1.3933208594613773,1016.8707711578132,1.3313466946475696,1153.2997935212443,1.3422808781785038,1125.6204653334023,True,1.474417860867971,0.828310002729047,1.7641193277262504,0.17366037261039313,80.0,SLS
1e-06,0.0,232.00706053403133,232.00735553811813,0.00029500408681363226,0.8668673027802999,0.01119158468105329,0.17365723594382618,0.012264859238433191,2.4275723777535125,2.5040150951684312,98.23141852038322,288.1500000000577,245.97295479484737,408.4029497421249,233.67430705510498,906.9093168236973,119.0838620841165,801.0834743391941,1.96226678380691,105.12299922138645,0.8941673730996431,1.1752702424576726,269.79148561167017,70.76775481861173,75000.0,0.7119739563155453,0.7450709517274741,2.6298633643798336e-09,1.4001452291610537,1004.4167849535459,1.3945664039440069,1014.5590872798101,1.334790553092704,1144.3977055922232,1.3448811736862478,1119.3209365714215,True,1.377169828660872,0.7765406275584815,1.6002306572034717,0.15460562835498126,75.0,SLS
1e-06,0.0,186.83412896962486,186.8343956104321,0.000266640807230253,0.7835220178521612,0.009750469038645878,0.18787621262083185,0.01182218926292045,2.1908859339498417,2.259875545082356,98.23141852038316,288.1500000000577,221.99078047296393,393.27598153791075,210.89124144931571,877.0034322446562,115.60364011057727,784.00207701755,1.824261253777077,83.01551331603727,0.8081973125777938,1.1409230081186377,240.4776368466497,70.76775475706604,70000.0,0.7142004328085367,0.7449329667572446,2.0157144342784575e-10,1.4001452291610537,1004.4167849535459,1.395546563925214,1012.7616383532882,1.3377998159234818,1136.764444591117,1.3469322979952676,1114.3898593158722,True,1.3404251614105418,0.7247712523879161,1.4463758749895363,0.1563764460925452,70.0,SLS
1e-06,0.0,145.10282973488196,145.10306566788475,0.00023593300279685424,0.6932873641868303,0.008406468816072385,0.20856442147375606,0.01151924265147377,1.9852445022926144,2.0477585949223522,98.23141852038341,288.1500000000577,201.15423156652986,378.9180984751448,191.09651998820337,852.8753493071193,112.31184250059994,772.2248269577867,1.7014814798998827,63.37649011573563,0.7151209178727376,1.1084353837869467,211.13606473067733,70.76775475712495,65000.0,0.7164687131368386,0.7428236099764549,3.0063879586826335e-12,1.4001452291610537,1004.4167849535459,1.3964768825151055,1011.0555859104605,1.34025935925484,1130.6127440839741,1.3483862273426428,1110.9536465225635,True,1.2799126386502564,0.6730018772173506,1.2798033688239279,0.14010730289803153,65.0,SLS
1e-06,0.0,112.41688627548474,112.417094196012,0.00020792052725281433,0.6109729143046436,0.007307906576367224,0.23402590612989796,0.01136304259158563,1.8055676086077612,1.8624237895987727,98.23141852038334,288.1500000000577,182.94853073839542,365.5397369635505,173.80110420147562,835.0645194473583,109.83099837988897,766.1484337406063,1.5824412667207453,47.59619713978352,0.630214156268937,1.083951274679829,185.64214878340735,70.76775480597055,60000.0,0.7185459562668182,0.7422041339837293,7.976832756115285e-10,1.4001452291610537,1004.4167849535459,1.3972122639882283,1009.7154891212213,1.3420984041608253,1126.0925331244302,1.3491361601234324,1109.183985630943,True,1.2418663542038253,0.6212325020467853,1.1278515005165153,0.12944197732025287,60.0,SLS
1e-06,0.0,87.1510916140175,87.15127427917625,0.000182665158746136,0.5367602028314713,0.0064182236566632175,0.2651212364191574,0.011359471960972587,1.6512933932717226,1.7032915768841947,98.2314185203833,288.1500000000577,167.31674775115496,353.2734695443389,158.95091036359722,824.0699545844487,107.88172670420711,766.0095032651463,1.4733812223771028,35.17240033844128,0.5536642794241923,1.0647133951363472,163.81782493606073,70.76775476505921,55000.00000000001,0.7202870054847801,0.7389174086370656,8.259287607232013e-10,1.4001452291610537,1004.4167849535459,1.3978319193399888,1008.5904306006803,1.3431703408718108,1123.4590117352902,1.349153328846466,1109.143520544203,True,1.2171763771983546,0.5694631268762198,0.9908553816497513,0.12430597940835342,55.00000000000001,SLS
