runway_m,flap,chute,mu_brake,WS_max_Pa,S_min_m2
300,False,False,0.2,314.0114594677015,0.7807557418942451
300,False,False,0.3,446.9351337707801,0.5485499605536461
300,False,True,0.2,1250.5516229555694,0.19604648500680924
300,False,True,0.3,1634.4416666666666,0.15
300,True,False,0.2,390.82812231792053,0.6272994086146355
300,True,False,0.3,559.7837090192111,0.43796603232622155
300,True,True,0.2,1634.4416666666666,0.15
300,True,True,0.3,1634.4416666666666,0.15
500,False,False,0.2,611.8114238926062,0.40072192251682287
500,False,False,0.3,883.3383612491136,0.2775451183319092
500,False,True,0.2,1634.4416666666666,0.15
500,False,True,0.3,1634.4416666666666,0.15
500,True,False,0.2,767.4261151042022,0.3194656074047089
500,True,False,0.3,1113.2094471809764,0.22023371309041978
500,True,True,0.2,1634.4416666666666,0.15
500,True,True,0.3,1634.4416666666666,0.15
800,False,False,0.2,1119.5828948950984,0.21897998899221421
800,False,False,0.3,1631.4639453806396,0.15027377754449844
800,False,True,0.2,1634.4416666666666,0.15
800,False,True,0.3,1634.4416666666666,0.15
800,True,False,0.2,1419.3297323097077,0.17273382246494293
800,True,False,0.3,1634.4416666666666,0.15
800,True,True,0.2,1634.4416666666666,0.15
800,True,True,0.3,1634.4416666666666,0.15
