S_wing,E_WD,CDS_dash_cm2,fuel_used_kg,reserve_kg,fuel_total_kg,sortie_s,time_to_dash_s,V_LOF_mps,ground_roll_m,dash_throttle,dash_margin,m_at_dash,m_landing,turn3g_excess_N,E_case,note
0.2,1.8563466408126414,73.37846864625742,1.415468238897109,0.2382345618274728,1.6537028007245818,334.8000000000002,32.800000000000196,66.35534573364512,99.96578783207792,0.5913370240220256,0.6910830192880886,24.36918043921773,23.58453176110289,284.7289849651628,nom,
0.2,3.0,88.81566533648028,1.4359444489535562,0.2382345618274728,1.674179010781029,335.0000000000002,33.0000000000002,66.35534573364512,99.96578783207792,0.7147388131459564,0.39911248921609976,24.365372013006592,23.564055551046444,284.73968808481357,hi,
0.25,1.8,77.6860542239313,1.434624501044528,0.2382345618274728,1.6728590628720008,335.6000000000002,33.60000000000021,59.35002549237247,80.30318352350001,0.6248153252132003,0.6004729071886621,24.35454606521897,23.565375498955472,274.0989709139958,nom,
0.25,3.0,94.47324980830896,1.460403149559113,0.2382345618274728,1.6986377113865858,336.0000000000002,34.00000000000021,59.35002549237247,80.30318352350001,0.7590079571629359,0.3175092442217051,24.346892711311945,23.539596850440887,274.10897096048245,hi,
0.3,1.8,83.07533930876993,1.4589913125263116,0.2382345618274728,1.6972258743537845,336.60000000000025,34.60000000000022,54.17891291779842,68.34981685605209,0.6672582676754799,0.4986700779050497,24.335911989022,23.54100868747369,261.79011534877156,nom,
0.3,3.0,100.47783713574162,1.4854172590513635,0.2382345618274728,1.7236518208788363,337.0000000000002,35.00000000000023,54.17891291779842,68.34981685605209,0.8063699631221668,0.24012555741550834,24.328275751191786,23.514582740948637,261.7967590446401,hi,
0.35,1.8,88.75942905049396,1.4895175986545475,0.2382345618274728,1.7277521604820203,337.90000000000026,35.90000000000024,50.159926563124515,57.333617588063994,0.7122389600281445,0.404023166551412,24.311461210085916,23.510482401345453,248.2198047711087,nom,
0.35,3.0,106.80127963636153,1.5185366380012937,0.2382345618274728,1.7567711998287665,338.40000000000026,36.40000000000025,50.159926563124515,57.333617588063994,0.8564614339372304,0.1675948973007575,24.30192218831281,23.481463361998706,248.22501575126438,hi,
0.4,1.8,94.72142470016594,1.518221156888309,0.2382345618274728,1.7564557187157819,339.10000000000025,37.10000000000026,46.92031493623831,52.17598372697185,0.7595559490536717,0.31655870939579467,24.28914872082196,23.48177884311169,233.5947291920198,nom,
0.4,3.0,113.42383485254439,1.5575567036024829,0.2382345618274728,1.7957912654299557,340.10000000000025,38.10000000000027,46.92031493623831,52.17598372697185,0.9090572639594284,0.10004071211583243,24.270006200636246,23.442443296397517,233.60253948043203,hi,
0.5,2.1639268608510567,113.54125650741868,1.6174330878770355,0.2382345618274728,1.8556676497045084,343.3000000000003,41.30000000000032,41.96680548925103,38.13749009970458,0.9095147414839994,0.09948740178566151,24.21019160749574,23.382566912122964,201.6070481842091,nom,
0.5,3.0,,,,,,,,,,,,,,,INFEASIBLE
