case,eta_c,combustor,W,D_mm,dry_cal,L_cal,U2,stress_factor,margin_nom,margin_hi,TOGW_cal
ax68000_opr4_t1150_ax2_pa2_cap,0.66,mean,1.416299111197731,171.24840275654057,9.852731875867143,724.8286271199604,409.62811113957343,1.4675919769954648,0.7310976180867437,0.48669038734665815,21.93109490814197
ax68000_opr4_t1150_ax2_pa2_cap,0.66,hi,1.416299111197731,184.04106008048868,10.15409046579414,745.0202376236471,409.62811113957343,1.4675919769954648,0.5777700348187369,0.3179204935367823,22.365400437945574
ax68000_opr4_t1150_ax2_pa2_cap,0.7,mean,1.325754281450162,169.88890015791276,9.163048422067684,709.9399799877937,397.75230093185843,1.5565369452982196,0.747790308495893,0.5053702740342181,21.135845797192754
ax68000_opr4_t1150_ax2_pa2_cap,0.7,hi,1.325754281450162,182.57818859044602,9.459281898624985,729.9684356174932,397.75230093185843,1.5565369452982196,0.5955222371985573,0.336960512863258,21.563854802584324
ax68000_opr4_t1150_ax2_pa2_cap,0.74,mean,1.258972210419537,169.11429991833612,8.691465865560309,699.037484827754,386.8529035127325,1.6454819136009755,0.7573414049704632,0.5160803690496696,20.59080983955845
ax68000_opr4_t1150_ax2_pa2_cap,0.74,hi,1.258972210419537,181.7446921279894,8.984657048258091,718.9729801316655,386.8529035127325,1.6454819136009755,0.6056920216444097,0.34789910605882723,21.015109636766105
ax68000_opr5_t1150_ax2_pa2_cap,0.66,mean,1.5089456957554888,197.70515385401228,11.222609903625159,710.6894531532135,475.4948312175807,1.0891638888658122,0.41718164795920276,0.14932082608756492,23.56427734017576
ax68000_opr5_t1150_ax2_pa2_cap,0.66,hi,1.5089456957554888,197.70515385401228,11.394820529827673,727.6693459306109,475.4948312175807,1.0891638888658122,0.417120566109622,0.14928065188820328,23.736487966378277
ax68000_opr5_t1150_ax2_pa2_cap,0.7,mean,1.3837208457112657,189.57824987951912,10.039799844401378,690.1285671076282,461.70943364176486,1.1551738215243463,0.5122875326288128,0.24807867369637693,22.17700825791433
ax68000_opr5_t1150_ax2_pa2_cap,0.7,hi,1.3837208457112657,189.57824987951912,10.206555254245709,706.8997863488897,461.70943364176486,1.1551738215243463,0.5122238097696268,0.24803527130767433,22.34376366775866
ax68000_opr5_t1150_ax2_pa2_cap,0.74,mean,1.295681373398157,183.64217878050238,9.285190365333067,675.5756616935582,449.0574525026709,1.2211837541828798,0.5829483909561921,0.3233367378743226,21.279493542889487
ax68000_opr5_t1150_ax2_pa2_cap,0.74,hi,1.295681373398157,183.64217878050238,9.448540292029513,692.2298340208799,449.0574525026709,1.2211837541828798,0.5828825226059646,0.3232907029983867,21.44284346958593
ax68000_opr4_t1150_ax1_pa1.5_cap,0.66,mean,1.416299111197731,191.1935082149682,9.763945859628164,660.2554527860267,474.4138947801732,1.0941327912764918,0.4933649611003219,0.22814152419692357,22.049968371376146
ax68000_opr4_t1150_ax1_pa1.5_cap,0.66,hi,1.416299111197731,191.1935082149682,9.986361380478089,680.4470632897132,474.4138947801732,1.0941327912764918,0.4932824762290178,0.22808573585195546,22.272383892226067
ax68000_opr4_t1150_ax1_pa1.5_cap,0.7,mean,1.325754281450162,185.17597924465468,9.051272274514076,647.4649944673064,460.6598353758065,1.1604438695356727,0.5647496732745856,0.3037511653498359,21.182929682033908
ax68000_opr4_t1150_ax1_pa1.5_cap,0.7,hi,1.325754281450162,185.17597924465468,9.26888531665121,667.4934500970061,460.6598353758065,1.1604438695356727,0.5646642396349837,0.3036918547189449,21.400542724171043
ax68000_opr4_t1150_ax1_pa1.5_cap,0.74,mean,1.258972210419537,180.6048646949876,8.564359675209982,638.156353106793,448.0366158267883,1.226754947794854,0.6194931858945312,0.3628421735482905,20.582944881029114
ax68000_opr4_t1150_ax1_pa1.5_cap,0.74,hi,1.258972210419537,181.7446921279894,8.786404267067862,658.0918484107045,448.0366158267883,1.226754947794854,0.6057726819907907,0.34795594511421424,20.81685685557587
