S_m2,WS_TO_Pa,flap,mu_brake,chute,CL_TD,V_TD_mps,landing_dist_m
0.25,980.665,False,0.2,False,0.5494147337721605,52.35067867174171,722.3081219269009
0.25,980.665,False,0.2,True,0.5494147337721605,52.35067867174171,278.14944707034283
0.25,980.665,False,0.3,False,0.5494147337721605,52.35067867174171,541.8020983096649
0.25,980.665,False,0.3,True,0.5494147337721605,52.35067867174171,249.53731295722548
0.25,980.665,True,0.2,False,0.8148199961217939,42.98744448666711,603.8087808271574
0.25,980.665,True,0.2,True,0.8148199961217939,42.98744448666711,249.31772727639571
0.25,980.665,True,0.3,False,0.8148199961217939,42.98744448666711,454.30451484017823
0.25,980.665,True,0.3,True,0.8148199961217939,42.98744448666711,222.88881588256535
0.3,817.2208333333333,False,0.2,False,0.5494147337721605,47.78941268202921,626.8280576868465
0.3,817.2208333333333,False,0.2,True,0.5494147337721605,47.78941268202921,262.30037512526206
0.3,817.2208333333333,False,0.3,False,0.5494147337721605,47.78941268202921,471.09172130956557
0.3,817.2208333333333,False,0.3,True,0.5494147337721605,47.78941268202921,234.53995766942137
0.3,817.2208333333333,True,0.2,False,0.8148199961217939,39.24198839141444,524.80507730742
0.3,817.2208333333333,True,0.2,True,0.8148199961217939,39.24198839141444,234.8750427559227
0.3,817.2208333333333,True,0.3,False,0.8148199961217939,39.24198839141444,396.13927857122155
0.3,817.2208333333333,True,0.3,True,0.8148199961217939,39.24198839141444,209.41189189985087
0.35,700.475,False,0.2,False,0.5494147337721605,44.244398817347914,555.7388780532667
0.35,700.475,False,0.2,True,0.5494147337721605,44.244398817347914,249.27352429874097
0.35,700.475,False,0.3,False,0.5494147337721605,44.244398817347914,418.89716898174186
0.35,700.475,False,0.3,True,0.5494147337721605,44.244398817347914,222.30650569305
0.35,700.475,True,0.2,False,0.8148199961217939,36.331021607812616,466.12531053068074
0.35,700.475,True,0.2,True,0.8148199961217939,36.331021607812616,223.07255342562388
0.35,700.475,True,0.3,False,0.8148199961217939,36.331021607812616,353.2759257200133
0.35,700.475,True,0.3,True,0.8148199961217939,36.331021607812616,198.48674008840746
0.4,612.915625,False,0.2,False,0.5494147337721605,41.38684541457552,500.70722807700304
0.4,612.915625,False,0.2,True,0.5494147337721605,41.38684541457552,238.278596389771
0.4,612.915625,False,0.3,False,0.5494147337721605,41.38684541457552,378.75287616731543
0.4,612.915625,False,0.3,True,0.5494147337721605,41.38684541457552,212.05471535435592
0.4,612.915625,True,0.2,False,0.8148199961217939,33.98455884197894,420.78358605961677
0.4,612.915625,True,0.2,True,0.8148199961217939,33.98455884197894,213.15729903095735
0.4,612.915625,True,0.3,False,0.8148199961217939,33.98455884197894,320.34956722437136
0.4,612.915625,True,0.3,True,0.8148199961217939,33.98455884197894,189.37658972887277
0.45,544.8138888888889,False,0.2,False,0.5494147337721607,39.019892059420954,456.76712448566485
0.45,544.8138888888889,False,0.2,True,0.5494147337721607,39.019892059420954,228.80868694217497
0.45,544.8138888888889,False,0.3,False,0.5494147337721607,39.019892059420954,346.8602117042381
0.45,544.8138888888889,False,0.3,True,0.5494147337721607,39.019892059420954,203.2849320143046
0.45,544.8138888888889,True,0.2,False,0.8148199961217941,32.0409493503954,384.63969086554783
0.45,544.8138888888889,True,0.2,True,0.8148199961217941,32.0409493503954,204.64514679471952
0.45,544.8138888888889,True,0.3,False,0.8148199961217941,32.0409493503954,294.2206367648179
0.45,544.8138888888889,True,0.3,True,0.8148199961217941,32.0409493503954,181.6097180425897
0.5,490.3325,False,0.2,False,0.5494147337721608,37.01751988850652,420.9657499479414
0.5,490.3325,False,0.2,True,0.5494147337721608,37.01751988850652,220.53096822849258
0.5,490.3325,False,0.3,False,0.5494147337721608,37.01751988850652,320.9578243433891
0.5,490.3325,False,0.3,True,0.5494147337721608,37.01751988850652,195.6665734675764
0.5,490.3325,True,0.2,False,0.8148199961217941,30.396713502402573,355.2241728635288
0.5,490.3325,True,0.2,True,0.8148199961217941,30.396713502402573,197.24002142304036
0.5,490.3325,True,0.3,False,0.8148199961217941,30.396713502402573,273.02552767351165
0.5,490.3325,True,0.3,True,0.8148199961217941,30.396713502402573,174.9045372412934
0.6,408.61041666666665,False,0.2,False,0.5494147337721605,33.79221777638524,365.9009841662208
0.6,408.61041666666665,False,0.2,True,0.5494147337721605,33.79221777638524,206.65057209853367
0.6,408.61041666666665,False,0.3,False,0.5494147337721605,33.79221777638524,281.300145315489
0.6,408.61041666666665,False,0.3,True,0.5494147337721605,33.79221777638524,183.00502279866018
0.6,408.61041666666665,True,0.2,False,0.8148199961217939,27.748276098812926,310.03678733554943
0.6,408.61041666666665,True,0.2,True,0.8148199961217939,27.748276098812926,184.888647729846
0.6,408.61041666666665,True,0.3,False,0.8148199961217939,27.748276098812926,240.5906855472094
0.6,408.61041666666665,True,0.3,True,0.8148199961217939,27.748276098812926,163.80518391498694
