MN,alt_m,T_K,P_Pa,V_mps,q_Pa,Fn_T4mode_N,Nmech_pct_T4mode,conv_T4,Fn_Nmode_N,T4_Nmode_K,conv_N,Fn_N,binding,T4_K,Nmech_pct,NcPct,W_kgps,Wf_kgps,TSFC_kgpNh,OPR,comp_PR,comp_eff,NPR,Vj_mps,Fram_N,CDS_allow_m2
0.0,0,288.15,101325.0,0.0,0.0,500.00000055371396,99.99999999179154,True,500.000000652117,1150.0000001099875,True,500.00000055371396,T4,1150.0,99.99999999179154,99.99999999179154,0.86483686603561,0.015267608211427027,0.10992677949469129,3.9999999991939115,3.9999999991939115,0.7800000000204806,1.88178234481899,573.9947719851546,0.0002943131077724584,
0.3,0,288.15,101325.0,102.0876860595831,6383.474999999999,451.88884881016025,100.59410821037083,True,430.634428020695,1123.596760092794,True,430.634428020695,N,1123.596760092794,100.0,99.11158017622068,0.8997817741037246,0.015145196796157785,0.12661019454913477,3.862574563456321,3.862574563456321,0.7803136061854928,1.9288649516001095,566.9380673448522,91.86156857560906,0.06746081531151842
0.6,0,288.15,101325.0,204.1753721191662,25533.899999999998,459.69860610491463,101.64171703373218,True,400.2373885713179,1083.4829584401632,True,400.2373885713179,N,1083.4829584401632,100.0,96.58279440235023,1.0043504662940048,0.015516509067201598,0.13956575394520926,3.5293230396161697,3.5293230396161697,0.7826597185370832,2.1013081674555187,556.3953133694341,205.0746345141594,0.01567474567423378
0.8,0,288.15,101325.0,272.2338294922217,45393.600000000006,489.6894000377731,102.96858880527124,True,357.26449278080514,1005.5773263611575,True,357.26449278080514,N,1005.5773263611575,100.0,94.15809579756491,1.1069402270973288,0.014514845761928496,0.14625983279530042,3.1711820280509575,3.171182028050958,0.7787344267643738,2.220498450385099,535.0255699371008,301.362748189739,0.007870371435198026
0.9,0,288.15,101325.0,306.26305817874936,57451.275,514.8881253116722,103.67051911028678,True,339.2699425161867,971.4825783832574,True,339.2699425161867,N,971.4825783832574,100.0,92.77214268184183,1.1737131684847797,0.014138836616041973,0.15002747272287634,2.979162831277024,2.979162831277024,0.7735521179968498,2.302695041381186,525.3870729632176,359.48427435838744,0.005905350969429081
1.0,0,288.15,101325.0,340.29228686527705,70927.5,544.7705654384619,104.66211214050195,True,308.8526883517259,926.5425325197914,True,308.8526883517259,N,926.5425325197914,100.0,91.29517928081877,1.245199900411744,0.013325740467517364,0.15532539527081965,2.774837155012735,2.774837155012735,0.7651705204845481,2.3729903959092975,512.4045493275758,423.75466042291293,0.004354484344601542
0.0,1000,281.65,89874.52152060672,0.0,0.0,463.20923386005717,100.72792571285375,True,452.3375353589515,1133.1298880793106,True,452.3375353589515,N,1133.1298880793106,100.0,101.14729939142899,0.7827630003381488,0.013583571280215484,0.10810700639687015,4.057526736905267,4.057526736905267,0.7762992293823288,1.9015532326713462,569.4466916967937,0.0002633752490285049,
0.3,1000,281.65,89874.52152060672,100.92968688646566,5662.094855798223,414.7136852804364,100.03670784982454,True,414.13528305352787,1149.0334707958698,True,414.13528305352787,N,1149.0334707958698,100.0,100.2485905602494,0.8204693975582793,0.014487820978578678,0.12593989908990522,4.015964963747006,4.015964963747006,0.7792759725388461,2.006664476657081,573.7032744154839,82.8186814433599,0.07314170701846083
0.6,1000,281.65,89874.52152060672,201.85937377293132,22648.37942319289,424.66109399566255,101.08541683439043,True,386.0221695755391,1100.0384251762698,True,386.0221695755391,N,1100.0384251762698,100.0,97.6897095892955,0.9178635501810792,0.014709597203287603,0.13718007498920348,3.6719278544901126,3.6719278544901126,0.7815684415146018,2.189891136649212,560.7299499255744,185.29941323135975,0.017044140879247025
0.8,1000,281.65,89874.52152060672,269.1458316972418,40263.785641231814,453.7896139921296,102.43090347542469,True,360.4491590358233,1038.9270119513071,True,360.4491590358233,N,1038.9270119513071,100.0,95.23589374247908,1.015095903766987,0.014330695539086263,0.1431283799096884,3.3311608036270934,3.3311608036270934,0.7822600790701653,2.33579082124693,544.2899757445151,273.2383991853998,0.00895219248005106
