MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,N_pct,case,comp_RlineMap,comp_NcMap,comp_WcMap,W_stack,PR_stack,stall_index,stall_row,beta_cc,SM_peak,SMW_peak
1e-06,0.0,679.2883010432796,679.2887678867282,0.0004668434486824681,1.3718159824534455,0.02573334093872785,0.13637806986685888,0.01782066560273589,4.213999193636573,4.3461709719203006,98.24327066422624,288.1500000000577,426.98205114736936,502.7885798733299,405.63294859000086,1186.617465756102,158.8571308951508,1007.6256545630653,2.553445012535997,298.68852796655995,1.4148475868355197,1.5678031890232402,496.432926847029,71.82950436873108,100000.0,0.6904552743354547,0.7498871931916145,3.7449705499398205e-09,1.4001452291610537,1004.4167849535459,1.3862928161659278,1030.1510261357978,1.3100461983284108,1212.7725524876723,1.3226330184522164,1176.6691494586482,True,100.0,SLS,2.3979670230742305,1.0353875034113087,2.548104888490814,1.1211178954491996,4.3899849737512335,0.8176912732132278,S2,0.7018178329324108,0.10022711034139165,0.08140591410018638
1e-06,0.0,624.9178973377094,624.9183509558233,0.0004536181138658205,1.3329534350063776,0.023770687747170966,0.13693715007104448,0.01694144203897443,4.028990739665539,4.155359741243519,98.24327066422649,288.1500000000577,408.23613176621717,493.9490796389389,387.8243251779063,1148.7845471585374,153.76128487744415,975.85434762056,2.522249508301278,278.1073699522577,1.3747659853838208,1.5175109322155298,470.41983192581574,71.82950436791273,97500.0,0.6941651337564674,0.7492805415019138,3.9721464158357303e-10,1.4001452291610537,1004.4167849535459,1.3871673003713516,1028.4756143614104,1.31307201673719,1203.832346472249,1.325769726539724,1168.1117168053681,True,97.5,SLS,2.13307885488154,1.0095028158258375,2.475918933174911,1.0893574421529904,4.192914848979828,0.8278569423652167,S2,0.6903847710732368,0.08468854880947618,0.13223279852215652
1e-06,0.0,575.5090118912555,575.5094494369878,0.0004375457323664054,1.2857248621749244,0.022324820548555255,0.1396491667622835,0.016495426156146024,3.8540799075893797,3.9749628436380875,98.24327066422644,288.1500000000577,390.51335052777983,486.5020212972506,370.9876830013908,1126.9743848071757,149.2161951768201,959.6562374089611,2.4862427470541855,258.40497071352286,1.3260559301322712,1.472654235613348,449.337077625937,71.829504366661,95000.0,0.6947319851728452,0.7480068345411167,3.082180765012653e-13,1.4001452291610537,1004.4167849535459,1.387904031308851,1027.0641218740864,1.3148147598773188,1198.7509100372613,1.3273911922100448,1163.7352923956307,True,95.0,SLS,1.858219874615456,0.9836181282407432,2.3881933498917856,1.0507598468374841,4.009391901726548,0.8467824015314975,S2,0.6877165473257708,0.06081254302203809,0.10890895110241194
1e-06,0.0,522.4063832263844,522.4068031841746,0.0004199577901505961,1.2340428255131537,0.020687283724326485,0.14255993762484712,0.015925638180293994,3.6591315623953005,3.7738999577728376,98.24327066422639,288.1500000000577,370.76027501118944,478.06766993761374,352.22226126063,1099.8404862528982,144.049111044671,938.8010615203633,2.4451540082840393,237.31197113957728,1.2727527132366105,1.4216589108500877,425.1967541206579,71.82950436666108,92500.0,0.6920850114018345,0.7467408980775461,3.566071761604618e-11,1.4001452291610537,1004.4167849535459,1.3887384330212718,1025.465502357105,1.3170537525718133,1192.3127599539716,1.3295396773092603,1158.0343144016963,True,92.5,SLS,1.5819600665177616,0.9577334406554605,2.2921955980432944,1.0085226540098455,3.8053496810646688,0.8748176471307232,R1,0.690827074670413,0.03914762040543818,0.07223895356849663
1e-06,0.0,470.58722051170406,470.5876209833025,0.000400471598458636,1.1767827969626317,0.019202478198249842,0.14689927499206307,0.015501887294258799,3.461367062562936,3.569932588783851,98.24327066422637,288.1500000000577,350.7218535729342,470.1434629887399,333.1857608942875,1078.1065872298213,139.17239071964346,923.2005443554992,2.3940507105714324,216.7642941862373,1.213696532048265,1.3735292629995544,401.82478525521134,71.82950457686704,90000.0,0.6855033145313822,0.7452842931811623,7.650470155073485e-08,1.4001452291610537,1004.4167849535459,1.3894506549279697,1024.1225931822896,1.318881837698364,1187.1359144807827,1.331154387043518,1153.7768271613395,True,90.0,SLS,1.2537940376786771,0.9318487530698475,2.1858369026546027,0.9617268422379385,3.5957330158719536,0.9237938065928822,R1,0.6816229667624483,0.016999358711965007,0.0304606685092077
1e-06,0.0,418.63449583849894,418.63487120036905,0.0003753618700554943,1.1029980478444659,0.018140529161675797,0.15599742885790907,0.015624236812812662,3.251337963265669,3.3533159420595773,98.24327066422632,288.1500000000577,329.4407257184241,461.5680568268445,312.96868943250286,1075.1895207104,134.54405272211497,926.0371520432485,2.326142873657174,193.50229124813995,1.1375972770677283,1.3289447688006861,381.32990866672105,71.82884669753035,87500.0,0.6787039186717878,0.7434592115459984,2.926944389624641,1.4001452291610537,1004.4167849535459,1.3902184563496975,1022.6758639780705,1.3190079584558645,1186.778474156161,1.3308268460371173,1154.6346262480097,False,87.5,SLS,1.0,0.9059640654848952,2.086144847963085,,,,,,,
1e-06,0.0,372.51170230074746,372.5120552163358,0.00035291558833544837,1.0370398168847863,0.01707042145533271,0.16497070255683738,0.015637683451037398,3.0556147846054795,3.1514539201328957,98.24327066422646,288.1500000000577,309.6091404614536,451.6479240197983,294.12868343838085,1067.2587342703068,130.59689400288093,924.339348804117,2.2521874328182143,171.41273636923611,1.0695700452094559,1.2914391109848178,360.89375150411166,71.84099268905229,85000.0,0.6768219591580429,0.741022440363521,6.340488650356503,1.4001452291610537,1004.4167849535459,1.391106652311724,1021.0022776919437,1.3195662795815941,1185.2016175371857,1.3309621727147292,1154.2766555714525,False,85.0,SLS,1.0,0.8800793778996124,2.0145045265275883,,,,,,,
1e-06,0.0,330.25489304281126,330.2552227736085,0.0003297307972648544,0.9689114817217976,0.016189910623043712,0.17648089239786674,0.015873911479054682,2.86584028724553,2.955727159462872,98.24327066422627,288.1500000000577,290.3803033367156,442.0853610743703,275.8612881698798,1067.556068673793,126.84634728783709,930.8430486166071,2.1747672997149934,150.68575040312712,0.9993046365588868,1.2557549487760977,342.3726411085317,71.85589268594482,82500.0,0.6744824210114894,0.738373274581002,9.271473786853067,1.4001452291610537,1004.4167849535459,1.3919473102999593,1019.4211552060654,1.3193864151955697,1185.70639493014,1.3302508904549502,1156.152981971281,False,82.5,SLS,1.0,0.8541946903143297,1.9421041460171107,,,,,,,
1e-06,0.0,293.85951286838434,293.85982235705245,0.0003094886680893607,0.9094301365295322,0.015311157547039685,0.1875731931606054,0.015994191401216398,2.6971937349137103,2.781791020280448,98.24327066422649,288.1500000000577,273.2922481367268,432.5976651214682,259.62763572989047,1063.822190964744,123.71697303350525,933.7786561933316,2.098561170419014,132.6598181849359,0.9379574596900926,1.2245144385135267,324.5285530599224,71.82612100966571,80000.0,0.6709470283418065,0.7360101710462563,10.818841610183183,1.4001452291610537,1004.4167849535459,1.392687628129927,1018.0465475407982,1.3195736428522593,1185.1765046706341,1.3299214928503806,1157.0241938657466,False,80.0,SLS,1.0,0.828310002729047,1.8685179322952572,,,,,,,
1e-06,0.0,259.52508489000877,259.52537232457786,0.0002874345690796096,0.8446243315309382,0.014580315461491281,0.20225072148079412,0.01639936143363323,2.5326331760130594,2.612069031416045,98.24327066422646,288.1500000000578,256.6182048470503,423.0714459728387,243.7872946046978,1070.1484219343372,121.04254816899841,946.6576336641341,2.0140628092555057,115.02339072868305,0.8711188034942318,1.1969587731040254,308.4786555587887,71.49872489138184,77500.0,0.6671803659618116,0.7334944750324356,12.670412854921821,1.4001452291610537,1004.4167849535459,1.3934309494181454,1016.6663616273368,1.3188518502931015,1187.2176261915656,1.3285573542492721,1160.6383752738916,False,77.5,SLS,1.0,0.8024253151437641,1.7947023869130982,,,,,,,
