WS_Pa,S_m2,TO_cond,V_LOF,TO_sls,TO_adrpy_sls,CLIMB_cond,CLIMB_sls,CLIMB_adrpy_sls,DASH_nom_cond,DASH_nom_sls,DASH_hi_cond,DASH_hi_sls,DASH_adrpy_sls,TURN_cond,TURN_CL,TURN_sls,CEIL_cond,CEIL_sls,CLa_low,CL_rot,ADRpy_CLa
300.0,0.8172208333333333,0.5038393997719663,32.843553430684715,0.5153697452566659,0.6618614097809723,1.4968523914011163,1.9211321071696175,2.347519178377667,4.251620787604736,5.575091079502798,4.251620787604736,5.575091079502798,7.596237699611685,1.5160125099880508,0.027556390430621892,2.1776383401597186,0.8297845745640556,1.476472696856795,2.623262120620711,0.5494147337721605,2.873174447425566
320.0,0.7661445312499999,0.530048962112235,33.92067612461743,0.5425863371086629,0.6968247835387423,1.4240937583339803,1.8277501899799011,2.23341154325022,3.9626043256643237,5.196107821284884,3.9749917719093766,5.212351306889235,7.101993301344123,1.4286708469954474,0.029393483125996687,2.052178587833861,0.7820751695190769,1.3915812249115602,2.623262120620711,0.5494147337721605,2.873174447425566
340.0,0.7210772058823529,0.5571006008199503,34.9646326385412,0.5706932775564422,0.732921335731164,1.3623955671046784,1.748563774000732,2.136650040236269,3.6970646906551288,4.847909399000798,3.72594191214218,4.885775697044747,6.657023717188804,1.3543198388322362,0.031230575821371478,1.9453789374754265,0.7416229291945143,1.3196027497786806,2.623262120620711,0.5494147337721605,2.873174447425566
360.0,0.6810173611111111,0.5841522395276658,35.97831016522441,0.5988285372105203,0.7690437709252997,1.3075649103037923,1.6781914808858573,2.0506589170349754,3.4610401177018986,4.538413666208426,3.504574917181838,4.5955002419764615,6.261514240551108,1.2883203202038869,0.03306766851674628,1.8505755758604805,0.7056852423183713,1.2556572209181438,2.623262120620711,0.5494147337721605,2.873174447425566
380.0,0.6451743421052631,0.6112038782353811,36.96419983094507,0.6269914817863624,0.8051910594061054,1.2585174404949897,1.615241607159883,1.9737375875247973,3.2498703338484285,4.261509671935392,3.306519808374637,4.335793338298664,5.907655380770356,1.2293536489925438,0.03490476121212107,1.7658743724235608,0.6735492856979485,1.1984762802356104,2.623262120620711,0.5494147337721605,2.873174447425566
400.0,0.612915625,0.6382555169430963,37.92446882869935,0.6551815197252266,0.8413622468375758,1.2143856797344097,1.5586007900491736,1.9045255828166627,3.0598271207297554,4.012308655403796,3.1282798027976044,4.102069703302781,5.589199545318005,1.1763649121772073,0.03674185390749587,1.689760023679421,0.6446448008307011,1.1470452413474481,2.623262120620711,0.5494147337721605,2.873174447425566
420.0,0.5837291666666666,0.6655084218416698,38.86101649128517,0.6836048367582765,0.8778219215588395,1.1770301134820194,1.5106568657709796,1.8459407091842268,2.893904819404467,3.794737054308504,3.003885973024123,3.9389538081276534,5.366948985701011,1.1316162746464484,0.03857894660287065,1.625481959933325,0.6201899640306016,1.1035316596923477,2.6232621206207116,0.5494147337721607,2.873174447425566
440.0,0.5571960227272728,0.692913482066165,39.77551846969298,0.7122108326250004,0.9145049075713576,1.1449298090518867,1.4694577964138986,1.7955976822335455,2.7474138121595146,3.602645438306498,2.917409875337745,3.825558906539276,5.212444850413197,1.093258294542107,0.04041603929824545,1.5703835965781598,0.5991867469147618,1.066159698862653,2.623262120620711,0.5494147337721605,2.873174447425566
460.0,0.5329701086956522,0.7203185422906598,40.66946196263034,0.7408428143069941,0.951209829034275,1.1156303679750585,1.4318534893371462,1.749647259707769,2.6136694945440784,3.427268378751739,2.838461779493181,3.722035368840438,5.071390760237648,1.0583064983647519,0.042253131993620234,1.520177961128716,0.5800254439003469,1.0320651379317671,2.623262120620712,0.5494147337721608,2.873174447425566
480.0,0.5107630208333334,0.747723602515155,41.54417411776031,0.7695003086324159,0.9879359371697738,1.0887816824370686,1.3973945993900538,1.7075403662179804,2.4910785303544696,3.266516556088322,2.766100685260205,3.627149274544949,4.942105459535334,1.0263351270413137,0.04409022468899503,1.4742534825886606,0.5624758167572412,1.0008383037496233,2.623262120620712,0.5494147337721608,2.873174447425566
