MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,N_pct,comp_RlineMap,comp_NcMap,comp_WcMap,comp_PRmap,comp_effMap,pwr_net_kW,conv,igv_deg,W_stack,PR_stack,eta_stack,stall_index,stall_row,SM_peak,SMW_peak,i_R1,i_R2,i_R3,i_R4,i_R5,i_R6,si_R1,si_R2,si_R3,si_R4,si_R5,si_R6,case,A8_scale
1e-06,0.0,466.9871774980357,466.9876447060522,0.00046720801653334256,1.3728872623566544,0.01751461791410991,0.13502003380180796,0.012119630995659927,4.8919763703713475,5.046730056547175,98.21762904407332,288.1500000000577,495.67786057952566,522.5107055652718,470.8939675505493,1001.4918404476032,132.4805806672069,795.4890761802199,3.5544376781789744,326.8694908065183,1.4163221329225928,1.3074860139231441,342.9350972324253,85.19415114479753,100000.0,0.7121779545634742,0.7537654435953596,1.2249752317559803e-09,1.4001452291610537,1004.4167849535459,1.3842675480451616,1034.0700928189085,1.3269549804653544,1164.930100564823,1.345548934553188,1117.708906530787,100.0,2.805432357427103,1.0353875034113087,2.5273047422055432,5.073377327299787,0.8099591376950115,-6.327919495043178e-10,True,21.37002019279793,1.11144597856838,5.223768841245484,0.8198004504343964,0.8064770503672157,S6,0.19290889166957226,0.17465121740898426,-1.5852822078599402,-1.3754284415385456,-1.1375496693221692,-0.8621470843847163,-0.5443374848895388,-0.1844283148538466,0.7578815651151337,0.7642775577705099,0.7715277058456971,0.7799215171239461,0.7896078234495902,0.800577254441957,SLS_A8x1.3,1.3
1e-06,0.0,396.9019305556654,396.90236732568644,0.00043677002107079117,1.28344544033427,0.015385633042547536,0.1395515483525796,0.01138836987617749,4.4713259500940765,4.612772702997784,98.21762904407328,288.1500000000577,453.05559820766354,504.0649754908471,430.40281829728036,958.414032268244,127.44685959054452,767.1338481003486,3.377115918588021,281.1324394069458,1.3240505854964968,1.2578068846122537,312.0050267000601,85.19415115630724,95000.0,0.7208450372474862,0.7519549454442739,4.246812992354156e-10,1.4001452291610537,1004.4167849535459,1.3861665222253121,1030.3929768551538,1.3309510743775,1154.325444180111,1.3490143138279387,1109.471155478466,95.0,2.669413325345498,0.9836181282407434,2.362654120741699,4.636562412476595,0.8198162004868197,-2.476009727329111e-10,True,21.37002019279793,1.0390367166227577,4.690616919588081,0.8252823697552917,0.821317738695839,R1,0.18133816212636722,0.2262822387313339,0.4960710181696584,0.22798884026232002,-0.09577050570908341,-0.4630712183436927,-0.896273121689525,-1.4304644111224931,0.821317738695839,0.8131470412097307,0.803279396538674,0.7920846836607195,0.7788814124463661,0.7626001532453924,SLS_A8x1.3,1.3
1e-06,0.0,326.82881117520003,326.8292092272603,0.0003980520602911822,1.1696730021531796,0.013585537766829199,0.1496438939539131,0.01103407606632742,4.014579080836273,4.141577018718099,98.21762904407322,288.1500000000577,406.77587528191293,487.44399905629547,386.43708151781726,930.5685044522371,122.50399966497568,753.3422154321714,3.154485425575055,236.21417856627443,1.2066786593881287,1.2090244880752679,282.0095868825186,85.19415114183765,90000.0,0.7152051601186314,0.749871950211271,1.301350301755832e-12,1.4001452291610537,1004.4167849535459,1.3878108310608972,1027.2426756007505,1.333557919086072,1147.559291060761,1.350715960836957,1105.461844669594,90.0,2.417268299272839,0.9318487530701779,2.153214037472267,4.162263956625539,0.813401974959728,-8.171566027875606e-13,True,21.37002019279793,0.9469301596201811,4.173586564522786,0.8168667830146444,0.9069484603534737,R1,0.14394209063167485,0.18628144536110014,3.3056316948175706,2.2009623491798536,1.17385935908667,0.16490097001158688,-0.9191044101687496,-2.2117556393820976,0.9069484603534737,0.8732799818449816,0.8419755964336194,0.8112242281869277,0.7781855528676428,0.7387877001965154,SLS_A8x1.3,1.3
1e-06,0.0,259.0043787469998,259.0047291719875,0.00035042498771160565,1.0297212055787084,0.012216427161875333,0.16980075007037165,0.011270629118742057,3.5306063566320316,3.642294211756144,98.21762904407348,288.1500000000577,357.73750175964096,472.013939211381,339.85062667165886,925.7406796560964,117.73508442474433,762.5521193010887,2.8865705437947824,191.64470339083132,1.0622991225786347,1.1619587977895904,253.80134069240552,85.19415114184048,85000.0,0.6914679025636971,0.7464031891236093,1.4574760596257255e-13,1.4001452291610537,1004.4167849535459,1.3892831791426532,1024.4381579488884,1.3338060827328304,1146.913351116599,1.3495798187641632,1108.1377947960343,85.0,1.9555705923037026,0.8800793778996124,1.895581201287375,3.6596934274895507,0.7864056202744392,-2.1437750381772425e-14,True,21.37002019279793,0.8336296244916097,3.6526599976012,0.78876798969865,1.0193174081723175,R1,0.08513011726434128,0.10982593463974921,6.992478786103021,4.578967378636563,2.672795724914849,0.9946091793015555,-0.6714491988328106,-2.570722771465789,1.0193174081723175,0.9457576074290691,0.8876606758809441,0.8365123500336259,0.7857336704951547,0.7278469809491304,SLS_A8x1.3,1.3
1e-06,0.0,193.38994319579322,193.39023562041814,0.0002924246249172488,0.8592875732894503,0.011238426630507928,0.20920599696783312,0.012424833816822996,3.0115678587131174,3.106836353901928,98.2176290440734,288.1500000000577,305.1461005081812,458.97648823828666,289.8887954827721,957.125115546506,113.52909846492368,807.2431484331091,2.553431669963776,148.47057538990308,0.8864733776508937,1.1204488059866045,226.8331324849551,85.19415114190797,80000.0,0.638275383658823,0.7428130928323757,1.4157203269960768e-12,1.4001452291610537,1004.4167849535459,1.3904505056433059,1022.2386328416932,1.3303508516920288,1155.9004398965426,1.344145602093961,1121.098363940062,80.0,1.0918336623374378,0.828310002729047,1.5818353177566247,3.1207096387441036,0.725909832012606,-8.474216621500629e-13,True,21.37002019279793,0.6956519620755134,3.1081848838681787,0.7279406638440138,1.1682148194589677,R1,0.010353034305461861,0.012229322852171931,11.877831887274105,7.5942085180112215,4.589617064358073,2.1859894234458253,-0.012591235779211729,-2.3516902669942397,1.1682148194589677,1.0376571264116936,0.9460821920808047,0.8728236320510128,0.8058145619010922,0.7345227262285509,SLS_A8x1.3,1.3
1e-06,0.0,134.87168634983263,134.87191547222682,0.0002291223942001987,0.6732744417617764,0.010706585367058014,0.2857805694030805,0.015107147201503291,2.49556336858552,2.5745084822032007,98.21762904407335,288.1500000000577,252.86211907585428,439.6644268241228,240.21901312206157,1038.0573154476963,109.56521995025358,902.6856417408941,2.19247506855852,103.05036852820884,0.6945752353776181,1.0840565012195964,201.36814984319417,85.28739657891877,75000.0,0.5834961865752321,0.7395764451952104,6.161708230739197,1.4001452291610537,1004.4167849535459,1.3921362336207845,1019.0703772526327,1.3220931038777493,1178.16941171596,1.3332428096474835,1148.3654002417898,75.0,1.0,0.7765406275584815,1.3576306680357708,2.584876446767497,0.6636095165519202,4.593740492059376,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_A8x1.3,1.3
1e-06,0.0,94.74161755348945,94.74179299478976,0.0001754413003166829,0.5155329488634176,0.010506484644551676,0.3992262924900099,0.01936085837836224,2.0873194974944926,2.153350148913896,98.21762904407329,288.1500000000577,211.496946128025,421.8423324807074,200.92209882162373,1172.5655195592747,106.74373284140228,1051.3836881958027,1.8822847344129305,69.5623305753628,0.5318431787856632,1.0594832353265888,183.96300168625183,84.38402820766558,70000.0,0.525037335629766,0.7374542635887819,9.297388982780218,1.4001452291610537,1004.4167849535459,1.3935268773724614,1016.4882562842101,1.3099269234979507,1213.1284810795523,1.3182696101319225,1188.8573981444406,70.0,1.0,0.7247712523879161,1.1669086229854564,2.1609448323400735,0.5971243351460265,6.929813196245973,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_A8x1.3,1.3
1e-06,0.0,64.07264415962534,64.07277711386882,0.00013295424348092424,0.3906850501102216,0.01016579815410775,0.5711778222171296,0.02471942103665791,1.7975895881370672,1.8544548699647434,98.21762904407322,288.1500000000577,182.14016049717222,405.7805871349702,173.0331524723136,1339.107939691493,104.5818782379416,1231.639484286777,1.6545232825005654,46.34015657063568,0.403045391012836,1.03939329989415,163.310856427608,85.35227026715613,65000.0,0.46797671842308314,0.7341962808963561,9.695363048758129,1.4001452291610537,1004.4167849535459,1.3947363465210803,1014.2474543585314,1.2965688180696417,1254.875572341277,1.3027955215346911,1234.9247116390827,65.0,1.0,0.6730018772173506,1.0100904592829407,1.8600813609704878,0.5322293633023694,7.223081656443273,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_A8x1.3,1.3
1e-06,0.0,45.24561709226508,45.245716329822145,9.923755706625673e-05,0.2916088192462179,0.010071429165882457,0.8013404905770453,0.032810591025060114,1.5676434332632359,1.6172345558565775,98.21762904407329,288.1500000000575,158.84094368437795,390.2946388701552,150.89889650015903,1581.4986131286985,102.99590814020696,1488.8895388291135,1.4650960336671077,30.016210776165376,0.30083462508413034,1.0271810283318261,153.29549763292718,83.21388649951564,60000.0,0.4138983895661816,0.7321619221012841,8.673314436000512,1.4001452291610537,1004.4167849535459,1.3957397544008463,1012.4073661634054,1.2788375918378985,1317.203571958482,1.2836203446188312,1299.4027153453203,60.0,1.0,0.6212325020467854,0.8740283269900717,1.6212989772778108,0.4707261444393662,6.455726070731171,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_A8x1.3,1.3
1e-06,0.0,28.583278349030504,28.583350229016894,7.187998639075801e-05,0.21121880242223703,0.009715415704666469,1.2236348857438042,0.04369708005910676,1.4003177325468588,1.4446156429459136,98.21762904407332,288.15000000005784,141.8867233301272,374.64813610569905,134.79238716362084,1882.573154444316,101.64772253284896,1806.0330866888346,1.3260738539425778,18.395364218166996,0.21790126033109275,1.016077100847215,132.3059436798967,86.03446141614288,55000.00000000001,0.3672147851154028,0.7267093796849806,7.095970560351669,1.4001452291610537,1004.4167849535459,1.3967521347507308,1010.550908871432,1.2553058765378453,1421.599495700937,1.2600909343063176,1397.175250629736,55.00000000000001,1.0,0.5694631268762197,0.7612297271760398,1.4475433878789512,0.4176329368173691,5.271865848278757,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS_A8x1.3,1.3
