candidate,drag_margin,rise,fuel_kg,time_to_M1_s
A: low dash 1 km,0.6,1.5,0.6749743243943809,26.199999999999932
A: low dash 1 km,0.6,2.0,0.6634959666134128,25.39999999999995
A: low dash 1 km,0.6,3.0,0.6518520945613921,24.599999999999937
A: low dash 1 km,0.75,1.5,0.7283975412263021,28.99999999999993
A: low dash 1 km,0.75,2.0,0.7081458036677298,27.599999999999937
A: low dash 1 km,0.75,3.0,0.6908837549995732,26.399999999999935
A: low dash 1 km,0.9,1.5,0.8142339039809598,34.199999999999946
A: low dash 1 km,0.9,2.0,0.7828885589035611,31.999999999999915
A: low dash 1 km,0.9,3.0,0.7544098315021109,29.99999999999993
B: mid dash 3 km,0.6,1.5,0.9156764205206323,33.19999999999993
B: mid dash 3 km,0.6,2.0,0.8984149949768886,31.999999999999915
B: mid dash 3 km,0.6,3.0,0.8759895792230241,30.39999999999992
B: mid dash 3 km,0.75,1.5,0.9778561833892323,36.79999999999998
B: mid dash 3 km,0.75,2.0,0.944181567684515,34.39999999999995
B: mid dash 3 km,0.75,3.0,0.9189097094364203,32.59999999999991
B: mid dash 3 km,0.9,1.5,1.0659876348622888,42.40000000000006
B: mid dash 3 km,0.9,2.0,1.0214051885608213,39.20000000000002
B: mid dash 3 km,0.9,3.0,0.9824015011501537,36.39999999999998
C: mid dash 5 km,0.6,1.5,1.1755145152946,42.60000000000008
C: mid dash 5 km,0.6,2.0,1.1431147773404564,40.200000000000045
C: mid dash 5 km,0.6,3.0,1.1130768429959548,38.0
C: mid dash 5 km,0.75,1.5,1.2489641141980783,47.20000000000016
C: mid dash 5 km,0.75,2.0,1.195137353535288,43.200000000000045
C: mid dash 5 km,0.75,3.0,1.1569849473746447,40.400000000000034
C: mid dash 5 km,0.9,1.5,1.3576991205815307,54.60000000000025
C: mid dash 5 km,0.9,2.0,1.282389806076361,49.00000000000017
C: mid dash 5 km,0.9,3.0,1.2262883393106276,44.80000000000007
D: high dash 10 km,0.6,1.5,1.8289378079212253,82.20000000000061
D: high dash 10 km,0.6,2.0,1.7566752741491833,75.60000000000059
D: high dash 10 km,0.6,3.0,1.6943506982172827,69.80000000000041
D: high dash 10 km,0.75,1.5,1.951730771757151,93.40000000000077
D: high dash 10 km,0.75,2.0,1.8382044272269913,83.00000000000068
D: high dash 10 km,0.75,3.0,1.7500686101900012,74.80000000000052
D: high dash 10 km,0.9,1.5,2.1389875875625997,111.400000000001
D: high dash 10 km,0.9,2.0,1.9568534570852139,94.60000000000082
D: high dash 10 km,0.9,3.0,1.8307334891129359,82.80000000000064
