case,eta_c,D_mm,margin_nom,margin_hi,TOGW,U2,t_root_mm,stress_ok
baseline,0.7,186.62375692584655,0.5478305676889865,0.28555796940287115,18.88311346029968,,,
compressor OD x 0.946 (Nike),0.7,176.60025134643317,0.6675593645389009,0.4155588528217169,18.778730302137976,,,
eta_c 0.66,0.66,192.01669482018522,0.48413375983988116,0.21831471553350768,19.23111700440475,541.1006313816188,2.4011297204959625,True
eta_c 0.74,0.74,181.67421897104876,0.6068712784120367,0.34905080849792913,18.59845909915299,511.015588652381,2.122602549486357,True
