case,arch,rpm,level,eta_c,eta_t,W,TSFC_dash,Fn,D_engine_mm,D_comp,D_comb,D_turb,D_engine_comb_hi_mm,L_engine_mm,dry_mass_kg,dry_mass_comb_hi_kg,CDS_nom,CDS_hi,drag_nom,drag_hi,margin_nom,margin_hi,TOGW,fuel
ce85000_opr4_t1150,centrifugal,85000,tool,0.7939245201365381,0.9347232637625494,1.0835010032803307,0.13906071155386643,499.99999864972125,163.1271712728244,158.82758823169203,163.1271712728244,112.46427234289992,175.30233606954792,364.11919796674727,4.454842478619907,4.673516359663453,69.26469982493207,79.30650883310499,273.13432265683883,312.6404092860963,0.830601126164259,0.5992814229979233,16.06789876750039,1.6061105530829936
ce85000_opr4_t1150,centrifugal,85000,fielded,0.7,0.75,1.325754281450162,0.16415960570296623,499.99996603271705,175.05134087610764,175.05134087610764,169.88890015791276,123.91484415332515,182.57818859044602,388.46748466917444,5.298382670395402,5.510230275560888,75.15325371408606,88.27353081081648,296.3995761870817,348.0168498437934,0.6869118791085136,0.4367119473012324,17.324685102419384,1.8959953171809238
ce75000_opr4_t1150,centrifugal,75000,tool,0.8175525733616521,0.9362860914913088,1.0678208867118162,0.13808893870112443,500.00000053274044,175.58193299544615,175.58193299544615,163.33852338418697,126.84617532207584,175.58193299544615,383.79662952888157,5.201346761508027,5.363745865231246,75.4391258684192,88.71142951115426,297.4984351370141,349.7138055999405,0.6806811111542939,0.429740526471299,16.932048239695213,1.5948868668146476
ce75000_opr4_t1150,centrifugal,75000,fielded,0.7,0.75,1.325754281450162,0.16415960570296623,499.99996603271705,194.95652555382588,194.95652555382588,169.88890015791276,140.81269756208988,194.95652555382588,411.27751638189585,6.448155756786205,6.626280241875726,87.42732934283727,107.23351654059056,344.811897068273,422.73261300629696,0.4500658773201107,0.1827806766005753,18.68210350515101,1.8959953171809238
ax0_opr4_t1150,axial,55000,tool,0.8505983959597717,0.93384779925731,1.0507117672149717,0.13721295530508854,499.9999998732426,168.879471253592,137.04902418795925,163.77813174931535,168.879471253592,176.00279190035278,570.8169094779589,6.249339555211157,6.441854543133138,71.9805355111867,83.42877616207232,283.97814801603295,329.01736221920817,0.7606988543534463,0.5196766410768228,17.9004663182117,1.584769512624845
ax0_opr4_t1150,axial,55000,fielded,0.7499691243563567,0.75,1.24546532031293,0.15739246186329062,500.00000044250925,183.45756666944857,148.72263265431815,169.0101533312801,183.45756666944857,183.45756666944857,607.1192832782393,7.686510441655327,7.860103231134478,79.9376811855741,95.62812533024274,315.45059817501954,377.17932107009756,0.5850342441420804,0.3256294089080929,19.722089300624454,1.817836914942147
