MN,alt_m,Fn_N,Wf_kgps,W_kgps,T4_K,N_pct,SMN,binding,conv,Fn_at_100pct,T4_at_100pct
0.0,0.0,630.6144278938061,0.023768092099779942,1.329595439370243,1149.7620256491361,98.23130344403086,0.2362668300152282,T4,True,680.8927728568248,1181.7079991263204
0.3,0.0,555.9518518450056,0.024954307000526782,1.4101091288853658,1150.016990672044,98.86696824232807,0.24871124324342153,T4,True,588.6234740460152,1172.3680617470802
0.5,0.0,559.4278737283266,0.026889374135158225,1.54599810898429,1150.2614029343601,99.66077234602729,0.26898010667769423,T4,True,570.7809445346264,1158.2109007834497
0.7,0.0,584.9107777397976,0.029391509324622898,1.7256809649608122,1150.2374437241951,99.92344236772088,0.27931773453475706,T4,True,587.3963102956503,1151.6581017526632
0.8,0.0,609.5853333712328,0.030955778022031786,1.843214242457632,1149.4896644303337,100.0,0.2787444596688542,N,True,609.5853333712328,1149.4896644303337
0.9,0.0,639.0798127085001,0.03277618910249061,1.97711516687044,1150.0881894696981,99.83678765101747,0.2725273902473264,T4,True,645.1866656107995,1153.4882194955194
0.95,0.0,659.8163028275209,0.03381300696441122,2.061444241204908,1149.1915101109819,100.0,0.2736790578906727,N,True,659.8163028275209,1149.1915101109819
1.0,0.0,677.6146227626789,0.03481705662428227,2.1454312547534227,1147.3710985225266,100.0,0.28151846094191924,N,True,677.6146227626789,1147.3710985225266
1.02,0.0,686.9744356269563,0.035369073249684704,2.1790595519317457,1149.5472946779478,100.0,0.28533288679654434,N,True,686.9744356269563,1149.5472946779478
1.05,0.0,696.3992545006245,0.036014485353288446,2.228435928994999,1150.0127196789945,99.91549200039466,0.2928706875715372,T4,True,699.8454240683661,1152.148095598742
0.0,300.0,620.8831766806011,0.023239231556936666,1.2976223092797048,1150.0060245761176,98.37268920505277,0.2328355364120478,T4,True,665.5471694463031,1176.9117360165494
0.3,300.0,547.7554073541635,0.02436717648016102,1.3748382513324888,1150.0123426990363,99.1202419579016,0.24555798799738082,T4,True,572.4630282115074,1167.7246465464714
0.5,300.0,546.4696723006481,0.026142257267614145,1.49957290603321,1150.134906442239,99.64997335865496,0.2653752054954881,T4,True,557.210775566159,1156.890023601615
0.7,300.0,566.1844238509159,0.02846182562435208,1.665419642101973,1150.006311780774,99.65571281444757,0.27624628296388876,T4,True,577.9662055087265,1158.8254963190388
0.8,300.0,597.6506359221374,0.030103372990275285,1.7913163200608662,1148.1090125703297,100.0,0.2801112352749475,N,True,597.6506359221374,1148.1090125703297
0.9,300.0,627.820019704279,0.03194895156930665,1.921172333265071,1149.8914450917134,99.94852996194047,0.27528765140783706,T4,True,629.8645853563047,1151.3359667997195
0.95,300.0,644.2955899656768,0.032918016150352905,1.9946133559571229,1150.274436914459,99.8505984572779,0.27152094841670116,T4,True,649.9194876324191,1153.4358519110199
1.0,300.0,661.2770626612395,0.033813847961505154,2.0790992414262663,1146.841134150625,100.0,0.2766518127036952,N,True,661.2770626612395,1146.841134150625
