MN,alt_m,T_K,P_Pa,V_mps,q_Pa,Fn_T4mode_N,Nmech_pct_T4mode,conv_T4,Fn_Nmode_N,T4_Nmode_K,conv_N,Fn_N,binding,T4_K,Nmech_pct,NcPct,W_kgps,Wf_kgps,TSFC_kgpNh,OPR,comp_PR,comp_eff,NPR,Vj_mps,Fram_N,CDS_allow_m2
0.0,0,288.15,101325.0,0.0,0.0,679.5886932708052,100.73905807163538,True,665.303049308745,1136.4252714000877,True,665.303049308745,N,1136.4252714000877,100.0,103.19231939374471,1.1657356669992238,0.01985288015228949,0.10742528377676339,4.206070705669608,4.206070705669608,0.7707909526767271,1.8807861513757318,567.7170701731351,0.00039671214360745613,
0.3,0,288.15,101325.0,102.0876860595831,6383.474999999999,611.9403673487298,100.59145025637054,True,599.8709314101277,1138.0709947908383,True,599.8709314101277,N,1138.0709947908383,100.0,102.27553837163299,1.2248169565265283,0.020753579098701902,0.12454826726736863,4.143373914834464,4.143373914834464,0.7733705163477878,1.9745289222672275,568.0780554299041,125.04543888611835,0.0939724728944858
0.6,0,288.15,101325.0,204.1753721191662,25533.899999999998,624.3945100344843,99.98571454199522,True,625.3634029591913,1150.9204259444157,True,624.3945100344843,T4,1149.9999999900283,99.98571454199522,99.65178793083271,1.403045597536894,0.023692853739991027,0.13660317712065498,3.9598664700457546,3.9598664700457546,0.7807633176002751,2.2760141485491787,571.1896374549426,286.48272966236834,0.0244535503794753
0.8,0,288.15,101325.0,272.2338294922217,45393.600000000006,666.3203549633114,101.37662774289085,True,584.4008698650139,1084.2833196725962,True,584.4008698650139,N,1084.2833196725962,100.0,97.16392295049128,1.552869577956604,0.023017444263505157,0.14179102734782256,3.5940903606379697,3.59409036063797,0.7815205287838191,2.425452638705949,553.7452464379704,422.76631758192946,0.012874080704438816
0.9,0,288.15,101325.0,306.26305817874936,57451.275,699.9249747516812,102.07811802488793,True,579.3618890135601,1061.3742352011293,True,579.3618890135601,N,1061.3742352011293,100.0,95.73372578466677,1.65499454000189,0.023231311499317658,0.14435316398857848,3.410793831498954,3.410793831498954,0.782852428204185,2.558976376998856,547.7653237354931,506.89088889385476,0.010084404375943965
1.0,0,288.15,101325.0,340.29228686527705,70927.5,733.9442154746488,102.77024141747177,True,547.922344940212,1018.1769282087346,True,547.922344940212,N,1018.1769282087346,100.0,94.20961299455435,1.7626763993632115,0.022389223893260018,0.14710333886248622,3.1913884991749857,3.191388499174986,0.7798071319176897,2.6544755143356036,535.8249236404549,599.8573713350385,0.007725104436787029
0.0,1000,281.65,89874.52152060672,0.0,0.0,624.7478170294025,101.13391458755329,True,608.7653267804141,1132.2910312953206,True,608.7653267804141,N,1132.2910312953206,100.0,104.37624424615059,1.054835446188467,0.018008948580403188,0.1064978774723922,4.285044042820841,4.285044042820841,0.7674688021571242,1.9122392163346105,566.5987815230743,0.000354919111153652,
0.3,1000,281.65,89874.52152060672,100.92968688646566,5662.094855798223,564.5336352649973,100.94984470486264,True,549.0151593356231,1134.5502999114256,True,549.0151593356231,N,1134.5502999114256,100.0,103.44884575867859,1.106006592928463,0.018807183471852472,0.12332238855656417,4.221718291277115,4.221718291277115,0.7700464848431628,2.0042321657512576,567.1150724529723,111.64098011040302,0.09696325711912236
0.6,1000,281.65,89874.52152060672,201.85937377293132,22648.37942319289,578.0749754401443,100.09155496763827,True,575.7998404311759,1147.536955602415,True,575.7998404311759,N,1147.536955602415,100.0,100.80827713420749,1.270272289004602,0.021568903376146965,0.13485250785245698,4.0529750588475615,4.0529750588475615,0.7776615072095606,2.317231285347866,570.4793152034601,256.44411933579045,0.025423445522178626
0.8,1000,281.65,89874.52152060672,269.1458316972418,40263.785641231814,615.6579758417599,100.7842092080836,True,575.8001527057978,1115.4434374270888,True,575.8001527057978,N,1115.4434374270888,100.0,98.27612764822634,1.419232761287988,0.022415357183476158,0.1401446071941268,3.757169133478641,3.757169133478641,0.7814407395380732,2.5482699497972807,562.1625722156105,382.0219216004448,0.014300695861944839
