OPR,rpm,beta2b,PR_TF,eta_TF,converged,M1s_rel,M_rel_in_TF,U2_tool,D2_tool_mm,D_diff_tool_mm,b2_r2_tool,ATR,choke_margin_ok,alpha2_deg,U2_fielded,D2_fielded_mm,D_diff_fielded_mm,t_root_mm,sigma_root_MCS,B2,blade_ok,b2_geo_r2,inducer_MCS,disc_vm_MCS,disc_yield_MS,burst_MCS,impeller_FE_mass_kg,stress_ok
3.5,75000,0.0,3.5050087251520297,0.800989329378108,True,1.1982393230524404,0.9201210371963011,438.58994845011887,111.68601325800955,150.77611789831292,0.2367769724119289,0.75,True,72.11698839737697,469.16220593589014,119.47117469855148,167.2860858430445,1.6,0.0,0.07673252351643882,True,0.26227443782516574,191.92725692240796,276.7460959502761,1.2479278741828046,2.0934272623428187,0.8621555936494234,True
3.5,75000,-10.0,3.483490746762672,0.8050518532078713,True,1.1982393230524404,0.920121037196301,451.3476107026839,114.93472527367773,155.16187911946494,0.21242723078508077,0.75,True,71.13429027968314,484.03197818939697,123.2577311094256,172.39793699772457,1.958569956387964,618.6645221523875,0.08680600055422737,True,0.23651687930341195,191.92725692240796,291.04152378090623,1.1375137646207851,2.0390168876899217,0.9387682087082166,True
3.5,75000,-20.0,3.5001509192480844,0.8093152529051102,True,1.1982393230524404,0.9201210371963013,468.45411501943477,119.29086082733173,161.04266211689784,0.1846123840479743,0.75,True,70.01483039021647,503.7057412530395,128.2676137347015,179.16127854184705,3.1439921779282485,621.20612609267,0.12498692590228976,True,0.21321521726603573,191.92725692240796,310.48655332851945,1.0036463946303589,1.9707717070558013,1.091618484146546,True
3.5,75000,-30.0,3.500681621377517,0.8122717366746037,True,1.1982393230524404,0.920121037196301,489.52225900394205,124.65581963838152,168.28535651181505,0.15667702328037367,0.75,True,68.62226644599279,527.3198202327636,134.28088956859835,187.27920091760777,4.0542103472521385,617.8679131177404,0.15944287753788616,True,0.1875787672224241,191.92725692240796,334.36312700317694,0.8605677866865498,1.8954645245112265,1.2545205643352948,True
3.5,85000,0.0,3.501090214802013,0.7733093324061483,True,1.3235916788917994,1.0070973514075474,446.13368757899366,100.24147998778186,135.32599798350554,0.284181984740861,0.7,True,72.11698839737697,468.9133785346829,105.35983351865765,148.23577525018783,1.6,0.0,0.08700967357232751,True,0.33142491780337724,238.36205858210485,285.90030712751485,1.175951713407669,2.0498806321877785,0.6611478266619976,True
3.5,85000,-10.0,3.5017581684144092,0.7782642207046887,True,1.3235916788917994,1.007097351406586,461.0209110362344,103.58648027314678,139.84174836874817,0.2505750161012504,0.7,True,71.13429027968314,486.110651283268,109.22387723485087,153.45223426704868,2.3974159138560434,619.5241902300997,0.11354328565653195,True,0.29878860571765475,238.36205858210485,302.9859024682229,1.0532482141578878,1.9897840069315804,0.7508793521285215,True
3.5,85000,-20.0,3.5029409643980927,0.782402440183666,True,1.3235916788917994,1.0070973514069,478.5919596990234,107.5345074496048,145.17158505696648,0.21737366610193248,0.7,True,70.01483039021647,505.9778162713622,113.68781725331311,159.4785532919727,4.0611766759883965,616.1705034641803,0.17380930943056003,True,0.27642316268639205,238.36205858210485,323.4927223237916,0.9230888988445762,1.9234972526456031,0.9038844311754798,True
3.5,85000,-30.0,3.5054718779987764,0.785284673773882,True,1.3235916788917994,1.0070973514079389,502.1276848186953,112.82273379131945,152.31069061828126,0.18124898249433802,0.7,True,68.62226644599279,531.8371954695662,119.49814387639344,167.32249423313115,5.368464182669543,619.3127964382927,0.22767567320863907,True,0.24552419328707212,238.36205858210485,350.72108978603194,0.7737891483441413,1.844674515200532,1.0662404680872337,True
3.5,95000,0.0,3.4925581796973724,0.7389130058607656,True,1.4504660845930755,1.0974104714725523,455.8708714557823,91.64728749953403,123.72383812437094,0.32554308169022445,0.7,True,72.11698839737696,468.37044076187175,94.16017369942945,133.11623449422973,1.6,0.0,0.09735883401570998,True,0.40440756751197016,287.72759094766707,294.4037164358549,1.1131026153110395,2.0086865667666007,0.5249672017238194,True
3.5,95000,-10.0,3.501611122591099,0.7473028638124687,True,1.4504660845930755,1.0974104714726969,471.59381606978496,94.80819405357018,127.99106197231974,0.28551400157045503,0.7,True,71.13429027968314,487.2674543770502,97.9591881750469,138.24490403631333,2.9039506114925824,621.5732668406267,0.14665602994507446,True,0.3704013193386213,287.72759094766707,313.87856624984863,0.9819934524063563,1.9449389792183327,0.6282336035190361,True
3.5,95000,-20.0,3.507749303261628,0.7527819374450506,True,1.4504660845930755,1.0974104714714032,490.880291689569,98.68550512267748,133.22543191561462,0.2447033157588212,0.7,True,70.01483039021647,509.05085467441995,102.33847554516379,144.15694198597112,5.209672541461906,619.330122283377,0.23870274986353957,True,0.3529008514126469,287.72759094766707,337.4460154141687,0.8435697407608913,1.874571962871596,0.80031117379376,True
3.5,95000,-30.0,3.5146071822719986,0.7555692586248283,True,1.4504660845930755,1.0974104714713966,518.1476434683608,104.1672741592505,140.62582011498816,0.19862830105298082,0.7,True,68.62226644599278,538.321403017485,108.22296285776473,152.10099985798237,7.46322680413689,622.8432779860412,0.33676813764798325,True,0.32742993834836776,287.72759094766707,369.8080472446801,0.6822383065836435,1.7888719089474268,1.0079392924889192,True
4.0,75000,0.0,4.000174896953095,0.8094274031966365,True,1.192999294328607,0.9139289375121515,463.3128299670656,117.9816433394453,159.27521850825116,0.18833354287036166,0.75,True,72.11698839737697,498.21208562427233,126.86866581636089,177.2726988520872,1.6,0.0,0.07225838360563071,True,0.2105973807178261,196.2387989017845,307.42829916359466,1.0235783916133498,1.9896495373097236,0.9782052669842252,True
4.0,75000,-10.0,4.0115006822886325,0.8137714328127997,True,1.192999294328607,0.9139289375121147,478.73370169045035,121.90853607794564,164.57652370522663,0.16584420944689296,0.75,True,71.13429027968314,516.1740912268489,131.44265298355188,183.44758152779502,1.6940946565078414,620.4473977224175,0.07359639305299077,True,0.1846019227942232,196.2387989017845,325.42940251389814,0.9116443024269338,1.9307641613931066,1.0579217756699724,True
4.0,75000,-20.0,3.9868594893641913,0.8169753379582987,True,1.192999294328607,0.913928937512364,494.8080684732797,126.00183996684078,170.10248395523504,0.14624378574893102,0.75,True,70.01483039021646,534.5547907078046,136.12325967136107,189.76640055633746,2.693579709459014,619.0573018655457,0.10432391415638818,True,0.16762551339030227,196.2387989017845,344.2990211026215,0.8068749111327576,1.8739508250014851,1.2039805257328278,True
4.0,75000,-30.0,4.000376412384584,0.819267417629666,True,1.192999294328607,0.9139289375121514,518.2260094583451,131.96516967053267,178.15297905521913,0.12260511402451198,0.75,True,68.62226644599278,560.6386415004598,142.7654577329971,198.7333679395461,3.3252435448709323,621.2648942675786,0.12744628865019353,True,0.14379984611308516,196.2387989017845,372.16613023081,0.6715794711680976,1.7983503779083843,1.3697011558684165,True
4.0,85000,0.0,4.0003773671281655,0.7857016091872562,True,1.3193765636790047,1.0054658797648552,470.2665090532082,105.66386751019431,142.64622113876231,0.22767668434925534,0.7,True,72.11698839737697,498.22309126965393,111.94541327730346,157.12630792435968,1.6,0.0,0.08189102575720995,True,0.2659896134363824,240.96755351501318,317.3357414892272,0.9604008682993364,1.9508880033920193,0.7447567276049323,True
4.0,85000,-10.0,4.000842744604918,0.7900182856011998,True,1.3193765636790047,1.0054658797649927,486.1345398264005,109.229244735636,147.4594803931086,0.19998908054091352,0.7,True,71.13429027968314,516.4473228829944,116.04020369421836,162.65427498719478,2.077571619199657,618.5155122323197,0.09618283490817162,True,0.2358873313347396,240.96755351501318,336.1909110521891,0.8504523552134973,1.8934516762080316,0.825093824579713,True
4.0,85000,-20.0,4.0018118366646025,0.7935521513592952,True,1.3193765636790047,1.0054658797638953,504.8640747427864,113.43757141387844,153.1407214087359,0.1727639228712922,0.7,True,70.01483039021646,537.5429679087823,120.78017007101757,169.05322959587372,3.3518671330385614,621.7856208241286,0.1397311929974791,True,0.21302350973694395,240.96755351501318,358.78373026788705,0.7339282990714149,1.8303023433609293,0.9654027045555067,True
