MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,N_pct,comp_RlineMap,comp_NcMap,comp_WcMap,comp_PRmap,comp_effMap,pwr_net_kW,conv,SMN
1e-06,0.0,664.3777490177779,664.3782059239425,0.00045690616456679615,1.3426153474000195,0.022949293262149548,0.12435313474281878,0.016238328156505437,5.162858642770009,5.326181468900655,98.21762904407323,288.1500000000577,523.1249157339016,529.5525309197895,496.96866994720654,1154.3701176368904,164.01191173557305,950.2543164947142,3.03007668582292,329.4513524936592,1.3850924869533872,1.6186770893471472,496.8685039256733,65.53396241923127,100000.0,0.7210735266379825,0.7500741161706272,3.6985194618272356e-09,1.4001452291610537,1004.4167849535459,1.383520632531309,1035.5274532220333,1.3131703114831965,1203.5396873065297,1.3283578098113396,1161.1649756296115,100.0,1.9310391461479044,1.035387503411309,30.77000082989988,5.542490542345688,0.8401313144686304,2.656969561434072e-09,True,14.698899491359807
1e-06,0.0,555.3062886747806,555.3067191151206,0.0004304403400228268,1.264845719914211,0.0191911126765893,0.12441423237002708,0.014414056003602087,4.679876840156378,4.827920930526362,98.21762904407349,288.1500000000577,474.18694700855644,507.83898532415094,450.4775996581286,1071.5422613692988,152.20489778236413,882.6880525242653,2.959678737160356,281.96828747374946,1.3048624143921292,1.502150534897672,441.6247280758219,65.53396241683625,95000.0,0.734233522466828,0.7491620133930469,4.602071308896994e-09,1.4001452291610537,1004.4167849535459,1.3857931507886447,1031.1083059087262,1.3200855442461037,1183.7554559419823,1.3355145774830568,1142.533843981891,95.0,1.9431623027597522,0.9836181282407434,28.98767984953362,5.01931697705268,0.8554641816252422,-1.777820028718986e-11,True,20.235592839479246
1e-06,0.0,414.2134027020038,414.2137850342996,0.00038233229583526534,1.1234805918668398,0.015003247203585172,0.13039580462770317,0.012686543004469858,3.983255223553341,4.109262256734739,98.21762904407345,288.1500000000577,403.60199597678474,479.47060794680823,383.4218961779455,984.6041222948971,137.50556713620787,817.313734455029,2.7884099834164675,217.67159879804603,1.1590248316810492,1.3570789392102305,371.4986186196422,65.5339624168127,90000.0,0.7406703311562818,0.7490537839176489,1.8991311009211315e-12,1.4001452291610537,1004.4167849535459,1.388599618757734,1025.7314398729209,1.327919730790522,1162.3449798226675,1.3429421896825806,1124.0098208310894,90.0,1.9355944307415434,0.9318487530701778,25.747879920413826,4.264725369571476,0.8629637837399775,-1.361927671312601e-12,True,25.395148481382645
1e-06,0.0,297.35205304586793,297.3523823916874,0.0003293458195265981,0.9677802275171616,0.011836886904620375,0.14330754545037605,0.011619417549207936,3.3329889517823656,3.4384253413355874,98.21762904407338,288.1500000000577,337.71398467104007,452.0998015272115,320.8282854374881,921.186326136169,126.78550920332509,776.1202966014412,2.530480710717325,160.41191786344257,0.9983984800649528,1.2512798421204865,309.9208461649331,65.53396241680325,85000.0,0.735329896417641,0.7491497654497496,1.701160029003403e-12,1.4001452291610537,1004.4167849535459,1.3910661761889158,1021.0785344485332,1.3339654288022025,1146.5057317268738,1.3479051738381145,1112.0896156171223,85.0,1.9333972925534655,0.8800793778996124,22.17954566180535,3.5603466084023667,0.8567415799132369,0.0,True,27.30535255103661
1e-06,0.0,205.76014058801678,205.7604162541471,0.0002756661302986439,0.8100428621886651,0.009427223298296549,0.1649396417444132,0.0110560348734927,2.747859049006364,2.83478533088721,98.21762904407332,288.1500000000577,278.42589404866067,425.1814161098564,264.5045993462276,876.2543904148712,118.29148960530448,754.1974253969341,2.2360408194096033,112.05226286996094,0.8356706816293022,1.167450108197376,256.3609503859132,65.53396242184378,80000.0,0.7233607543295202,0.7500079743381701,1.2047446603766648e-10,1.4001452291610537,1004.4167849535459,1.3932663020332476,1016.9720712116655,1.3383921426996088,1135.2784518474787,1.3506105176894376,1105.7100622265152,80.0,1.9196593712849122,0.828310002729047,18.564527502308785,2.9265245974315706,0.8427961905679375,-5.825015091969598e-11,True,26.8849395649738
1e-06,0.0,143.85780324516705,143.85803407535005,0.00023083018300456434,0.6782927663909334,0.007698271211991956,0.1926470148855279,0.010782007436560678,2.3183397500528127,2.3916785389115547,98.21762904407325,288.1500000000577,234.9049955274862,401.806978753651,223.1597457511119,845.108326324298,113.15055454813694,743.4506965800115,1.9722373137479794,77.72510238612226,0.6997523277998072,1.1167128555975825,214.10790463983886,65.53396241680124,75000.0,0.7106305222756863,0.749980626971551,3.3741233574355985e-12,1.4001452291610537,1004.4167849535459,1.394993794684718,1013.7753250535764,1.341517044943097,1127.5175369398057,1.351969649065239,1102.5629092796191,75.0,1.8462679718800332,0.7765406275584815,15.545084469059601,2.4612624658571325,0.8279640462805941,-1.8915662101563902e-14,True,23.864688029973724
1e-06,0.0,107.7045302144326,107.70472738886271,0.0001971744301167096,0.5793955882397501,0.006788225842086379,0.22689494102854627,0.011130244483866491,2.039076031298393,2.1035805399766,98.2176290440735,288.1500000000577,206.60869313975354,385.82301487164773,196.27825848276584,844.1779170614558,110.25545577882899,757.0871913077842,1.7802135694445584,57.01579726908903,0.5977262793836601,1.088140357415962,187.59693964188077,65.53396243050108,70000.0,0.6943062264270923,0.7492442151350814,3.2395932185475473e-10,1.4001452291610537,1004.4167849535459,1.3960294802913187,1011.876049414176,1.3413704514781157,1127.879937955486,1.3502541424809025,1106.549190176718,70.0,1.7270978024478782,0.7247712523879161,13.278563190509292,2.15875956697543,0.808944415657073,-1.8039488633019463e-10,True,19.253157728921664
1e-06,0.0,81.6027820275014,81.60295135557152,0.0001693280701011481,0.49756926759562714,0.006044021655520635,0.2666389235668625,0.011539741191192223,1.8348245261266536,1.8928677048761782,98.21762904407346,288.1500000000577,185.9129780670352,372.63621840870513,176.61732916368342,848.0850519871827,108.01487214238018,773.022054731146,1.635120476103278,42.324108749708735,0.5133111695916481,1.066027442784325,165.4408057195657,65.53396252726135,65000.0,0.6777403319418202,0.747251676004157,9.967018835686103e-08,1.4001452291610537,1004.4167849535459,1.396853770849617,1010.3663763587846,1.340711512801471,1129.5014614286413,1.3482878843148864,1111.1859181323196,65.0,1.5409176274656728,0.6730018772173506,11.403271090648191,1.937511090119987,0.7896432955977206,-3.3274446624550554e-09,True,13.313054807034419
1e-06,0.0,64.54537790688458,64.54552624005251,0.00014833316793342124,0.43587590459563824,0.005532446548851317,0.3085706246014614,0.01205807470886599,1.6835721827280574,1.7368306168444252,98.2176290440734,288.1500000000577,170.58738523761494,361.66039434438676,162.0580159757342,858.1144509056104,106.60050791983144,793.1172078884161,1.5202368087927816,32.24982363450535,0.4496659760880519,1.0520687068896715,149.3038883991767,65.53396241680535,60000.0,0.6619860287328668,0.746559125089357,1.8424357395100435e-13,1.4001452291610537,1004.4167849535459,1.397408236840696,1009.3596769316915,1.339393764246574,1132.7612679689162,1.3458325418296313,1117.025215918267,60.0,1.363339617213217,0.6212325020467853,9.989385248820069,1.7736721476866464,0.77128777015611,4.539758904375336e-14,True,8.418627134610524
1e-06,0.0,49.76556928172518,49.765694204492874,0.00012492276769374353,0.3670846185766171,0.005303526309721161,0.3836526938315838,0.013725309477066823,1.562134570517136,1.6115514247264846,98.21762904407333,288.1500000000577,158.28276001923373,354.5692635864682,150.36862201827202,914.5319425791645,105.42910506123971,856.8216896808837,1.4262534233874855,24.53391814002333,0.3786982982514163,1.0405078211609233,136.46361072415505,65.53396241854709,55000.00000000001,0.6322203518575571,0.741437076080715,3.712308233475812e-11,1.4001452291610537,1004.4167849535459,1.3977664596784913,1008.7092804576216,1.333121667400987,1148.6819381296993,1.3383831370169506,1135.2749642946046,55.00000000000001,1.0621246400801936,0.5694631268762199,8.412829512289353,1.642128995962809,0.7366074271460173,-6.287250821524816e-12,True,1.4537309812313381
