S_wing,alt_m,MN,E_case,CDS_m2,wave_m2,E_WD,E_geom,k,CLa,CD0
0.15,0.0,0.05,nom,0.00674580227073586,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.623262120620711,0.04497201513823907
0.15,0.0,0.05,lo,0.00674580227073586,0.0,1.4,1.9757176638694371,0.14370182170072113,2.623262120620711,0.04497201513823907
0.15,0.0,0.05,hi,0.00674580227073586,0.0,3.0,1.9757176638694371,0.14370182170072113,2.623262120620711,0.04497201513823907
0.15,0.0,0.2,nom,0.005512560779496804,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.6372024330239507,0.03675040519664536
0.15,0.0,0.2,lo,0.005512560779496804,0.0,1.4,1.9757176638694371,0.14370182170072113,2.6372024330239507,0.03675040519664536
0.15,0.0,0.2,hi,0.005512560779496804,0.0,3.0,1.9757176638694371,0.14370182170072113,2.6372024330239507,0.03675040519664536
0.15,0.0,0.4,nom,0.0049855806583394575,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.6835672348112802,0.03323720438892972
0.15,0.0,0.4,lo,0.0049855806583394575,0.0,1.4,1.9757176638694371,0.14370182170072113,2.6835672348112802,0.03323720438892972
0.15,0.0,0.4,hi,0.0049855806583394575,0.0,3.0,1.9757176638694371,0.14370182170072113,2.6835672348112802,0.03323720438892972
0.15,0.0,0.6,nom,0.00466115240158348,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.767455432708234,0.03107434934388987
0.15,0.0,0.6,lo,0.00466115240158348,0.0,1.4,1.9757176638694371,0.14370182170072113,2.767455432708234,0.03107434934388987
0.15,0.0,0.6,hi,0.00466115240158348,0.0,3.0,1.9757176638694371,0.14370182170072113,2.767455432708234,0.03107434934388987
0.15,0.0,0.7,nom,0.004525466195157471,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.8270784063490093,0.03016977463438314
0.15,0.0,0.7,lo,0.004525466195157471,0.0,1.4,1.9757176638694371,0.14370182170072113,2.8270784063490093,0.03016977463438314
0.15,0.0,0.7,hi,0.004525466195157471,0.0,3.0,1.9757176638694371,0.14370182170072113,2.8270784063490093,0.03016977463438314
0.15,0.0,0.8,nom,0.004399367923352885,0.0,1.9757176638694371,1.9757176638694371,0.14370182170072113,2.9017147294469035,0.029329119489019236
0.15,0.0,0.8,lo,0.004399367923352885,0.0,1.4,1.9757176638694371,0.14370182170072113,2.9017147294469035,0.029329119489019236
