case,arch,rpm,level,n_ax,pi_a,pi_c,eta_ax,eta_cc,U2,stress_MPa,stress_factor,eta_c,eta_t,W,TSFC_dash,Fn,D_engine_mm,D_comp,D_comb,D_turb,D_engine_comb_hi_mm,L_engine_mm,dry_mass_kg,dry_mass_comb_hi_kg,CDS_nom,CDS_hi,drag_nom,drag_hi,margin_nom,margin_hi,TOGW,fuel
ax90000_opr4_t1150_ax2_pa2_cap_blk,axicentrifugal,90000,tool,2,2.0,2.0,0.8555595813040632,0.7837318969306843,378.71112891842233,262.0859950121861,1.7169936912465562,0.8006832251674866,0.9092180931184537,1.089164432033647,0.1400981410532788,499.99999900597226,163.72470175557294,114.49274670830212,163.72470175557294,106.47181276900729,175.94529939196195,469.5498166836691,4.2938463697644105,4.511391286300609,69.53645879922225,79.71785783743819,274.1915287617871,314.2467849495347,0.8235428397948927,0.5911061718141934,15.925047453957431,1.6180925615797837
ax90000_opr4_t1150_ax2_pa2_cap_blk,axicentrifugal,90000,fielded,2,2.0,2.0,0.8555595813040632,0.7837318969306843,408.82044634222177,305.4167807828027,1.4733964481146755,0.6948942905033902,0.75,1.335853022553528,0.165034528303395,499.999950720752,170.02852145607864,126.15264006968577,170.02852145607864,117.42014350498793,182.7284259027511,499.91033892477185,4.930816039157817,5.165454530966211,72.55049647402163,84.29696212373064,286.12408484349146,332.3365640060916,0.7474934030605975,0.5044987668332133,16.915163596839513,1.9061003583317788
ax90000_opr4_t1150_ax1_pa1.5_cap_blk,axicentrifugal,90000,tool,1,1.5,2.6666666666666665,0.8545830442241291,0.7915398449184657,438.27807431316194,351.0162067404238,1.281992088566938,0.7953051326874551,0.9124254644978326,1.0916072632893872,0.14016546181487136,499.9999989900198,163.6108841071184,131.55741955632618,163.6108841071184,106.47178995148076,175.82282769300687,435.24842888989656,4.2971179764976775,4.515009869261093,69.48451286764323,79.63920902489801,273.98737787124634,313.93758064405205,0.8249015807764055,0.5926732886335406,15.927922551334747,1.6188700966385483
ax90000_opr4_t1150_ax1_pa1.5_cap_blk,axicentrifugal,90000,fielded,1,1.5,2.6666666666666665,0.8545830442241291,0.7915398449184657,470.70056158511727,404.87141175405105,1.1114640029792062,0.6922169491923037,0.75,1.3413202375110616,0.16551000409027136,499.9999336536081,170.10619974966443,145.17954480544057,170.10619974966443,117.5241856360544,182.8120104146134,462.3622730251871,4.947081239496097,5.182653950045022,72.58936288597404,84.35620075248808,286.2787758468957,332.5714025766597,0.7465490837539848,0.5034363441347158,16.93772438878394,1.9115918988501122
