segment,time_s,dist_km,fuel_kg,Treq_max_N,Tavail_min_N,excess_min_N,V_LOF_mps,CL_rot,roc_min_mps,acc_min_mps2,throttle_frac,D_over_Tmax,note
0 ground roll to V_LOF,1.7000000000000004,0.0463467944839219,0.04088521523371824,22.39292103580326,595.532033700573,573.1391126647698,48.500417419725174,0.5499944707758838,,,,,
1 level accel 300 m to M0.70,8.09999999999998,1.233819292997123,0.20929670426556513,192.36172979296703,546.4808926675126,373.7793938758988,,,,,,,
2 climb M0.70 to 5 km,10.70000000000004,2.468385897774137,0.24791590459679824,192.58089754336194,424.47566888070065,309.7783656735445,,,388.11090428361933,,,,
3 level accel to M1.02 @ 5 km,7.100000000000101,1.9813364513872052,0.14708436091793686,315.9796307889222,424.31294553069955,182.72793315489173,,,,9.423231368100287,,,
4 hold M1.02 7 s,7.0,2.28858039454368,0.10314695968207488,323.14289472914635,500.0000005007258,176.85710577157943,,,,,0.6462857888110688,0.6462857888110688,
5 turn-back + idle descent,235.0,45.19465485023234,1.139577100424745,183.8757307735246,466.8439960761081,282.9682653025835,,,,,,,Treq = 3 g sustained turn at M0.90/5 km
6 pattern + landing,60.0,0.0,0.5819117108551879,,,,,,,,,,
