candidate,h_dash_m,Fn_avail_M1_N,q_M1_Pa,CDS_budget_cm2,CDS_assumed_cm2,V_M1_mps,energy_height_m,time_to_M1_s,sortie_time_s,ground_track_km,fuel_total_kg,fuel_no_reserve_kg,fuel_frac,T2_dash_K,P2_dash_kPa,Re_index_dash,P3_dash_kPa,fuel_1 accel to M0.70 @ 300 m,fuel_2 climb M0.70 to 1000 m,fuel_3 accel M0.70->1.0 @ 1000 m,fuel_4 hold M1 7 s,fuel_5 idle descent,fuel_6 reserve (120 s idle),fuel_2 climb M0.70 to 3000 m,fuel_3 accel M0.70->1.0 @ 3000 m,fuel_2 climb M0.70 to 5000 m,fuel_3 accel M0.70->1.0 @ 5000 m,fuel_2 climb M0.70 to 10000 m,fuel_3 accel M0.70->1.0 @ 10000 m
A: low dash 1 km,1000.0,551.2080851231939,62912.1650644247,87.61550084291865,65.71162563218898,336.43228962155223,6770.914914879189,18.199999999999967,60.19999999999997,6.3183092421288505,0.8203803900690092,0.5821458282415364,0.03281521560276037,337.97999999999996,166.72101215062932,1.3587728875723326,557.803625116815,0.19233678992127956,0.031548356617878054,0.17313229476784422,0.11564330640152165,0.0694850805330129,0.2382345618274728,,,,,,
B: mid dash 3 km,3000.0,523.4262312248541,49075.89912646361,106.65647304311996,79.99235478233996,328.5762856628579,8504.549234448054,23.599999999999937,165.59999999999994,7.473045499048511,1.1042847865824226,0.8660502247549499,0.044171391463296905,322.37999999999994,130.05407723907618,1.1217807913729712,474.8955985188815,0.19681249991280433,,,0.10692256670037702,0.2680138820559069,0.2382345618274728,0.12894220220619634,0.1653590738796652,,,,
C: mid dash 5 km,5000.0,500.0000005023909,37813.83037906206,132.2267528812015,99.17006466090112,320.52779208673934,10238.183554016918,31.199999999999932,273.19999999999993,9.138035051812018,1.4011015994312919,1.162867037603819,0.056044063977251674,306.78,100.20891933433721,0.9173597121461038,400.8356773316784,0.20125195130814905,,,0.09956433700397833,0.4665426835788009,0.2382345618274728,,,0.23138562376063904,0.16412244195225173,,
D: high dash 10 km,10000.0,288.928159883915,18505.274316017792,156.13287052644478,117.09965289483358,299.46166783079263,14572.269352939076,60.600000000000364,552.6000000000004,15.458859356248622,2.0885706835891775,1.8503361217617047,0.0835428273435671,267.78,49.040087253906115,0.5284978268333421,215.90806369485125,0.20569357575126804,,,0.05378162508897044,0.9628646873860359,0.2382345618274728,,,,,0.48352895688590275,0.14446727664952755
