case,arch,rpm,level,eta_c,eta_t,W,TSFC_dash,Fn,D_engine_mm,D_comp,D_comb,D_turb,D_engine_comb_hi_mm,L_engine_mm,dry_mass_kg,dry_mass_comb_hi_kg,CDS_nom,CDS_hi,drag_nom,drag_hi,margin_nom,margin_hi,TOGW,fuel
ax80000_opr5_t1150_cap_blk,axial,80000,tool,0.8284759777257744,0.9307283937143315,1.0584343494608393,0.1304359502376017,500.0000001373945,136.2225191479796,100.40715469648202,136.2225191479796,119.2057893665658,146.35200630726837,463.895047486582,3.8159934698019358,3.966485916115249,60.68456269700353,64.36748503366023,239.30093676648184,253.7901437173776,1.089419318175557,0.9701316718359161,15.054130967369028,1.5064970864915328
ax80000_opr5_t1150_cap_blk,axial,80000,fielded,0.7303944388010606,0.75,1.3141638317587718,0.1550942262250201,500.00000053218537,141.94888368870653,111.25276858008736,141.94888368870653,132.30248522970336,152.51377123267253,501.1911060082066,4.622016541514861,4.78518603878818,62.097457777692064,67.01149052026209,244.9434742590288,264.27606692923143,1.0412872890152327,0.8919609571232068,16.203176211459237,1.7912929656166274
ax85000_opr5_t1150_cap_blk,axial,85000,tool,0.825658605625736,0.9298725810983164,1.0607388502912014,0.13057913754499795,499.99999995255575,136.20837949620267,100.75634719654819,136.20837949620267,112.46427234012648,146.33679155631128,461.65382081665115,3.74291338202334,3.893266171007172,60.68076804943627,64.36127554336565,239.28049861406086,253.76020518649852,1.0895977852295156,0.9703641064803119,14.982561135294732,1.5081508574672504
ax85000_opr5_t1150_cap_blk,axial,85000,fielded,0.7279106094937219,0.75,1.3191819310924897,0.15548860997964895,500.00000053189535,141.99966478543902,111.72874064394664,141.99966478543902,124.88894817397048,152.56841343690076,499.01634215214983,4.522396089871034,4.685550839150545,62.11268654339037,67.03611263073735,244.99552256022983,264.3650701548087,1.0408536258411623,0.8913239946529319,16.1086280485572,1.7958479826695097
