segment,time_s,dist_km,fuel_kg,Treq_max_N,Tavail_min_N,excess_min_N,V_LOF_mps,CL_rot,roc_min_mps,acc_min_mps2,throttle_frac,D_over_Tmax,note
0 ground roll to V_LOF,1.7000000000000004,0.0463467944839219,0.04088521523371824,22.39292103580326,595.532033700573,573.1391126647698,48.500417419725174,0.5499944707758838,,,,,
1 level accel 300 m to M0.70,8.09999999999998,1.233819292997123,0.20929670426556513,192.36172979296703,546.4808926675126,373.7793938758988,,,,,,,
2 climb M0.70 to 5 km,10.70000000000004,2.468385897774137,0.24791590459679824,192.58089754336194,424.47566888070065,309.7783656735445,,,388.11090428361933,,,,
3 level accel to M1.02 @ 5 km,7.400000000000105,2.0783820090054963,0.153860137636201,384.66178831056214,424.31294553069955,114.83601259731631,,,,5.924131968629858,,,
4 hold M1.02 7 s,7.0,2.28858039454368,0.12418305254838913,389.0456025119461,500.0000005007258,110.9543979887797,,,,,0.7780912042446715,0.7780912042446715,
5 turn-back + idle descent,235.00000000000003,45.19465485023234,1.139577100424745,183.8710997701532,466.8439960761081,282.9728963059549,,,,,,,Treq = 3 g sustained turn at M0.90/5 km
6 pattern + landing,60.0,0.0,0.5819117108551879,,,,,,,,,,
