S_wing,engine_case,E_case,engine_kg,accessories_kg,airframe_systems_bottomup_kg,growth_kg,fuel_kg,fuel_volume_L,TOGW_kg,margin_to_25kg,dash_throttle,V_LOF,airframe_systems_statistical_kg,size_proxy,fuselage_volume_L
0.25,nom,nom,6.8296785215795826,1.6049744525712017,7.424317032134741,1.1136475548202112,1.5502992498861614,1.9378740623577018,18.522916810991898,6.477083189008102,0.6231021583384064,51.09467134019414,6.094879380669679,2.3382685902179845,68.12101098125545
0.25,nom,hi,6.8296785215795826,1.6049744525712017,7.424317032134741,1.1136475548202112,1.5729061361103294,1.9661326701379116,18.545523697216066,6.4544763027839345,0.7573015277757122,51.12583254879977,6.094879380669679,2.3382685902179845,68.12101098125545
0.25,hi,nom,7.772411545342242,3.3421369644971644,7.424317032134741,1.1136475548202112,1.6239929903545494,2.0299912379431864,21.276506087148906,3.7234939128510938,0.6237676970308412,54.754277853927675,6.094879380669679,2.3382685902179845,68.12101098125545
0.25,hi,hi,7.772411545342242,3.3421369644971644,7.424317032134741,1.1136475548202112,1.648646467167042,2.0608080839588023,21.3011595639614,3.6988404360386014,0.757967709362565,54.78590333363355,6.094879380669679,2.3382685902179845,68.12101098125545
0.3,nom,nom,6.8296785215795826,1.6049744525712017,7.539365832585657,1.1309048748878485,1.5757379163144107,1.9696723953930133,18.680661597938702,6.319338402061298,0.6658618863751657,46.83801284574307,6.676605844131799,2.5614449047363874,68.12101098125545
0.3,nom,hi,6.8296785215795826,1.6049744525712017,7.539365832585657,1.1309048748878485,1.601005117841161,2.001256397301451,18.705928799465454,6.294071200534546,0.8049798209579818,46.87262807037811,6.676605844131799,2.5614449047363874,68.12101098125545
0.3,hi,nom,7.772411545342242,3.3421369644971644,7.539365832585657,1.1309048748878485,1.648703470950911,2.0608793386886384,21.433522688263825,3.5664773117361754,0.6664215300123242,50.170859178866245,6.676605844131799,2.5614449047363874,68.12101098125545
0.3,hi,hi,7.772411545342242,3.3421369644971644,7.539365832585657,1.1309048748878485,1.6783073105540218,2.0978841381925273,21.463126527866937,3.5368734721330632,0.8055386232877578,50.20040364135843,6.676605844131799,2.5614449047363874,68.12101098125545
0.35,nom,nom,6.8296785215795826,1.6049744525712017,7.662265894406776,1.1493398841610163,1.603584918534746,2.0044811481684324,18.84984367125332,6.150156328746679,0.7110719621898139,43.55717030329073,7.2115585368821185,2.7666767068090916,68.12101098125545
0.35,nom,hi,6.8296785215795826,1.6049744525712017,7.662265894406776,1.1493398841610163,1.631531362952744,2.0394142036909297,18.877790115671317,6.122209884328683,0.8553003012447827,43.591737019976,7.2115585368821185,2.7666767068090916,68.12101098125545
0.35,hi,nom,7.772411545342242,3.3421369644971644,7.662265894406776,1.1493398841610163,1.6825437762647204,2.1031797203309,21.608698064671916,3.3913019353280838,0.711554825774635,46.63388985441456,7.2115585368821185,2.7666767068090916,68.12101098125545
0.35,hi,hi,7.772411545342242,3.3421369644971644,7.662265894406776,1.1493398841610163,1.7124645929285718,2.1405807411607145,21.63861888133577,3.36138111866423,0.8557833400047962,46.66616363197143,7.2115585368821185,2.7666767068090916,68.12101098125545
