A_over_r2,liner_factor,span_mm,shaft_od_mm,id_ratio,journal_mm,DN_MCS,bend1_undamped_rpm,bend1_over_MCS,damped_crits,api_ok,m_rotor,Ip,imp_mass,imp_disc_vm_MCS,imp_burst_MCS
0.3,1.0,235.40103056243473,24.0,0.5,12.0,945000.0,51091.493050409845,0.6487808641321885,"[(8453, 2.63), (13807, 1.34), (51084, 19.93)]",False,2.2975282346575585,0.0020981848384255936,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,24.0,0.5,15.0,1181250.0,51861.673855920424,0.6585609378529578,"[(8630, 2.38), (13740, 1.33), (51795, 22.98)]",False,2.311868358854517,0.0020990116362113245,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,24.0,0.8,12.0,945000.0,61780.20872946301,0.7845105870408001,"[(8532, 2.71), (14942, 1.23), (61915, 22.48)]",False,1.9845146283992336,0.00207812692653656,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,24.0,0.8,15.0,1181250.0,62811.14468525193,0.7976018372730403,"[(8727, 2.44), (14845, 1.21), (62837, 21.01)]",False,1.9988547525961922,0.002078953724322291,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,28.0,0.5,12.0,945000.0,57114.832627889045,0.7252677159097022,"[(8386, 2.59), (13169, 1.41), (57089, 19.92)]",False,2.514898794559173,0.0021443760824046867,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,28.0,0.5,15.0,1181250.0,59212.571219160665,0.7519056662750561,"[(8551, 2.36), (13112, 1.4), (59141, 25.45)]",False,2.5292389187561315,0.0021452028801904176,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,28.0,0.8,12.0,945000.0,68249.65585983836,0.866662296632868,"[(8552, 2.62), (14528, 1.26), (68350, 25.18)]",False,2.0888524971520086,0.002107216324344834,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,28.0,0.8,15.0,1181250.0,69317.82188123967,0.8802263096030434,"[(8740, 2.36), (14444, 1.25), (69358, 26.79)]",False,2.1031926213489673,0.0021080431221305648,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,32.0,0.5,12.0,945000.0,61694.60008435088,0.7834234931346143,"[(8282, 2.59), (12546, 1.49), (61676, 19.02)]",False,2.7657109790610357,0.002215230524526463,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,32.0,0.5,15.0,1181250.0,66010.59201576127,0.8382297398826828,"[(8435, 2.36), (12498, 1.48), (65933, 26.25)]",False,2.780051103257994,0.002216057322312194,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,32.0,0.8,12.0,945000.0,74277.01504156957,0.943200191004058,"[(8527, 2.58), (14099, 1.3), (74381, 25.3)]",False,2.209242345712903,0.0021518376178154435,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,1.0,235.40103056243473,32.0,0.8,15.0,1181250.0,76272.70567842035,0.9685422943291473,"[(8708, 2.33), (14025, 1.29), (76317, 30.21)]",False,2.223582469909861,0.0021526644156011744,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,24.0,0.5,12.0,945000.0,66828.37418523987,0.8486142753681253,"[(8329, 2.67), (14035, 1.31), (66950, 22.69)]",False,2.2114213289212197,0.00209043867451502,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,24.0,0.5,15.0,1181250.0,68246.03624732675,0.8666163332993873,"[(8499, 2.42), (13965, 1.3), (68248, 25.54)]",False,2.225732639737374,0.0020912638110292636,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,24.0,0.8,12.0,945000.0,82649.68906807202,1.049519861181867,"[(8389, 2.73), (15084, 1.22), (82838, 26.15)]",False,1.9431566772759805,0.002073248275637593,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,24.0,0.8,15.0,1181250.0,85541.88276644686,1.0862461303675792,"[(8573, 2.47), (14988, 1.21), (85613, 24.33)]",False,1.9574679880921346,0.0020740734121518366,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,28.0,0.5,12.0,945000.0,73106.08667173747,0.9283312593236505,"[(8281, 2.63), (13437, 1.38), (73203, 22.34)]",False,2.3977162258970806,0.00213002634012239,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,28.0,0.5,15.0,1181250.0,76234.57850422236,0.968058139736157,"[(8442, 2.4), (13377, 1.37), (76252, 28.44)]",False,2.4120275367132344,0.002130851476636634,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,28.0,0.8,12.0,945000.0,89761.96714555155,1.1398345034355752,"[(8408, 2.66), (14706, 1.25), (89930, 28.53)]",False,2.032578227824394,0.0020981790039304904,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,28.0,0.8,15.0,1181250.0,92350.4987872644,1.1727047465049447,"[(8587, 2.4), (14620, 1.24), (92448, 30.02)]",False,2.046889538640548,0.002099004140444734,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,32.0,0.5,12.0,945000.0,77208.29464794922,0.9804227891803076,"[(8203, 2.63), (12843, 1.45), (77306, 20.84)]",False,2.6126718762538426,0.0021907513113481754,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,32.0,0.5,15.0,1181250.0,83270.56162574452,1.0574039571523113,"[(8355, 2.4), (12792, 1.44), (83276, 28.87)]",False,2.6269831870699965,0.0021915764478624192,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,32.0,0.8,12.0,945000.0,96022.38506073256,1.2193318737870802,"[(8391, 2.62), (14309, 1.29), (96183, 28.17)]",False,2.1357569399956398,0.0021364211618096407,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.85,203.01415337553973,32.0,0.8,15.0,1181250.0,99713.02140504691,1.266197097206945,"[(8565, 2.38), (14234, 1.28), (99811, 33.36)]",True,2.1500682508117936,0.002137246298323885,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,24.0,0.5,12.0,945000.0,91666.95851507,1.164024870032635,"[(8140, 2.72), (14292, 1.3), (91825, 25.89)]",False,2.1253703036809872,0.0020826987971602575,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,24.0,0.5,15.0,1181250.0,94988.95205767253,1.206208915018064,"[(8299, 2.48), (14222, 1.29), (95087, 28.69)]",False,2.139642323523317,0.002083521668304292,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,24.0,0.8,12.0,945000.0,114699.73884664742,1.456504620274888,"[(8183, 2.77), (15245, 1.23), (114846, 29.41)]",True,1.9018158628382005,0.002068373428591052,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,24.0,0.8,15.0,1181250.0,121594.16000827681,1.5440528255019277,"[(8351, 2.52), (15151, 1.21), (121708, 29.24)]",True,1.9160878826805297,0.0020691962997350863,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,28.0,0.5,12.0,945000.0,97488.88914712216,1.2379541478999638,"[(8108, 2.69), (13740, 1.35), (97646, 24.94)]",False,2.2806164431551452,0.002115688601798516,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,28.0,0.5,15.0,1181250.0,103133.75483831466,1.309634982073837,"[(8261, 2.46), (13679, 1.34), (103201, 31.37)]",True,2.294888462997475,0.0021165114729425507,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,28.0,0.8,12.0,945000.0,122195.79135885979,1.551692588683934,"[(8200, 2.71), (14905, 1.25), (122382, 30.9)]",True,1.976334009785796,0.002089149087960042,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,28.0,0.8,15.0,1181250.0,128473.10855354888,1.6314045530609382,"[(8364, 2.46), (14821, 1.23), (128604, 34.24)]",True,1.9906060296281252,0.002089971959104076,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,32.0,0.5,12.0,945000.0,100050.22151675461,1.27047900338736,"[(8053, 2.69), (13183, 1.41), (100217, 22.91)]",True,2.4597466040868654,0.002166292872261727,1.2450280969656111,313.1979426964145,1.90187143788436
0.3,0.7,170.62727618864488,32.0,0.5,15.0,1181250.0,109570.4504298941,1.3913707991097664,"[(8200, 2.46), (13130, 1.41), (109641, 31.34)]",True,2.474018623929195,0.0021671157434057617,1.2450280969656111,313.1979426964145,1.90187143788436
