MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,N_pct,case,comp_RlineMap,comp_NcMap,comp_WcMap,W_stack,PR_stack,stall_index,stall_row,beta_cc,SM_peak,SMW_peak
1e-06,0.0,678.5805317873743,678.5809986353952,0.00046684802090774734,1.371829417903233,0.02568921320815193,0.13628620807283182,0.017789932355471477,4.211594059986269,4.3436904014279465,98.24327066422629,288.1500000000577,426.73835178908746,502.53346323197934,405.40143419963306,1185.3449703129972,158.78971338657936,1006.5203631886171,2.553071137628849,298.3314703360452,1.414861443733203,1.5671378277372277,495.9257976632769,71.8295043687417,100000.0,0.6909594059702456,0.7499059410109543,3.740004549113737e-09,1.4001452291610537,1004.4167849535459,1.3863180543984117,1030.1026724113387,1.3101474709214087,1212.4709515819784,1.3227403378120712,1176.3733153809117,True,100.0,SLS,2.9123002725446896,1.0353875034113087,2.54812984441454,1.1211288755830287,4.3890906435319375,0.8176374693246059,S2,0.983078197881734,0.10025416656704156,0.08160187317905665
1e-06,0.0,624.6834622436336,624.6839158442776,0.0004536006440331977,1.3329021000338717,0.023758170439025422,0.13691640446715408,0.016933173048868776,4.028191418960268,4.154535349902451,98.24327066422623,288.1500000000577,408.1551408645623,493.87337774911816,387.7473838213342,1148.433281044276,153.74026297192813,975.5542416748564,2.522093928590027,277.99287122083075,1.3747130401179146,1.5173034614579421,470.2652908325816,71.82950438354642,97500.0,0.694310286472474,0.7492809076240453,5.81932344542704e-09,1.4001452291610537,1004.4167849535459,1.3871747894173991,1028.461266153977,1.3131006603940767,1203.7485331335458,1.325799772435791,1168.030500706724,True,97.5,SLS,2.6925176194546885,1.0095028158258375,2.4758235801484743,1.089315488627134,4.193011809660279,0.8280130927364981,S2,0.9573402665601918,0.08512815140650298,0.13218108536198958
1e-06,0.0,575.4737468632112,575.4741843761223,0.00043751291105293967,1.2856284169907746,0.022325911606496426,0.13966454981045673,0.01649746983332572,3.853944628932072,3.97482332197553,98.24327066422647,288.1500000000577,390.49964346332183,486.513719013892,370.9746612901557,1127.055906263448,149.21217757289918,959.7305091046837,2.4862224204784633,258.401056064934,1.325956459621793,1.4726145848138863,449.3423467987313,71.82950436666147,95000.0,0.6946703732853234,0.7480054826324555,4.840562597899985e-13,1.4001452291610537,1004.4167849535459,1.3879028740986779,1027.066338979571,1.3148078134883172,1198.7709298217849,1.327383759317572,1163.7553251449583,True,95.0,SLS,2.3350023001913454,0.9836181282407432,2.388014206006345,1.0506810269204805,4.009702217008035,0.8469989117687029,S2,0.9254132315974469,0.06121514951225149,0.10914280210678773
1e-06,0.0,522.3411714813408,522.3415913866752,0.0004199053344066067,1.233888684701755,0.020688369479469955,0.14258521861272114,0.015928463603867998,3.6588872058420376,3.77364793699405,98.24327066422643,288.1500000000577,370.73551566560616,478.083849964778,352.1987398823258,1099.9534504534247,144.0436449444334,938.9046010390695,2.4450835024217197,237.302864334561,1.2725937372822325,1.4216049644560138,425.19560461534934,71.829504366661,92500.0,0.6919813000838655,0.7467382225915414,3.5648241150937223e-11,1.4001452291610537,1004.4167849535459,1.3887368324007252,1025.4685689998946,1.317044130260892,1192.3403743091037,1.3295289979227811,1158.0625788603124,True,92.5,SLS,1.9168481323358038,0.9577334406554605,2.291909286351298,1.0083966822874793,3.805199922768204,0.8750484934193098,R1,0.8976938231572219,0.039296403717893336,0.07317704891887189
1e-06,0.0,470.50298349009785,470.50338391125,0.0004004211521557275,1.1766345608788205,0.019201705361975536,0.14691966199735426,0.015503216291940477,3.4610227198077923,3.569577445743232,98.24327066422639,288.1500000000577,350.6869631590702,470.14096640120664,333.15261500111666,1078.1517579733854,139.16434605332947,923.2498956393848,2.393950925285479,216.73398552882728,1.213543646043039,1.3734498686214573,401.80294523823164,71.82950436666103,90000.0,0.6854483387826672,0.7452817955748036,9.71306542641227e-14,1.4001452291610537,1004.4167849535459,1.3894508784825275,1024.122171963238,1.3188777089004387,1187.1475537234896,1.3311491077895337,1153.790528521488,True,90.0,SLS,1.44156607139492,0.9318487530701778,2.1855615584738786,0.9616056960128313,3.5957712317552963,0.9240082925669519,R1,0.891491231236638,0.016965422162908084,0.030384161177025026
1e-06,0.0,418.4281423757741,418.4285175837432,0.0003752079691183581,1.102545811091709,0.018141773356577302,0.15608506567664265,0.01563171753533139,3.2510549222561824,3.35302402348941,98.24327066422634,288.1500000000577,329.41204668332335,461.5620778169736,312.9414443491571,1075.450661612772,134.54916973298077,926.2905900506107,2.325851916962433,193.416214001927,1.1371308543940601,1.3287733742984773,381.29546984256575,71.81631283003452,87500.0,0.6786682583820148,0.7434516881135689,2.964701626696967,1.4001452291610537,1004.4167849535459,1.3902189916919192,1022.6748552659026,1.3189842236279927,1186.8453910187145,1.3308002556899754,1154.7047036639915,False,87.5,SLS,1.0,0.9059640654848953,2.086042365002674,,,,,,,
1e-06,0.0,371.8370041996451,371.83735656684075,0.0003523671956215579,1.035428368996422,0.01707675009442168,0.16533131357445657,0.015667827032230613,3.0552902408159435,3.151119197051,98.24327066422626,288.1500000000577,309.5762561711207,451.71990301643086,294.09744336256466,1068.3930071981958,130.64301195456613,925.42626279318,2.251153268456817,171.22258011245722,1.067908048859127,1.2908313346896965,360.7900334123397,71.78601556907905,85000.0,0.6764486008919998,0.7409799972838861,6.370909863892213,1.4001452291610537,1004.4167849535459,1.3911002078225958,1021.0144208203579,1.3194647738379501,1185.487660627975,1.3308494431002498,1154.5737805390181,False,85.0,SLS,1.0,0.8800793778996124,2.01306239418604,,,,,,,
1e-06,0.0,328.689130290923,328.6894586638633,0.00032837294029786193,0.964921429179638,0.01621049610202613,0.17754705157314313,0.015959818935742418,2.8654988270314035,2.9553749893739587,98.24327066422624,288.1500000000577,290.3457049953506,442.2505324305508,275.82841974558306,1070.7373386998283,126.98133453365315,933.8694505551467,2.17219657328835,150.227306674325,0.9951894226505864,1.2542471142587732,342.1295302789455,71.71563513236913,82500.0,0.6736740454142695,0.7382699499578288,9.420795139337708,1.4001452291610537,1004.4167849535459,1.3919344222793428,1019.4450855308319,1.3191017477250355,1186.5111725185632,1.3299365437196093,1156.9844031924667,False,82.5,SLS,1.0,0.8541946903143297,1.9389156660279072,,,,,,,
1e-06,0.0,293.32730109201236,293.3276086901159,0.0003075981035140365,0.9038747266643847,0.015413945594249898,0.1891750407572638,0.016200528549543732,2.6968947168266775,2.7814826235128587,98.24327066422647,288.15000000005745,273.2619502296165,432.64629450529674,259.59885271813573,1071.1698973410835,124.01329949001719,940.8073128585971,2.0933146185585754,131.8941464483023,0.9322277857818408,1.2250197563811487,325.8656254254703,71.49866122947515,80000.0,0.6706322871378708,0.7358024213955333,11.513275359387956,1.4001452291610537,1004.4167849535459,1.3926838336840934,1018.053593032661,1.318910878099978,1187.0510177935425,1.329186845014283,1158.9693432256906,False,80.0,SLS,1.0,0.8283100027290473,1.8675955490872154,,,,,,,
1e-06,0.0,258.99341382337735,258.9937006495286,0.0002868261512406245,0.8428365002614085,0.014601946350991941,0.20296657775019517,0.016458529061259143,2.5323880795723936,2.6118162475433406,98.24327066422636,288.1500000000577,256.5933705326244,422.984150422718,243.7637020059932,1072.169215681634,121.09943769203721,948.6029506124332,2.0129218322705857,114.70508967666663,0.869274890907036,1.1966690833581504,308.4817458216662,71.45426433888672,77500.0,0.667538853751626,0.7334114752119393,12.93807222917416,1.4001452291610537,1004.4167849535459,1.3934377609316289,1016.6537140888436,1.3186679631222196,1187.7384648572593,1.3283526229645415,1161.181596022268,False,77.5,SLS,1.0,0.8024253151437643,1.7968220785360098,,,,,,,
1e-06,0.0,227.06958551760664,227.0698497681301,0.00026425052345064806,0.7764981868426111,0.014054394667220204,0.22282077402246198,0.017194727766396516,2.3908471171321497,2.4658358631084347,98.24327066422639,288.15000000005773,242.2517801129182,414.65152616687476,230.1391911072723,1091.1962419802414,118.36516100184589,972.7286483238917,1.944315279592137,99.09636732880027,0.8008556540298993,1.1693980448640628,293.3514198304563,71.42497151453573,75000.0,0.6634659463832869,0.730019361163197,15.24485866016145,1.4001452291610537,1004.4167849535459,1.3940879454912103,1015.4464617723394,1.3168175612732091,1192.9921701121707,1.3258575523154965,1167.8736221472273,False,75.0,SLS,1.0,0.7765406275584813,1.7262284369353096,,,,,,,
1e-06,0.0,196.75141461670952,196.75165773787174,0.00024312116220512645,0.7144097168481354,0.013301483072764088,0.24337989719278977,0.017687901803569744,2.251680429581491,2.3223042225223782,98.24327066422643,288.1500000000577,228.15076229794195,406.07719734101056,216.74322418304482,1101.3930168172767,116.15849154009773,988.986019894544,1.8659266430661714,84.95251965600636,0.7368195711546401,1.1469841467655908,276.1402438839548,71.35904295310117,72500.0,0.659291777436548,0.7273967493146677,15.884789806483319,1.4001452291610537,1004.4167849535459,1.394717108239571,1014.2827240079372,1.3157765109074888,1195.975836455812,1.3241997132555392,1172.3645942871226,False,72.5,SLS,1.0,0.7506559399731989,1.6556533867047778,,,,,,,
