MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,N_pct,comp_RlineMap,comp_NcMap,comp_WcMap,comp_PRmap,comp_effMap,pwr_net_kW,conv,igv_deg,W_stack,PR_stack,eta_stack,stall_index,stall_row,SM_peak,SMW_peak,i_R1,i_R2,i_R3,i_R4,i_R5,i_R6,si_R1,si_R2,si_R3,si_R4,si_R5,si_R6,case
1e-06,0.0,690.2917955937288,690.2922604852456,0.00046489151670175787,1.3660802449265352,0.023629817779268796,0.1232338911578692,0.016432656114950685,5.273798434075433,5.44063075010306,98.21762904407326,288.1500000000577,534.3658527794005,532.1486477571641,507.6475601404304,1163.3270353908931,167.09490135055893,957.3667411841108,3.0380792952826523,338.8812728622776,1.4092997577357789,1.6491039321505028,507.284335481738,65.53396241892486,100000.0,0.7239562445618658,0.7496931023957722,3.5685245146658566e-09,1.4001452291610537,1004.4167849535459,1.383245264938347,1036.0647415687063,1.3124508570308604,1205.6417179332648,1.3276238296901357,1163.1127700513434,100.0,2.6152960852855927,1.0353875034113087,2.514773919096257,5.469871813444788,0.8233545728520384,2.5534126166487103e-09,True,21.37002019279793,1.105935233180068,5.52948030263191,0.8259909469176756,0.8720699216034553,S6,0.12136822628763655,0.10970762042709059,-1.2622374283271043,-0.7886454474848534,-0.21178266110172217,0.4488305724876014,1.150002066918276,1.83847362938765,0.7677274309934007,0.7821617243787906,0.7997435396091908,0.8198779287323791,0.8412484659743428,0.8622319304800284,SLS
1e-06,0.0,630.2469793645486,630.2474293839194,0.00045001937077394693,1.322378555345736,0.021661824879629414,0.12373334917890828,0.015561908163481698,5.014263505258988,5.172885645299466,98.2176290440732,288.1500000000577,508.0685633974343,521.6139948228555,482.66513522756253,1123.9981131541622,160.00323863064725,925.4210922309256,3.016596034919959,313.61613654938384,1.3642154511823408,1.579114430587576,478.874984218388,65.5339624169932,97500.0,0.729263996925547,0.7490709555999144,8.266776444146959e-11,1.4001452291610537,1004.4167849535459,1.384362644537501,1033.884531787054,1.3156409436839294,1196.3657324379183,1.3309208337073233,1154.3872960512165,97.5,2.519780912009578,1.0095028158260262,2.4343248608638457,5.200363636679217,0.8293910732801104,-5.478732371096969e-11,True,21.37002019279793,1.070555731547829,5.23204096922772,0.8313029552935631,0.8422113098001599,S6,0.11945223755285683,0.15520396162783,-0.23400756016962276,-0.007379560348219627,0.22787112739119664,0.4859114531477857,0.7598294164316357,1.0411744571040344,0.7990661617679607,0.8059734050725214,0.8131434535178234,0.8210080921052594,0.8293566545926054,0.8379315820066373,SLS
1e-06,0.0,569.5877949351946,569.5882277528208,0.0004328176261623935,1.2718313574557172,0.01980348912541948,0.12516518346328245,0.014792302893666898,4.742896102373137,4.89293375575115,98.21762904407348,288.1500000000577,480.5723525595916,511.52964818803156,456.54373493161194,1088.162339640605,153.69720846463696,896.8223201107556,2.970410064647691,288.3536829322222,1.3120690608035959,1.5168785451132916,450.3265787076772,65.5339624172628,95000.0,0.7296472105533233,0.7484496539440854,1.4663208864336922e-10,1.4001452291610537,1004.4167849535459,1.3854280366449696,1031.8078227517317,1.3186411365152912,1187.8156498120727,1.333974736237549,1146.4742651102329,95.0,2.40700893692965,0.9836181282407432,2.341274122878674,4.91856829483874,0.8298269016815903,-1.0853806913877367e-10,True,21.37002019279793,1.0296343235318788,4.946957812728409,0.832674001810634,0.8367717224470461,R1,0.10998755554620643,0.14512760002560943,1.003119238766736,0.9105351620060844,0.7923117172585279,0.675432574099105,0.55866946145985,0.4407673522577582,0.8367717224470461,0.8339499142643948,0.8303466609249214,0.82678437965488,0.823225634801496,0.8196321752332983,SLS
1e-06,0.0,512.628813103537,512.6292265448566,0.0004134413195243572,1.2148942253143251,0.018237351669808288,0.12807408466532963,0.014260899200368915,4.4731047429057265,4.614607766470554,98.21762904407342,288.1500000000577,453.23583379110505,502.13426691931454,430.5740421015498,1061.200383643497,147.78406422325477,876.9407186969439,2.9135349901535332,263.70395980879977,1.2533305739313638,1.4585201551120874,424.51054264770465,65.53396241679965,92500.0,0.7276674075122487,0.7475673426982425,5.953247182780083e-13,1.4001452291610537,1004.4167849535459,1.3863575222741478,1030.0270404467792,1.320930325967018,1181.3863504005806,1.3361520721901983,1140.9176374143256,92.5,2.244842610483165,0.9577334406554605,2.236460357018837,4.638409559639783,0.827575274045998,-1.866345327354305e-13,True,21.37002019279793,0.9835398274396264,4.648179980723679,0.8290365585710884,0.8802569836166084,R1,0.09759384568219742,0.13129884846362594,2.4298791379094737,1.9039174248549955,1.3863084153055993,0.8873663191338252,0.38690432106756845,-0.13703485666256654,0.8802569836166084,0.8642265481725602,0.8484506891948177,0.8332437665909831,0.8179905199133689,0.8020217279713959,SLS
1e-06,0.0,457.1108794145345,457.1112707890508,0.0003913745163106167,1.1500510891073221,0.01686883758857372,0.13285138913483155,0.013934507658771977,4.196301191974544,4.3290477607632205,98.21762904407338,288.1500000000577,425.18880708071845,493.73157906637425,403.92936672668253,1042.2484777601796,142.01316468231542,864.6838311033102,2.8443093119590404,239.689341955655,1.1864359559272282,1.4015656158129666,400.0075242646979,65.53396241679994,90000.0,0.7189501148015193,0.7464965128016412,3.026947970935482e-12,1.4001452291610537,1004.4167849535459,1.3871888027023003,1028.4344086240706,1.3225700897888342,1176.8553782136632,1.3375111365859387,1137.4775278277987,90.0,2.0342999128948116,0.9318487530701778,2.117092678310665,4.350969172814393,0.817661107450733,-4.539758904375336e-14,True,21.37002019279793,0.9310448812403563,4.353641797998956,0.8200783241584476,0.9316819097807141,R1,0.07823503519888741,0.10657944337614422,4.1171409938570775,3.034563049973535,2.0801251572735,1.2062143550974511,0.35187428425794565,-0.5438716428766242,0.9316819097807141,0.8986867403380705,0.8695970658531588,0.842961722727549,0.81692286283921,0.7896220215368841,SLS
1e-06,0.0,402.5578188926925,402.5581855751291,0.00036668243648312206,1.0774935972051218,0.015643953850235783,0.13990098121994557,0.013792895100512386,3.9092935365602908,4.0329608520424625,98.21762904407332,288.1500000000577,396.10785291517647,485.5510509324341,376.3024602694176,1030.1093365641084,136.48458645661728,859.3621881339385,2.7571059123883432,215.50069204939808,1.1115829184578336,1.3470026098567975,376.04341583212465,65.53396243169855,87500.0,0.7065074836072659,0.745371246624003,1.6482314591424944e-09,1.4001452291610537,1004.4167849535459,1.387998103602981,1026.8838859195876,1.323574902573793,1174.0837965758765,1.3381010789987382,1135.9866500675603,87.5,1.7313479191087395,0.9059640654848953,1.9835238861781603,4.052932564481174,0.8035101178445863,-1.182726993783085e-09,True,21.37002019279793,0.8723046373755211,4.052199257700528,0.8045232694486156,0.9911369009476202,R1,0.052051108488176734,0.0746550331020317,6.067870848509607,4.281221773915405,2.84016943293485,1.5855782412245745,0.394079199751701,-0.8467524622101763,0.9911369009476202,0.9366828181872574,0.8927619472374919,0.8545241010060877,0.8182091982443388,0.7803907195218189,SLS
1e-06,0.0,349.8710394670173,349.8713786400183,0.00033917300105129714,0.9966573269304657,0.014608616725223062,0.15031544277262432,0.013924731714665009,3.617898444541468,3.7323477137353183,98.21762904407328,288.1500000000577,366.5823432111505,478.1723085677907,348.25322605059296,1028.4902950662988,131.64973628878985,864.3165640471115,2.6453013569784654,191.76894527608607,1.0281891818618822,1.2992861903047899,353.2889909884699,65.53396241680008,85000.0,0.6844785618115171,0.7442838887728932,2.986967051264372e-12,1.4001452291610537,1004.4167849535459,1.3887280848500543,1025.4853306336074,1.323607331045793,1173.9932551194986,1.3375520082175272,1137.3744010222488,85.0,1.352846840028576,0.8800793778996124,1.8347149527652538,3.7503399218393376,0.778456651379211,1.5006425267240697e-13,True,21.37002019279793,0.806862157149536,3.7417383380195295,0.7806194539076308,1.0598577106518956,R1,0.025283242736122036,0.033800465393198476,8.322614016323627,5.669619875269632,3.6867002482611895,2.0414001554971577,0.5266782423039658,-1.0289620569394273,1.0598577106518956,0.9789988757670851,0.9185627940475729,0.8684167924118826,0.8222505958191401,0.7748372750921273,SLS
1e-06,0.0,295.65850762564213,295.6588143687123,0.000306743070159091,0.9013622175456314,0.013695060177185416,0.1667539251070466,0.014434049835983391,3.3018720271179003,3.406324058115458,98.2176290440732,288.1500000000577,334.56107274388614,469.33548354017586,317.83301910669184,1039.2271644603402,126.59508531537789,882.0281112706516,2.510626840804251,165.28699533697582,0.9298791630557229,1.2502791161624232,329.9445291048827,65.50359221092826,82500.0,0.6592844773416455,0.7423187777415916,1.9716898556858473,1.4001452291610537,1004.4167849535459,1.3895230082226135,1023.9862680653814,1.3224596008299183,1177.1600540549225,1.3355628949453089,1142.4119720623198,82.5,1.0,0.8541946903143297,1.685305579494811,3.4221694364330415,0.7498034491823804,1.4701773925375734,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS
1e-06,0.0,249.90956279649473,249.90983857718996,0.00027578069521184387,0.8103795103292778,0.013038464778402713,0.18782183713583023,0.015284865154660205,3.0123043368367703,3.1075961299108927,98.21762904407346,288.1500000000577,305.22072390638635,459.6192199694956,289.95968771106703,1061.4515141488048,122.20606810555823,910.725713805136,2.3727110462355094,140.55261535658195,0.836017980512196,1.2083557452065896,309.94187674310854,65.43103642072464,80000.0,0.636013124847365,0.7407811640052818,5.598858629584133,1.4001452291610537,1004.4167849535459,1.3903929597828022,1022.3470643899727,1.3202208289099624,1183.3635600457926,1.3324088728622916,1150.5242896195543,80.0,1.0,0.828310002729047,1.5723204165423388,3.1214744177942246,0.7233369677664857,4.1746448323443754,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS
1e-06,0.0,207.31894803609703,207.3191923234465,0.0002442873494872771,0.7178365494548757,0.01245535552080124,0.2162816293428102,0.016483679681324158,2.7299944302526074,2.816355579476433,98.21762904407339,288.1500000000577,276.61576756122264,448.8125279618405,262.7849791831615,1094.8152381272007,118.19437640576407,951.9830834242824,2.223328953325279,116.57049690246765,0.7405471816152692,1.169233696171931,289.92575671705873,65.41751889053288,77500.0,0.6114870976993373,0.739572764803235,8.228451684274097,1.4001452291610537,1004.4167849535459,1.3913605354455876,1020.5239076330628,1.317031429944205,1192.3773241183985,1.3280485412946625,1161.9883765835318,77.5,1.0,0.8024253151437643,1.4594883937875176,2.8283160804816876,0.6954435463644189,6.134993690080068,False,21.37002019279793,,,,,,,,,,,,,,,,,,,,SLS
