layout,design,t_drum_mm,shaft_od_mm,k,c,ok,crits,m_rotor_kg,Ip_kgm2
A,"drum 2 mm, shaft 24/12",2.0,24.0,5000000.0,0.0,False,16418@AF500000.0;23995@AF500000.0(X);53047@AF500000.0(X);124681@AF500000.0,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,5000000.0,300.0,False,16445@AF19.47;23961@AF9.52(X);53110@AF5.81(X);124592@AF18.81,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,5000000.0,876.0,True,16660@AF6.8;23690@AF3.28;53762@AF1.89;123803@AF6.06,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,5000000.0,2000.0,True,2959@AF0.55;17914@AF3.6;21771@AF1.39;99134@AF2.05,1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,19000000.0,0.0,False,19626@AF500000.0;41539@AF500000.0(X);74764@AF500000.0(X),1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,19000000.0,300.0,False,19627@AF276.82;41533@AF17.93(X);74890@AF22.4(X),1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,19000000.0,876.0,False,19635@AF95.51;41489@AF6.13(X);75862@AF7.9(X),1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 24/12",2.0,24.0,19000000.0,2000.0,False,2994@AF0.55;19676@AF43.33;41264@AF2.66(X);80820@AF4.26(X),1.9131888406938562,0.0011170488399012306
A,"drum 2 mm, shaft 28/14",2.0,28.0,600000.0,0.0,False,6488@AF500000.0;11230@AF500000.0;43177@AF500000.0(X),2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,600000.0,300.0,False,6407@AF3.01;11014@AF1.89;42583@AF4.94(X),2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,600000.0,876.0,True,5722@AF0.84;5768@AF0.62;35829@AF1.54,2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,600000.0,2000.0,True,2905@AF0.55;3203@AF0.51;26435@AF2.15;109388@AF2.37,2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,1750000.0,0.0,False,10809@AF500000.0;17560@AF500000.0;47203@AF500000.0(X),2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,1750000.0,300.0,False,10784@AF5.61;17608@AF4.29;46839@AF4.98(X),2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,1750000.0,876.0,True,10573@AF1.89;18331@AF1.47;42799@AF1.46,2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,1750000.0,2000.0,True,2691@AF0.53;8845@AF0.78;25347@AF1.91;108358@AF2.16,2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,5000000.0,0.0,False,16687@AF500000.0;25128@AF500000.0(X);57165@AF500000.0(X),2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,5000000.0,300.0,False,16704@AF13.92;25125@AF10.06(X);57214@AF6.52(X),2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,5000000.0,876.0,True,16838@AF4.74;25099@AF3.54;57753@AF2.11,2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,5000000.0,2000.0,True,2963@AF0.54;17723@AF1.99;24531@AF1.81;99627@AF1.61,2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,19000000.0,0.0,False,22066@AF500000.0;41427@AF500000.0(X);77904@AF500000.0(X),2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,19000000.0,300.0,False,22069@AF142.06;41419@AF18.51(X);78032@AF21.87(X),2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,19000000.0,876.0,False,22089@AF49.05;41356@AF6.33(X);79020@AF7.68(X),2.1281600107406,0.0011627302135361636
A,"drum 2 mm, shaft 28/14",2.0,28.0,19000000.0,2000.0,False,3027@AF0.54;22181@AF22.33;41041@AF2.75(X);84173@AF4.03(X),2.1281600107406,0.0011627302135361636
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,600000.0,0.0,False,5708@AF500000.0;8642@AF500000.0;22797@AF500000.0;75407@AF500000.0(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,600000.0,300.0,False,5714@AF4.24;8502@AF2.38;22367@AF3.8;75377@AF88.45(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,600000.0,876.0,False,5778@AF1.39;7241@AF0.79;18243@AF1.19;75157@AF30.78(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,600000.0,2000.0,False,2500@AF0.61;3067@AF0.53;10518@AF1.8;74178@AF14.69(X);126457@AF3.72,1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,1750000.0,0.0,False,8129@AF500000.0;14098@AF500000.0;28032@AF500000.0(X);75657@AF500000.0(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,1750000.0,300.0,False,8149@AF13.93;14039@AF4.46;27791@AF4.23(X);75626@AF84.34(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,1750000.0,876.0,False,8308@AF4.91;13580@AF1.52;25691@AF1.37;75394@AF29.34(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,1750000.0,2000.0,False,2492@AF0.62;9226@AF2.8;10579@AF0.68;74347@AF14.0(X);127164@AF3.59,1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,5000000.0,0.0,False,9760@AF500000.0;22598@AF500000.0;39305@AF500000.0(X);76424@AF500000.0(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,5000000.0,300.0,False,9763@AF77.31;22582@AF8.32;39267@AF6.3(X);76389@AF73.79(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,5000000.0,876.0,False,9787@AF26.95;22456@AF2.83;38941@AF2.11;76121@AF25.58(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,5000000.0,2000.0,False,9895@AF12.86;21651@AF1.2;34958@AF0.8;74861@AF12.15(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,19000000.0,0.0,False,10595@AF500000.0;39655@AF500000.0(X);61698@AF500000.0(X);80788@AF500000.0(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,19000000.0,300.0,False,10595@AF990.55;39672@AF23.38(X);61769@AF20.08(X);80763@AF48.93(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,19000000.0,876.0,False,10595@AF339.94;39808@AF7.98(X);62342@AF6.96(X);80556@AF16.35(X),1.359544876491837,0.0009296627685620471
B,"Phase 3 rotor (16/8 shaft, drum 0.32 mm)",0.3212660060006173,16.0,19000000.0,2000.0,False,10599@AF150.38;40501@AF3.43(X);66258@AF3.35(X);79029@AF6.13(X),1.359544876491837,0.0009296627685620471
B,"drum 2 mm, shaft 24/12",2.0,24.0,600000.0,0.0,False,5252@AF500000.0;7929@AF500000.0;35554@AF500000.0(X);122968@AF500000.0,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,600000.0,300.0,False,5216@AF3.85;7765@AF2.43;35483@AF13.98(X);122936@AF70.96,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,600000.0,876.0,False,4919@AF1.3;6356@AF0.83;34940@AF4.76(X);122691@AF24.36,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,600000.0,2000.0,True,1239@AF0.52;3146@AF0.55;32034@AF2.05;121513@AF10.82,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,1750000.0,0.0,False,8602@AF500000.0;13458@AF500000.0;37040@AF500000.0(X);123266@AF500000.0,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,1750000.0,300.0,False,8595@AF7.5;13371@AF4.23;36975@AF13.67(X);123234@AF69.94,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,1750000.0,876.0,False,8538@AF2.55;12688@AF1.44;36471@AF4.64(X);122987@AF24.01,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,1750000.0,2000.0,True,8143@AF0.79;8166@AF0.78;33729@AF1.96;121794@AF10.65,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,5000000.0,0.0,False,12983@AF500000.0;22387@AF500000.0;41303@AF500000.0(X);124131@AF500000.0,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,5000000.0,300.0,False,12989@AF18.58;22349@AF7.52;41256@AF13.74(X);124098@AF67.23,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,5000000.0,876.0,False,13035@AF6.36;22053@AF2.57;40897@AF4.66(X);123846@AF23.06,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,5000000.0,2000.0,True,13289@AF2.78;20444@AF1.11;38972@AF1.95;122619@AF10.2,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,19000000.0,0.0,False,17792@AF500000.0;41454@AF500000.0(X);56797@AF500000.0(X),1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,19000000.0,300.0,False,17794@AF123.64;41451@AF17.26(X);56797@AF19.57(X),1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,19000000.0,876.0,False,17806@AF42.48;41423@AF5.9(X);56793@AF6.68(X);127907@AF19.92,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 24/12",2.0,24.0,19000000.0,2000.0,False,17862@AF18.9;41273@AF2.56(X);56784@AF2.88(X);126641@AF8.67,1.8899099638677945,0.0011160652411374829
B,"drum 2 mm, shaft 28/14",2.0,28.0,600000.0,0.0,False,5233@AF500000.0;7521@AF500000.0;42893@AF500000.0(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,600000.0,300.0,False,5192@AF3.78;7378@AF2.55;42856@AF22.62(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,600000.0,876.0,False,4860@AF1.29;6180@AF0.87;42573@AF7.73(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,600000.0,2000.0,False,1302@AF0.53;3188@AF0.56;41133@AF3.36(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,1750000.0,0.0,False,8734@AF500000.0;12803@AF500000.0;43802@AF500000.0(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,1750000.0,300.0,False,8718@AF6.94;12724@AF4.41;43766@AF22.13(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,1750000.0,876.0,False,8598@AF2.36;12106@AF1.51;43492@AF7.55(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,1750000.0,2000.0,False,7887@AF1.01;8340@AF0.65;42093@AF3.26(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,5000000.0,0.0,False,13835@AF500000.0;21450@AF500000.0;46454@AF500000.0(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,5000000.0,300.0,False,13836@AF14.51;21411@AF7.67;46423@AF21.43(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,5000000.0,876.0,False,13842@AF4.96;21105@AF2.62;46191@AF7.3(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,5000000.0,2000.0,False,13877@AF2.14;19500@AF1.14;44998@AF3.12(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,19000000.0,0.0,False,21139@AF500000.0;40414@AF500000.0(X);57597@AF500000.0(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,19000000.0,300.0,False,21142@AF66.88;40406@AF16.73(X);57590@AF24.39(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,19000000.0,876.0,False,21165@AF22.95;40338@AF5.72(X);57538@AF8.32(X),2.1051103086040044,0.0011617953143939273
B,"drum 2 mm, shaft 28/14",2.0,28.0,19000000.0,2000.0,False,21277@AF10.16;39996@AF2.49;57281@AF3.58(X),2.1051103086040044,0.0011617953143939273
