MN,alt_m,Fn_N,Fg_N,Fram_N,W_kgps,Wf_kgps,TSFC_kgpNh,FAR,OPR,comp_PR,Pt2_kPa,Tt2_K,Pt3_kPa,Tt3_K,Pt4_kPa,Tt4_K,Pt5_kPa,Tt5_K,turb_PR,comp_pwr_kW,Wc2_kgps,NPR,Vj_mps,A8_cm2,Nmech,comp_eff,turb_eff,res,c_in_gamma,c_in_Cp,c_out_gamma,c_out_Cp,t_in_gamma,t_in_Cp,t_out_gamma,t_out_Cp,conv,N_pct,case,comp_RlineMap,comp_NcMap,comp_WcMap,W_stack,PR_stack,stall_index,stall_row,beta_cc,SM_peak,SMW_peak
1e-06,0.0,678.8506060487675,678.851073056375,0.00046700760746231485,1.3722983618002895,0.025688739231073364,0.1362294743612861,0.01778352503278092,4.212547347118461,4.3446735883417205,98.24327066422627,288.1500000000577,426.8349432871708,502.4974865171132,405.49319612281226,1185.0940134922653,158.8142000903762,1006.2899166028702,2.55325528757541,298.3826691000968,1.4153450976267266,1.5673794935161858,495.95676177406966,71.82950436875221,100000.0,0.691207428492483,0.7499077762965939,3.739537323080496e-09,1.4001452291610537,1004.4167849535459,1.386321613391416,1030.0958536869898,1.3101676730249938,1212.4107920454092,1.3227627123625265,1176.3116445140374,True,100.0,SLS,2.9086414317448748,1.0353875034113087,2.549000892901593,1.1215121204215948,4.387871029539305,0.8167544997125148,S2,0.9840493973469817,0.10044896091128996,0.08188989138995528
1e-06,0.0,624.6888483509535,624.6893019617719,0.00045361081841209993,1.3329319973701823,0.023757481415031926,0.13691125321011885,0.01693230216455843,4.02821323278424,4.1545578479154255,98.24327066422622,288.1500000000577,408.15735114294034,493.8667829695059,387.7494835857933,1148.397443432073,153.74087911161945,975.5226342670617,2.52209747873419,277.990064947477,1.374743875284346,1.5173095423187892,470.25920022619493,71.82950437672302,97500.0,0.6943359807224849,0.7492814150546219,3.6122161625414595e-09,1.4001452291610537,1004.4167849535459,1.3871754418187032,1028.4600162180122,1.3131036007691481,1203.7399293859578,1.3258029368334194,1168.0219472992117,True,97.5,SLS,2.6888820229699086,1.0095028158258375,2.475879113510582,1.0893399222547822,4.192831589608197,0.8279221700353417,S2,0.9574324189185135,0.08506195011151152,0.13221654867969912
1e-06,0.0,575.4740464101649,575.4744839218274,0.0004375116625466423,1.2856247482643572,0.022326056682088466,0.1396653846631211,0.01649762411358215,3.8539452884650336,3.9748240021946946,98.24327066422647,288.1500000000577,390.4997102902773,486.51484784453186,370.9747247757634,1127.0622683311465,149.21215302431983,959.7361159663368,2.486223254987138,258.40181142661686,1.32595267581348,1.4726143425366416,449.34379475819344,71.82950436677683,95000.0,0.694666457900808,0.7480054332302623,2.1082601070814466e-11,1.4001452291610537,1004.4167849535459,1.3879027624266864,1027.0665529318417,1.3148072748357305,1198.7724821678923,1.3273831981940534,1163.7568374591856,True,95.0,SLS,2.3336989405155686,0.9836181282407432,2.388007391462821,1.050678028650382,4.0097147895226,0.8470071416683507,S2,0.9254053065029516,0.06117020969213027,0.10853447209623157
1e-06,0.0,522.3360149374838,522.3364348389424,0.0004199014586231456,1.2338772957410413,0.020688427261648358,0.14258702446709154,0.015928655115387425,3.6588678441178923,3.773627967990835,98.24327066422642,288.1500000000577,370.7335538454183,478.08487991964813,352.19687615314746,1099.9610507421748,144.04320533652125,938.9116190736428,2.445078025932058,237.30198116992796,1.2725819910686091,1.4216006258488465,425.19525154900873,71.82950436666114,92500.0,0.6919740161358089,0.7467380262758122,3.5643387005952524e-11,1.4001452291610537,1004.4167849535459,1.3887367305120313,1025.4687642095312,1.317043481928697,1192.3422349299774,1.3295282740609538,1158.0644946809828,True,92.5,SLS,1.9138686118506045,0.9577334406554605,2.2918881317162447,1.0083873746486778,3.805219788739751,0.8750655483844652,R1,0.8976752466017656,0.03919063233631581,0.07307170111750216
1e-06,0.0,470.49660984188137,470.4970102578211,0.0004004159397668655,1.1766192443131325,0.01920177553097837,0.14692218916253885,0.01550347475837715,3.4609960004337035,3.5695498883179178,98.24327066422639,288.1500000000577,350.6842558274763,470.14182783465,333.1500430361025,1078.1616850799212,139.16375332617616,923.25949359535,2.393942640044031,216.73220055625995,1.213527849021952,1.3734440174592462,401.80263033851514,71.82950458127559,90000.0,0.6854400582655851,0.7452815364217578,5.1255647590406776e-08,1.4001452291610537,1004.4167849535459,1.3894508013573448,1024.122317288445,1.3188768241890287,1187.150047993785,1.3311480810510765,1153.7931932275887,True,90.0,SLS,1.4389681967877102,0.9318487530698475,2.1855331080344422,0.9615931783582681,3.5957810689001515,0.9240304531092214,R1,0.8914740834346329,0.016879186998810525,0.0301765336154316
1e-06,0.0,418.4263209291471,418.42669613626043,0.00037520711330652124,1.102543296295027,0.01814176550563596,0.15608567758180916,0.0156317464250786,3.251024359801353,3.352992502445407,98.24327066422636,288.1500000000577,329.4089499528658,461.5590386518757,312.9385024552225,1075.449113322737,134.54801821231274,926.2893186848329,2.325849957607067,193.41234687588488,1.1371282607123545,1.3287722594139446,381.2946688867868,71.8167733821888,87500.0,0.6786738753473229,0.7434516430766667,2.9687588784490893,1.4001452291610537,1004.4167849535459,1.3902192638009643,1022.674342542522,1.3189843148509326,1186.8451329244704,1.3308003442993348,1154.704468689727,False,87.5,SLS,1.0,0.9059640654848952,2.0860789530698676,,,,,,,
1e-06,0.0,371.8365995531926,371.8369519206305,0.00035236743784916965,1.0354290807804478,0.017076716540139942,0.1653311686326063,0.01566778547585804,3.055262808480457,3.151090904302306,98.24327066422627,288.15000000005773,309.57347659895294,451.7167840847102,294.0948027690053,1068.3888839383023,130.64185887136696,925.4225368309093,2.2511529253313665,171.2193959537751,1.0679087829706433,1.2908313141224215,360.7894075327416,71.7865255739157,85000.0,0.6764555474321524,0.7409800254470258,6.374497590494593,1.4001452291610537,1004.4167849535459,1.3911004870723551,1021.0138946413196,1.3194650968559745,1185.486749073052,1.3308497878915135,1154.5728702573488,False,85.0,SLS,1.0,0.8800793778996123,2.0131043274573948,,,,,,,
1e-06,0.0,328.7024587345986,328.70278711923373,0.000328384635067174,0.964955794171797,0.01621031900108159,0.17753791264157393,0.015959076202288484,2.8654745172584324,2.9553499171267257,98.24327066422627,288.15000000005773,290.3432418157796,442.24550812385206,275.82607972499056,1070.7068081004115,126.97895106832493,933.8406651829379,2.172218918209317,150.2277261051449,0.9952248656158597,1.2542600965388797,342.13146909318135,71.71733917887082,82500.0,0.6736904167726289,0.7382708421504188,9.4235053188403,1.4001452291610537,1004.4167849535459,1.3919348143188353,1019.4443575976492,1.3191044253376838,1186.503600418324,1.3299394843008816,1156.976623184641,False,82.5,SLS,1.0,0.8541946903143297,1.9389980244162337,,,,,,,
1e-06,0.0,293.42935969563257,293.42966740066083,0.00030770502828364677,0.9041889243001994,0.015410510881213755,0.18906710368013407,0.01619129027540759,2.6968734735371362,2.7814607139290857,98.24327066422647,288.1500000000575,273.2597977604478,432.62571073923255,259.59680787242536,1070.8255247862853,123.99715126073393,940.4724148550378,2.093570741206469,131.92106582414974,0.9325518392791814,1.2250725826038422,325.8686928813673,71.50824990182579,80000.0,0.67072230694459,0.7358120540151181,11.512200696759548,1.4001452291610537,1004.4167849535459,1.3926854397989568,1018.0506108180116,1.3189416529168618,1186.9639179348187,1.329221456992605,1158.8776407791026,False,80.0,SLS,1.0,0.8283100027290472,1.8679842002665292,,,,,,,
1e-06,0.0,259.26679590441466,259.267083016301,0.00028711188634113346,0.8436761307172548,0.014593914476199434,0.20264103596855293,0.016433105367817787,2.5323698919209914,2.611797489437574,98.24327066422622,288.1500000000577,256.59152767496215,422.94771951431323,243.761951291214,1071.2387258064766,121.06386438736841,947.7046928198755,2.0134988464538695,114.78809906751167,0.8701408591852046,1.1968292351999954,308.507755456101,71.4762569301237,77500.0,0.6677149423973575,0.733448247210763,12.90754150930543,1.4001452291610537,1004.4167849535459,1.3934406035653701,1016.6484359175605,1.3187514242561151,1187.5020372036215,1.3284458986773346,1160.9340866409418,False,77.5,SLS,1.0,0.8024253151437644,1.7975684394126008,,,,,,,
