model_item,model_raw_kg,cad_parts,cad_kg,cad_over_model
impeller,0.9238102234212953,impeller,1.0819409082110345,1.1711722611210216
diffuser_deswirl,0.3894851207861607,diffuser_back_plate+diffuser_vanes+deswirl_inner_wall+deswirl_vanes,0.19945911878074352,0.5121097267544983
shroud_inlet,0.4419591164214865,compressor_front_shroud+compressor_front_wall,0.523641675059264,1.1848192640512898
ngv_vanes,0.10156405054591178,ngv_vanes,0.1087572787884785,1.0708245506545158
ngv_rings,0.1383570567382588,ngv_hub_ring+ngv_shroud_ring,0.13985706735141878,1.0108415909424677
turbine_blades,0.10590799975384789,turbine_blades,0.1110833095934847,1.0488660899239461
turbine_disc,0.28036583649661434,turbine_disc,0.2809741973956783,1.0021698824174368
turbine_shroud,0.2008435346916013,turbine_shroud,0.1627597809994576,0.8103809826359512
combustor_liners,0.5360691434912896,liner_outer+liner_inner+liner_dome+vaporisers,0.5514606348895382,1.0287117652361177
outer_casing,0.7256871612399787,compressor_casing+hot_casing,1.1118807331904716,1.532176387536753
nozzle_cones,0.10141174307539448,nozzle_outer_cone+tail_cone,0.1038387643366826,1.0239323493284576
shaft,0.5767604340600492,shaft,0.4239727813094318,0.7350933876044798
shaft_tunnel_bearing_housings,0.34673205757734826,shaft_tunnel+housing_front+housing_rear,0.3238349800155932,0.933963194168606
bearings_2x_hybrid,0.05,bearing_front+bearing_rear,0.0631334459665404,1.2626689193308078
starter_motor,0.18,,,
fuel_manifold_igniter,0.08,,,
fasteners_seals_balancing_10pct,0.5178953478299236,,,
SUBTOTAL items drawn in the CAD,4.918953478299237,all,5.186594675887817,1.054410190860581
"TOTAL raw (incl. starter, manifold, 10 % fasteners)",5.69684882612916,,,
