part,material,volume_cm3,mass_kg,valid
compressor_front_shroud,Al,148.96496552879208,0.4111433048594662,True
compressor_front_wall,Al,40.76027905789773,0.11249837019979775,True
diffuser_back_plate,Al,13.051763565799153,0.03602286744160566,True
diffuser_vanes,Al,14.204077874440065,0.039203254933454584,True
deswirl_inner_wall,Al,25.61757281125747,0.07070450095907063,True
deswirl_vanes,Al,19.39438240819305,0.05352849544661282,True
compressor_casing,Al,202.36464536469674,0.558526421206563,True
liner_outer,IN625,36.97735261782259,0.31208885609442266,True
liner_inner,IN625,14.003126433201206,0.11818638709621819,True
liner_dome,IN625,9.126394681487266,0.07702677111175252,True
vaporisers,IN625,5.232064050609605,0.04415862058714507,True
ngv_vanes,IN713,13.749339922690076,0.10875727878847852,True
ngv_hub_ring,IN713,6.55597835730647,0.051857788806294186,True
ngv_shroud_ring,IN713,11.12506681986406,0.08799927854512472,True
turbine_blades,IN713,14.043401971363435,0.11108330959348478,True
turbine_disc,IN713,35.52139031550928,0.28097419739567836,True
turbine_shroud,IN713,20.57645777489982,0.1627597809994576,True
hot_casing,SS,70.04484961821628,0.5533543119839086,True
nozzle_outer_cone,SS,9.85947974937738,0.0778898900200813,True
tail_cone,SS,3.284667635012829,0.02594887431660135,True
shaft,steel,54.009271504386206,0.4239727813094318,True
bearing_front,steel,4.0212385965949355,0.03156672298327025,True
housing_front,SS,10.254158421317086,0.08100785152840499,True
bearing_rear,steel,4.0212385965949355,0.03156672298327025,True
housing_rear,SS,10.254158421317085,0.08100785152840498,True
shaft_tunnel,SS,20.483452779592838,0.16181927695878343,True
impeller,Ti,244.23045332077524,1.0819409082110343,True
