rpm,N,hub_tip,Cx,feasible,eta_is_tool,DF,deHaller,M_rel_tip,h_last,r_tip_mm,length_mm,D_casing_mm,n_blades
70000,5,0.4,170,False,0.8484030966397569,0.6346622122216662,0.6173666067825481,1.1825357294335044,0.012904025006467479,55.17210583999402,174.9991849268533,115.84421167998804,241
70000,5,0.4,185,False,0.843977134234232,0.6093715088002838,0.6435564269949636,1.1864880370402882,0.012367543628903813,53.44420191736134,168.4796271392647,112.3884038347227,242
70000,5,0.4,200,False,0.838380186892551,0.5831738388879621,0.6690481515091434,1.1967536387810784,0.011898366329521626,52.008604362491894,162.9295784638986,109.5172087249838,245
70000,5,0.45,170,False,0.8462970046481181,0.6076996062139358,0.6270766028985755,1.183097152953877,0.012187470995151856,56.7177141449256,165.5432548193081,118.9354282898512,273
70000,5,0.45,185,False,0.842617198699549,0.5851727100105434,0.6508503732504947,1.1864144012718216,0.011674950623926816,54.93176302550724,159.26623325886038,115.36352605101447,274
70000,5,0.45,200,False,0.8376015958828226,0.5611791019701651,0.674520521650168,1.1961774849337117,0.011227354150303348,53.44806009629383,153.93100408786947,112.39612019258767,275
70000,5,0.5,170,False,0.842288357374676,0.5778319522457132,0.639405638231895,1.1867732886803977,0.01148585083867354,58.60110068780771,156.3491746630305,122.70220137561543,303
70000,5,0.5,185,False,0.8394831885714396,0.5583632831048497,0.6604612082779844,1.1892497428992672,0.01099667569414653,56.74666410966647,150.30482414331976,118.99332821933294,307
70000,5,0.5,200,False,0.8351305946770714,0.5368822867898958,0.6820038668325088,1.1983406588497805,0.010570169909354388,55.20631173715926,145.17717605361358,115.91262347431852,311
70000,5,0.55,170,False,0.8357977021370571,0.5447565809877768,0.6545852144512531,1.1944712706937894,0.010795772448835894,60.90332411475325,147.3816713256491,127.3066482295065,347
70000,5,0.55,185,False,0.8340729323646543,0.5286017174852753,0.672652604938867,1.195842378493579,0.010329307430421514,58.96705284827082,141.55805002571665,123.43410569654165,353
70000,5,0.55,200,False,0.830517752633596,0.5099303356106172,0.6917686818684446,1.2040436980953324,0.00992340576022388,57.35911369934081,136.62932853258081,120.21822739868162,355
70000,6,0.4,170,False,0.8454716484932351,0.5571630410278234,0.6620282568031836,1.1582947031041133,0.012698457860072107,55.2968356319507,208.47108462749787,116.09367126390141,290
70000,6,0.4,185,False,0.840911419734248,0.5343089974322607,0.6853611869370806,1.1613916041482226,0.012165024992635318,53.55461263485396,200.5873289509761,112.60922526970793,293
70000,6,0.4,200,False,0.8349933550433958,0.5104622511789194,0.7082436698080664,1.1710179051512757,0.011698480699044056,52.10694453027893,193.87273854696997,109.71388906055786,295
70000,6,0.45,170,False,0.8412987621446227,0.5311413281440528,0.6724896625909076,1.1601445674720796,0.012001205099866338,56.855771448647694,197.39298250454624,119.21154289729539,326
70000,6,0.45,185,False,0.8375513054033085,0.5109688463438443,0.6934944172011954,1.162639188342229,0.011491889452912463,55.05676733461297,189.81045976507275,115.61353466922594,329
70000,6,0.45,200,False,0.8322490849077984,0.4893194496380443,0.7145677891018665,1.1717915272512291,0.011047048189150241,53.56217159021652,183.36295374226665,112.62434318043304,333
70000,6,0.5,170,False,0.8349766131258732,0.5028748414981528,0.6850272560017808,1.1651672718937487,0.011317162030909919,58.74962470115369,186.59441385272538,122.99924940230738,369
70000,6,0.5,185,False,0.8322157785662343,0.4855879243958574,0.7034882351179232,1.166852236222488,0.010831308801222017,56.88320624720584,179.29985415879278,119.26641249441168,374
70000,6,0.5,200,True,0.8276449218115804,0.4663646877342177,0.722521515416754,1.175359295051258,0.010407646591355263,55.33296089868672,173.10943306769272,116.16592179737346,374
70000,6,0.55,170,False,0.8257912285249791,0.4721185685861301,0.6998237636935537,1.17428581758627,0.010643146092226316,61.05989397446368,176.037308594433,127.61978794892734,418
70000,6,0.55,185,False,0.8242880195830178,0.457887660924379,0.7155527141657799,1.1748942807694343,0.010180088758044242,59.112528415070514,169.01513733172197,123.72505683014104,422
70000,6,0.55,200,False,0.8206308818264363,0.44130708853693046,0.7323227692566787,1.1825363648671436,0.009777091474680089,57.49553181436518,163.07027768552217,120.49106362873037,426
70000,7,0.4,170,False,0.8397354689857162,0.49537806655023203,0.6984076083606949,1.1416861486651941,0.01256267060624039,55.40681740489568,242.15046219874924,116.31363480979137,340
70000,7,0.4,185,False,0.83497538777039,0.474577228368827,0.7194092235144374,1.1442026744046576,0.012031641419069886,53.65492351806457,232.9114173970126,112.80984703612914,343
70000,7,0.4,200,True,0.8286484552926857,0.45278937564446753,0.7400946081761349,1.1534049028723965,0.011567171799245449,52.199197675385264,225.04042390228253,109.89839535077053,345
70000,7,0.45,170,False,0.8337133601012849,0.4708182274118651,0.7088550520374288,1.144386205241834,0.011877506920171366,56.97235962769963,229.412749759062,119.44471925539926,386
70000,7,0.45,185,True,0.8298529017655867,0.4525662025920296,0.7276592659075165,1.1463213595508197,0.011370656344519198,55.16445501230176,220.53201193685175,115.82891002460352,389
70000,7,0.45,200,True,0.8241947329964523,0.43289997154318416,0.7466074483560998,1.1550675669556265,0.010927933908551887,53.66251455023351,212.97886707958938,112.82502910046703,391
70000,7,0.5,170,True,0.8252646968881769,0.44445716726560963,0.7210077003708034,1.1503039368195431,0.011204535576835192,58.87116135808161,216.977365669947,123.24232271616322,431
70000,7,0.5,185,True,0.822523731824124,0.42890227144594295,0.7374518948292427,1.1514488759046082,0.010721188631866635,56.996495003381256,208.43851754450645,119.49299000676251,434
70000,7,0.5,200,True,0.8176835184279803,0.41153462622527354,0.7544803417895575,1.159566256870118,0.010299671971597202,55.43951181612951,201.19070138096095,116.37902363225902,442
70000,7,0.55,170,True,0.8135336742780954,0.4160839724087021,0.7350206235528616,1.1603735381448488,0.010540696756835347,61.18498477952537,204.8027611762637,127.86996955905074,488
70000,7,0.55,185,True,0.8122508357938663,0.4033455894956496,0.7489654111569704,1.1604594877163619,0.010080170988820664,59.22991028706742,196.58681300088364,123.95982057413485,495
70000,7,0.55,200,False,0.8084597297912185,0.3884420428378351,0.7638989283452012,1.1677264379909433,0.00967933198383586,57.60668244230053,189.63013574665976,120.71336488460106,502
70000,8,0.4,170,True,0.8322213242931848,0.4453604547893588,0.7282206238777216,1.1296298441698522,0.012466624880503985,55.50104186476937,275.9569412095939,116.50208372953874,389
70000,8,0.4,185,True,0.8272293816608007,0.42629436733848297,0.7472999489149866,1.1317279035516548,0.011937510270741442,53.7421901660576,265.3678648921941,112.9843803321152,394
70000,8,0.4,200,True,0.8204488623764135,0.406283694431531,0.7661399122760839,1.140629911093563,0.011474691744292886,52.28072096676196,256.3452505932058,110.06144193352394,399
70000,8,0.45,170,True,0.8244754303161042,0.4223611383690694,0.7383392239918681,1.1329272824258771,0.011789646126522835,57.06993173202064,261.5369345278803,119.63986346404128,434
