system,freeze_allowance_kg,cad_kg,delta_g,ratio
VIGV,0.16508239699167504,0.23146974920501878,66.38735221334375,1.4021467668457201
bleed,0.12150389651376395,0.20044355278369258,78.93965626992863,1.6496882695526258
variable nozzle,0.35353194577210273,0.6951739158147964,341.64197004269363,1.9663680301834061
TOTAL variable geometry,0.6401182392775417,1.1270872178035076,486.968978525966,1.7607484815236243
